Hour,Year,Zone,Price [Eur/MWh]
1,2030,DK2,9.86316430543731
2,2030,DK2,9.76617059609669
3,2030,DK2,9.79181472010621
4,2030,DK2,15.7114163678385
5,2030,DK2,17.6381040773222
6,2030,DK2,21.7314262116403
7,2030,DK2,24.5783781562643
8,2030,DK2,27.5714904166235
9,2030,DK2,28.3777093501021
10,2030,DK2,28.3777093501021
11,2030,DK2,27.8001837822096
12,2030,DK2,27.3405122068805
13,2030,DK2,27.2602183118427
14,2030,DK2,27.3405122068805
15,2030,DK2,28.3777093501021
16,2030,DK2,28.3777093501021
17,2030,DK2,28.3777093501021
18,2030,DK2,28.3777093501021
19,2030,DK2,28.1455128278027
20,2030,DK2,27.3405122068805
21,2030,DK2,24.994948719466
22,2030,DK2,23.7289371485983
23,2030,DK2,22.4170103449703
24,2030,DK2,22.0535699892512
25,2030,DK2,21.7083649741368
26,2030,DK2,21.6735512882317
27,2030,DK2,21.6735512882317
28,2030,DK2,21.6735512882317
29,2030,DK2,21.7083649741368
30,2030,DK2,22.0866633176176
31,2030,DK2,22.605264289166
32,2030,DK2,23.835494107076
33,2030,DK2,23.8634196846063
34,2030,DK2,22.5870127772895
35,2030,DK2,22.1521096283687
36,2030,DK2,22.0465806872614
37,2030,DK2,22.1058823450597
38,2030,DK2,22.1455140882386
39,2030,DK2,22.1707976682636
40,2030,DK2,22.5889706679553
41,2030,DK2,22.7170146801839
42,2030,DK2,22.7170146801839
43,2030,DK2,22.7170146801839
44,2030,DK2,22.5919753829488
45,2030,DK2,22.2854880355593
46,2030,DK2,22.1345582940859
47,2030,DK2,17.8410005790738
48,2030,DK2,16.9949421556724
49,2030,DK2,9.12344239305876
50,2030,DK2,9.0297269074193
51,2030,DK2,9.12344239305875
52,2030,DK2,9.22476030869735
53,2030,DK2,9.22476030869735
54,2030,DK2,16.9949421556724
55,2030,DK2,22.4170103449703
56,2030,DK2,22.7915753352565
57,2030,DK2,22.7170146801839
58,2030,DK2,22.3510276148982
59,2030,DK2,21.7083649741368
60,2030,DK2,16.7632707111737
61,2030,DK2,8.0778737417535
62,2030,DK2,16.9949421556724
63,2030,DK2,21.6735512882317
64,2030,DK2,22.1644815282634
65,2030,DK2,22.6599569408966
66,2030,DK2,22.6599569408966
67,2030,DK2,22.6599569408966
68,2030,DK2,22.5919753829488
69,2030,DK2,22.1644815282634
70,2030,DK2,22.0892524758014
71,2030,DK2,21.6735512882317
72,2030,DK2,17.6577382195236
73,2030,DK2,16.9949421556724
74,2030,DK2,16.1143577698523
75,2030,DK2,16.1143577698523
76,2030,DK2,16.9949421556724
77,2030,DK2,16.9949421556724
78,2030,DK2,22.1345582940859
79,2030,DK2,22.5150728134462
80,2030,DK2,23.9471366624648
81,2030,DK2,23.9471366624648
82,2030,DK2,23.9471366624648
83,2030,DK2,23.9471366624648
84,2030,DK2,23.9471366624648
85,2030,DK2,23.7980141424023
86,2030,DK2,23.9471366624648
87,2030,DK2,23.8687957060344
88,2030,DK2,23.9471366624648
89,2030,DK2,23.9471366624648
90,2030,DK2,23.9471366624648
91,2030,DK2,23.7703756200235
92,2030,DK2,23.7026151987725
93,2030,DK2,23.0372709082176
94,2030,DK2,22.33155804035
95,2030,DK2,22.1345582940859
96,2030,DK2,22.1345582940859
97,2030,DK2,21.7083649741368
98,2030,DK2,21.7083649741368
99,2030,DK2,21.7083649741368
100,2030,DK2,21.7083649741368
101,2030,DK2,22.0594307715554
102,2030,DK2,23.6959594062731
103,2030,DK2,30.4113649731046
104,2030,DK2,37.1752597353731
105,2030,DK2,39.5450165373298
106,2030,DK2,35.1407855169256
107,2030,DK2,30.4113649731046
108,2030,DK2,23.0093268194739
109,2030,DK2,22.1345582940859
110,2030,DK2,22.1345582940859
111,2030,DK2,25.0414885072085
112,2030,DK2,31.7277225501578
113,2030,DK2,31.7277225501578
114,2030,DK2,32.111237099824
115,2030,DK2,31.3575273305737
116,2030,DK2,30.4113649731046
117,2030,DK2,29.4943804167874
118,2030,DK2,27.2680211169857
119,2030,DK2,22.7039131097402
120,2030,DK2,22.0535699892512
121,2030,DK2,21.7377140188597
122,2030,DK2,21.7377140188597
123,2030,DK2,21.5759201846368
124,2030,DK2,21.7377140188597
125,2030,DK2,21.7377140188597
126,2030,DK2,22.0535699892512
127,2030,DK2,22.0535699892512
128,2030,DK2,22.0535699892512
129,2030,DK2,22.2440757859757
130,2030,DK2,22.2569416138404
131,2030,DK2,22.1345582940859
132,2030,DK2,22.0485752524972
133,2030,DK2,21.7377140188597
134,2030,DK2,21.7377140188597
135,2030,DK2,21.9554214974161
136,2030,DK2,22.0485752524972
137,2030,DK2,22.1545819754642
138,2030,DK2,22.3738082824103
139,2030,DK2,22.3346610075474
140,2030,DK2,22.3346610075474
141,2030,DK2,22.1428266198605
142,2030,DK2,22.1345582940859
143,2030,DK2,21.7377140188597
144,2030,DK2,21.7377140188597
145,2030,DK2,21.7377140188597
146,2030,DK2,21.5177855472827
147,2030,DK2,21.5177855472827
148,2030,DK2,21.7772282757951
149,2030,DK2,22.0485752524972
150,2030,DK2,22.6090954706578
151,2030,DK2,24.4495940646979
152,2030,DK2,29.0387286768937
