Hour,Year,Zone,Price [Eur/MWh]
1,2030,DK2,21.3724641792806
2,2030,DK2,21.1847054580408
3,2030,DK2,20.8308043973699
4,2030,DK2,14.0419152642583
5,2030,DK2,21.3724641792806
6,2030,DK2,22.8145747449468
7,2030,DK2,25.3868347115657
8,2030,DK2,27.2205718428983
9,2030,DK2,27.802265971101
10,2030,DK2,27.5646946868257
11,2030,DK2,27.2562260881231
12,2030,DK2,26.6540077706861
13,2030,DK2,26.8734495029899
14,2030,DK2,26.9925647809104
15,2030,DK2,27.425463184186
16,2030,DK2,28.0666264909913
17,2030,DK2,27.6016068051709
18,2030,DK2,27.5341392486134
19,2030,DK2,27.3701205059926
20,2030,DK2,26.9925647809104
21,2030,DK2,26.675647480753
22,2030,DK2,26.413423565272
23,2030,DK2,25.3687152544602
24,2030,DK2,23.9175529928032
25,2030,DK2,22.6874040612119
26,2030,DK2,22.2555649793196
27,2030,DK2,22.0485752524972
28,2030,DK2,22.0418955108239
29,2030,DK2,22.2725237493254
30,2030,DK2,23.9175529928032
31,2030,DK2,25.7776140640849
32,2030,DK2,26.8931363515475
33,2030,DK2,27.1645537637118
34,2030,DK2,25.0766809104766
35,2030,DK2,24.851882292624
36,2030,DK2,24.1907041113234
37,2030,DK2,24.6863619164428
38,2030,DK2,24.0372783274808
39,2030,DK2,23.7980141424023
40,2030,DK2,25.3868347115657
41,2030,DK2,25.3868347115657
42,2030,DK2,25.4364193928574
43,2030,DK2,25.3868347115657
44,2030,DK2,25.3868347115657
45,2030,DK2,25.072086042183
46,2030,DK2,24.1647673112879
47,2030,DK2,22.1345582940859
48,2030,DK2,18.3342230681929
49,2030,DK2,8.93191008214558
50,2030,DK2,8.8395127096
51,2030,DK2,8.78504750643596
52,2030,DK2,8.78504750643596
53,2030,DK2,8.97359675598157
54,2030,DK2,19.077288994643
55,2030,DK2,23.9175529928032
56,2030,DK2,25.4364193928574
57,2030,DK2,25.4364193928574
58,2030,DK2,25.3868347115657
59,2030,DK2,24.2136847722008
60,2030,DK2,21.5033133527988
61,2030,DK2,20.3040850266411
62,2030,DK2,21.7083649741368
63,2030,DK2,24.8112353920831
64,2030,DK2,25.4364193928574
65,2030,DK2,25.4364193928574
66,2030,DK2,25.4364193928574
67,2030,DK2,25.4364193928574
68,2030,DK2,25.3868347115657
69,2030,DK2,25.3868347115657
70,2030,DK2,24.5107555475689
71,2030,DK2,23.7980141424023
72,2030,DK2,19.077288994643
73,2030,DK2,18.1562350957455
74,2030,DK2,8.90717247039544
75,2030,DK2,8.92157893724705
76,2030,DK2,14.0419152642583
77,2030,DK2,19.077288994643
78,2030,DK2,22.1345582940859
79,2030,DK2,25.2406011086907
80,2030,DK2,25.8567710665885
81,2030,DK2,26.4591220781693
82,2030,DK2,26.1403417692294
83,2030,DK2,26.1403417692294
84,2030,DK2,25.9000171819604
85,2030,DK2,25.7107726788907
86,2030,DK2,25.5108094670596
87,2030,DK2,25.3868347115657
88,2030,DK2,25.4436714110584
89,2030,DK2,26.1235094885161
90,2030,DK2,26.4591220781693
91,2030,DK2,26.1235094885161
92,2030,DK2,25.5598951785135
93,2030,DK2,25.3868347115657
94,2030,DK2,25.2213175870726
95,2030,DK2,24.1647673112879
96,2030,DK2,22.2652181707909
97,2030,DK2,22.1345582940859
98,2030,DK2,22.1838993855568
99,2030,DK2,23.5458121140688
100,2030,DK2,23.9307797199949
101,2030,DK2,25.0410715150418
102,2030,DK2,26.0987502780965
103,2030,DK2,27.4176996081633
104,2030,DK2,28.4966529723742
105,2030,DK2,30.5445079861437
106,2030,DK2,28.2377968390981
107,2030,DK2,27.7618607567193
108,2030,DK2,26.1687065916195
109,2030,DK2,25.276096364931
110,2030,DK2,26.1371781321097
111,2030,DK2,27.2690285715981
112,2030,DK2,28.893049402548
113,2030,DK2,31.8305969774316
114,2030,DK2,35.2684656780374
115,2030,DK2,33.2490396346472
116,2030,DK2,28.4556301824286
117,2030,DK2,27.4798007666879
118,2030,DK2,26.7279880833065
119,2030,DK2,25.3868347115657
120,2030,DK2,24.3085984270402
121,2030,DK2,23.3175346765345
122,2030,DK2,23.3175346765345
123,2030,DK2,23.3175346765345
124,2030,DK2,23.3175346765345
125,2030,DK2,23.3175346765345
126,2030,DK2,24.1956743087156
127,2030,DK2,24.2839479221735
128,2030,DK2,24.9042998990705
129,2030,DK2,25.4456448882747
130,2030,DK2,25.5983140672541
131,2030,DK2,25.3868347115657
132,2030,DK2,24.3928523700576
133,2030,DK2,23.7980141424023
134,2030,DK2,23.8191236009594
135,2030,DK2,24.3000692852686
136,2030,DK2,24.4257071026613
137,2030,DK2,25.5983140672541
138,2030,DK2,26.1403417692294
139,2030,DK2,26.1403417692294
140,2030,DK2,26.1403417692294
141,2030,DK2,26.002154355395
142,2030,DK2,25.5983140672541
143,2030,DK2,24.3949956618057
144,2030,DK2,23.3175346765345
145,2030,DK2,23.3175346765345
146,2030,DK2,23.3175346765345
147,2030,DK2,23.3175346765345
148,2030,DK2,23.9471366624648
149,2030,DK2,25.3868347115657
150,2030,DK2,26.6540077706861
151,2030,DK2,27.2690285715981
152,2030,DK2,28.3166849601733
153,2030,DK2,28.4563045984102
154,2030,DK2,28.0983570252093
155,2030,DK2,27.8266908300159
156,2030,DK2,27.3799730293667
157,2030,DK2,27.5286380862074
158,2030,DK2,27.7658994910074
159,2030,DK2,28.6438526071429
160,2030,DK2,29.9966059639342
161,2030,DK2,33.1230062914918
162,2030,DK2,36.2305466792433
163,2030,DK2,38.0393785889717
164,2030,DK2,42.1435496850648
165,2030,DK2,42.1435496850648
166,2030,DK2,42.1435496850648
167,2030,DK2,42.1435496850648
168,2030,DK2,36.2305466792433
169,2030,DK2,48.583123865476
170,2030,DK2,47.2748102564613
171,2030,DK2,48.583123865476
172,2030,DK2,49.792692462846
173,2030,DK2,78.9813486946994
174,2030,DK2,86.6863202752423
175,2030,DK2,105.308532694745
176,2030,DK2,107.122570827749
177,2030,DK2,108.889767086735
178,2030,DK2,106.982741782575
179,2030,DK2,105.308532694745
180,2030,DK2,104.050803663584
181,2030,DK2,79.1540083557578
182,2030,DK2,85.1961868358758
183,2030,DK2,79.4159108453692
184,2030,DK2,39.7168800544265
185,2030,DK2,48.9393280503942
186,2030,DK2,80.7538435895268
187,2030,DK2,46.2185549683528
188,2030,DK2,45.7232966366544
189,2030,DK2,35.7352824803435
190,2030,DK2,30.6318954089059
191,2030,DK2,28.4324222370404
192,2030,DK2,27.2705010010083
193,2030,DK2,26.4687978268
194,2030,DK2,26.42635539272
195,2030,DK2,26.3539354688157
196,2030,DK2,26.4591220781693
197,2030,DK2,26.6394791258174
198,2030,DK2,27.6952568953994
199,2030,DK2,29.7515816282716
200,2030,DK2,33.820962345749
201,2030,DK2,35.9748827822242
202,2030,DK2,33.4241704197146
203,2030,DK2,33.53097213682
204,2030,DK2,31.1655152271229
205,2030,DK2,29.2424213858413
206,2030,DK2,29.2424213858413
207,2030,DK2,30.1212286285207
208,2030,DK2,34.4968673664391
209,2030,DK2,33.018550085668
210,2030,DK2,32.9067020197359
211,2030,DK2,31.465845969588
212,2030,DK2,30.2044196370432
213,2030,DK2,29.7368504425203
214,2030,DK2,29.2290716787541
215,2030,DK2,27.4526691474676
216,2030,DK2,26.9218016343804
217,2030,DK2,26.054825965348
218,2030,DK2,26.0169516834864
219,2030,DK2,25.7776140640849
220,2030,DK2,25.7776140640849
221,2030,DK2,26.1456867431845
222,2030,DK2,26.8964247949127
223,2030,DK2,28.4324222370404
224,2030,DK2,32.1497219056091
225,2030,DK2,33.8838054630843
226,2030,DK2,29.0089482452208
227,2030,DK2,28.4966529723742
228,2030,DK2,27.6857809885738
229,2030,DK2,27.3985728320961
230,2030,DK2,27.3985728320961
231,2030,DK2,28.1838814422467
232,2030,DK2,28.8517367526224
233,2030,DK2,28.8876230910371
234,2030,DK2,29.6216228534951
235,2030,DK2,29.7368504425203
236,2030,DK2,28.1550292856095
237,2030,DK2,27.425463184186
238,2030,DK2,26.9925647809104
239,2030,DK2,26.1456867431845
240,2030,DK2,24.3085984270402
241,2030,DK2,23.7980141424023
242,2030,DK2,22.5216332688122
243,2030,DK2,21.9956777544204
244,2030,DK2,21.8915924617652
245,2030,DK2,21.8915924617652
246,2030,DK2,23.3264245005985
247,2030,DK2,24.6418216660565
248,2030,DK2,26.0636908295626
249,2030,DK2,26.7857968400274
250,2030,DK2,26.2325990104257
251,2030,DK2,25.3868347115657
252,2030,DK2,24.8980350705801
