Hour,Year,Zone,Price [Eur/MWh]
148,2030,DE4-N,23.726857600058
149,2030,DE4-N,25.1533125634643
150,2030,DE4-N,26.2046930975875
151,2030,DE4-N,27.3805972927392
152,2030,DE4-N,28.6478587852635
153,2030,DE4-N,28.7502734927947
154,2030,DE4-N,28.3886281291103
155,2030,DE4-N,27.9405390621823
156,2030,DE4-N,27.4919952492176
157,2030,DE4-N,27.587953506677
158,2030,DE4-N,27.650958826821
159,2030,DE4-N,28.5252775400326
160,2030,DE4-N,29.8724309955707
161,2030,DE4-N,33.3211529068558
162,2030,DE4-N,36.3311930576127
163,2030,DE4-N,38.2669356546445
164,2030,DE4-N,42.2606219328118
165,2030,DE4-N,42.3956584959629
166,2030,DE4-N,42.3956584959629
167,2030,DE4-N,42.3956584959629
168,2030,DE4-N,36.6048276654976
169,2030,DE4-N,48.8737551407002
170,2030,DE4-N,46.8399512127494
171,2030,DE4-N,48.1362302779579
172,2030,DE4-N,50.3070776916487
173,2030,DE4-N,79.4892163428468
174,2030,DE4-N,85.8889338218012
175,2030,DE4-N,105.938503571748
176,2030,DE4-N,107.763393543291
177,2030,DE4-N,109.192255213251
178,2030,DE4-N,106.539872533185
179,2030,DE4-N,105.601072426465
180,2030,DE4-N,104.339849520406
181,2030,DE4-N,79.6275190845293
182,2030,DE4-N,85.7058427504051
183,2030,DE4-N,79.8909883127216
184,2030,DE4-N,39.8272111998375
185,2030,DE4-N,49.0752784498416
186,2030,DE4-N,81.2369247641063
187,2030,DE4-N,46.6960174391775
188,2030,DE4-N,46.6960174391775
189,2030,DE4-N,36.1531923632225
190,2030,DE4-N,30.9483393236495
191,2030,DE4-N,28.7261444138182
192,2030,DE4-N,27.6859514386831
193,2030,DE4-N,26.9146792382746
194,2030,DE4-N,26.9146792382746
195,2030,DE4-N,26.9146792382746
196,2030,DE4-N,26.9146792382746
197,2030,DE4-N,26.9146792382746
198,2030,DE4-N,27.8982094730323
199,2030,DE4-N,30.2048110211607
200,2030,DE4-N,34.8782498904683
201,2030,DE4-N,36.2374593910109
202,2030,DE4-N,34.0417496090384
203,2030,DE4-N,36.5873683182095
204,2030,DE4-N,31.2215058149211
205,2030,DE4-N,29.4656075588054
206,2030,DE4-N,29.2949633183044
207,2030,DE4-N,36.3150632543966
208,2030,DE4-N,36.5873683182095
209,2030,DE4-N,36.3150632543966
210,2030,DE4-N,36.3150632543966
211,2030,DE4-N,36.3150632543966
212,2030,DE4-N,36.3150632543966
213,2030,DE4-N,29.9147405837387
214,2030,DE4-N,29.3102684959284
215,2030,DE4-N,27.2379045815383
216,2030,DE4-N,26.8006708644159
217,2030,DE4-N,25.899888474321
218,2030,DE4-N,25.899888474321
219,2030,DE4-N,25.8239426095574
220,2030,DE4-N,25.8239426095574
221,2030,DE4-N,26.4157857153907
222,2030,DE4-N,27.1742792939927
223,2030,DE4-N,28.7261444138182
224,2030,DE4-N,32.481845782435
225,2030,DE4-N,34.2338433534603
226,2030,DE4-N,29.3482158088017
227,2030,DE4-N,28.8299309304711
228,2030,DE4-N,28.2748524742116
229,2030,DE4-N,28.0103404037435
230,2030,DE4-N,27.8982094730323
231,2030,DE4-N,29.0888010556849
232,2030,DE4-N,29.4656075588054
233,2030,DE4-N,29.4656075588054
234,2030,DE4-N,29.703910147761
235,2030,DE4-N,29.8194578302014
236,2030,DE4-N,29.2788921826017
237,2030,DE4-N,28.6218988846381
238,2030,DE4-N,27.0675487532527
239,2030,DE4-N,25.7848433615791
240,2030,DE4-N,23.9731090687665
241,2030,DE4-N,23.0203327654826
242,2030,DE4-N,21.9826571024393
243,2030,DE4-N,21.276886013349
244,2030,DE4-N,21.1762016091308
245,2030,DE4-N,21.1762016091308
246,2030,DE4-N,22.564151868939
247,2030,DE4-N,24.4151525324545
248,2030,DE4-N,25.8239426095574
249,2030,DE4-N,26.5394063162536
250,2030,DE4-N,26.5394063162536
251,2030,DE4-N,25.6837535902479
252,2030,DE4-N,25.1892390477876
253,2030,DE4-N,24.3435603428858
254,2030,DE4-N,24.3435603428858
255,2030,DE4-N,25.4000882274922
256,2030,DE4-N,26.670450934119
257,2030,DE4-N,28.0369800241906
258,2030,DE4-N,28.7890016523243
259,2030,DE4-N,29.1293404832734
