Subsets,Subsets_2,Type of units,Parameters-->,Used (1 or 0),Unit tag,Yearly demand (kg fuel),Produced from,El balance,Heat balance,Process heat balance,H2 balance,CSP balance,Max Capacity,Fuel production rate (kg output/kg input),Heat generated (kWh/output),Process heat generated (kWh/output),Load min (% of max capacity),Ramp up (% of capacity /h),Ramp down (% of capacity /h),Electrical consumption (kWh/output),Investment (EUR/Capacity installed),Fixed cost (EUR/Capacity installed/y),Variable cost (EUR/Output),Fuel selling price (EUR/output),Fuel buying price (EUR/output),CO2e infrastructure (kg CO2e/Capacity/y),CO2e process (kg CO2e/output),Land use (m2/Capacity),Annuity factor
0,0,0,Year-->,All,All,All,All,All,All,All,All,All,All,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench
0,0,0,0,Used (1 or 0)All,Unit tagAll,Yearly demand (kg fuel)All,Produced fromAll,El balanceAll,Heat balanceAll,Process heat balanceAll,H2 balanceAll,CSP balanceAll,Max CapacityAll,Fuel production rate (kg output/kg input)2030 bench,Heat generated (kWh/output)2030 bench,Process heat generated (kWh/output)2030 bench,Load min (% of max capacity)2030 bench,Ramp up (% of capacity /h)2030 bench,Ramp down (% of capacity /h)2030 bench,Electrical consumption (kWh/output)2030 bench,Investment (EUR/Capacity installed)2030 bench,Fixed cost (EUR/Capacity installed/y)2030 bench,Variable cost (EUR/Output)2030 bench,Fuel selling price (EUR/output)2030 bench,Fuel buying price (EUR/output)2030 bench,CO2e infrastructure (kg CO2e/Capacity/y)2030 bench,CO2e process (kg CO2e/output)2030 bench,Land use (m2/Capacity)2030 bench,Annuity factor2030 bench
0,0,0,Line/Column index,1,2,3,4,5,6,7,8,9,10,15,25,35,45,55,65,75,85,95,105,115,125,135,145,155,165
Product,NoSubset,Biomass wheat 2,6,1,Biomass wheat 2,0,Product/Reactant1,0,0,0,0,0,20000,1.82,0,0,0.0,1.0,1.0,0,0,0,0,0,0.0928,3.560584789265715,0,0,0
Product,Biochar_sell,Sale of biochar,8,1,Biochar,0,Product/Reactant1,0,0,0,0,0,40000,0.16691944992061553,0,0,0.0,1.0,1.0,0,0,0,0,0.1185,0,0,0,0,0
Product/Reactant1,Min_demand_MainFuel,Wheat2-stage-SOEC,11,1,DME-W2,65700000,Reactant7,0,1,1,0,0,20000,6.57,1.66,1.1,0.5,1.0,1.0,0.64,12113.81,1167.05,0.00404937222588,0,0,18.474666666666668,0,0,0.09367877905196811
Reactant11,NoSubset,Desalination plant,16,1,H2O sea,0,-,0,0,0,0,0,400000,0,0,0,0.0,1.0,1.0,0.006749999999999999,134.434,4.03302,0,0,0,0,0,0,0.11682954493601999
Product/Reactant3,PWL,Electrolysers SOEC heat integrated,20,1,H2_from_SOEC_HI,0,Reactant11,0,1,0,1,0,20000,0.08888888888888889,0,0,0.0,1.0,1.0,34.2,105260.0,8999.730000000001,0,0,0,120.74318234482759,0,15.936,0.08849557522123894
Reactant7,NoSubset,H2 pipeline to Wheat-2,27,1,H2_pipeline_to_Wheat-2,0,-,0,0,0,-1,0,20000,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0
Heat_in,Heat_buy,Heat from district heating,31,1,Heat_import,0,-,0,1,0,0,0,2000000,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0
Heat_out,Heat_sell,Heat sent to district heating,32,1,Heat_export,0,-,0,-1,0,0,0,2000000,0,1,0,0.0,1.0,1.0,0,0,0,0,0.02,0,0,0,0,0
