Subsets,Subsets_2,Type of units,Parameters-->,Used (1 or 0),Unit tag,Yearly demand (kg fuel),Produced from,El balance,Heat balance,Process heat balance,H2 balance,CSP balance,Max Capacity,Fuel production rate (kg output/kg input),Heat generated (kWh/output),Process heat generated (kWh/output),Load min (% of max capacity),Ramp up (% of capacity /h),Ramp down (% of capacity /h),Electrical consumption (kWh/output),Investment (EUR/Capacity installed),Fixed cost (EUR/Capacity installed/y),Variable cost (EUR/Output),Fuel selling price (EUR/output),Fuel buying price (EUR/output),CO2e infrastructure (kg CO2e/Capacity/y),CO2e process (kg CO2e/output),Land use (m2/Capacity),Annuity factor
0,0,0,Year-->,All,All,All,All,All,All,All,All,All,All,2030 best,2030 best,2030 best,2030 best,2030 best,2030 best,2030 best,2030 best,2030 best,2030 best,2030 best,2030 best,2030 best,2030 best,2030 best,2030 best
0,0,0,0,Used (1 or 0)All,Unit tagAll,Yearly demand (kg fuel)All,Produced fromAll,El balanceAll,Heat balanceAll,Process heat balanceAll,H2 balanceAll,CSP balanceAll,Max CapacityAll,Fuel production rate (kg output/kg input)2030 best,Heat generated (kWh/output)2030 best,Process heat generated (kWh/output)2030 best,Load min (% of max capacity)2030 best,Ramp up (% of capacity /h)2030 best,Ramp down (% of capacity /h)2030 best,Electrical consumption (kWh/output)2030 best,Investment (EUR/Capacity installed)2030 best,Fixed cost (EUR/Capacity installed/y)2030 best,Variable cost (EUR/Output)2030 best,Fuel selling price (EUR/output)2030 best,Fuel buying price (EUR/output)2030 best,CO2e infrastructure (kg CO2e/Capacity/y)2030 best,CO2e process (kg CO2e/output)2030 best,Land use (m2/Capacity)2030 best,Annuity factor2030 best
0,0,0,Line/Column index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Product,Min_demand_MainFuel,NH3 plant + ASU - AEC,0,0,NH3-AEC,0,Reactant9,0,0,0,0,0,0,Based on MMZCS2023,0,0,Based on MMZCS2023,Based on MMZCS2023,Based on MMZCS2023,Based on MMZCS2023,For a large-scale 95 t$_{NH_3}$/h plant capacity based on MMZCS2023 (includes ASU),4% Capex based on MMZCS2023,0,0,0,0,0,0,0.0
Reactant11,NoSubset,Waste water plant,0,0,H2O wwtp,0,-,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Based on BhmWP12023,Using the 2025 benchmark value based on BhmWP12023,3% Capex based on BhmWP12023,0,0,Low water price from BhmWP12023,0,0,0,0
Product/Reactant3,PWL,Electrolysers AEC,0,0,H2_from_AEC,0,Reactant11,0,0,0,0,0,0,Consumption of non-purified water assuming a purification efficieny of 80% based on BhmWP12023. Conversion of purified water to hydrogen is stoechiometric (9 kg of water consumed per kg of hydrogen).,0,0,0.0,0.0,0.0,Based on IEA2019,From MMZCS2023,Using 10% Capex based on MMZCS2023,0,0,0,0,0,0,0.0
Reactant9,NoSubset,H2 pipeline to NH3 plant,0,0,H2_pipeline_to_NH3_plant,0,-,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Heat_in,Heat_buy,Heat from district heating,0,0,Heat_import,0,-,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Heat_out,Heat_sell,Heat sent to district heating,0,0,Heat_export,0,-,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
NoSubset,Process_heat_sell,Heat sent to other process,0,0,Heat_export_process,0,-,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
