Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Esbjerg - offshore,1,76830.65133043675,195464.81666338546,17374.650370078707,13829.517239478617,0.0,0.0,0.0,138997.20296062966,3545.133130600092,0.0,3545.133130600092,0.0,0.0,0.0,858919.3848622208,0.0,151268.96436685766,0.0,0.0,0.0,17374.650370078707,707650.4204953632,1.0
Profile: 2020ma,2,76830.65133043675,195464.81666338546,17374.650370078707,13829.517239478617,0.0,0.0,0.0,138997.20296062966,3545.133130600092,0.0,7090.266261200186,0.0,0.0,0.0,858919.3848622208,0.0,151268.96436685766,0.0,0.0,0.0,17374.650370078707,707650.4204953632,1.0
Location: Esbjerg,3,76830.65133043675,195464.81666338546,17374.650370078707,13829.517239478617,0.0,0.0,0.0,138997.20296062966,3545.13313060009,0.0,10635.399391800283,0.0,0.0,0.0,858919.3848622208,0.0,151268.96436685766,0.0,0.0,0.0,17374.650370078707,707650.4204953632,1.0
Fuel: NH3,4,76830.65133043675,195464.81666338546,17374.650370078707,13829.517239478617,0.0,0.0,0.0,138997.20296062966,3545.13313060009,0.0,14180.532522400374,0.0,0.0,0.0,858919.3848622208,0.0,151268.96436685766,0.0,0.0,0.0,17374.650370078707,707650.4204953632,1.0
Electrolyser: SOEC,5,76830.65133043675,195464.81666338546,17374.650370078707,13829.517239478617,0.0,0.0,0.0,138997.20296062966,3545.13313060009,0.0,17725.665653000466,0.0,0.0,0.0,858919.3848622208,0.0,0.0,144065.68034938825,0.0,144065.68034938825,17374.650370078707,714853.7045128326,1.0
CO2 capture: None,6,76830.65133043675,195464.81666338546,17374.650370078707,13829.517239478617,0.0,0.0,0.0,138997.20296062966,3545.13313060009,0.0,21270.798783600556,0.0,0.0,0.0,858919.3848622208,0.0,151268.96436685766,0.0,0.0,144065.68034938825,17374.650370078707,707650.4204953632,1.0
CO2taxWTTup: 0,7,76830.65133043675,195464.81666338546,17374.650370078707,13829.517239478617,0.0,0.0,0.0,138997.20296062966,3545.133130600092,0.0,24815.93191420057,0.0,0.0,0.0,858919.3848622208,0.0,151268.96436685766,0.0,0.0,144065.68034938825,17374.650370078707,707650.4204953632,1.0
CO2taxWTTop: 0,8,76830.65133043675,195464.81666338546,17374.650370078707,13829.517239478617,0.0,0.0,0.0,138997.20296062966,3545.133130600092,0.0,28361.065044800664,0.0,0.0,0.0,858919.3848622208,0.0,151268.96436685766,0.0,0.0,144065.68034938825,17374.650370078707,707650.4204953632,1.0
CO2WTTop_treshhold -1,9,76830.65133043675,195464.81666338546,17374.650370078707,13829.517239478617,0.0,0.0,0.0,138997.20296062966,3545.133130600092,0.0,31906.198175400757,0.0,0.0,0.0,858919.3848622208,0.0,151268.96436685766,0.0,0.0,144065.68034938825,17374.650370078707,707650.4204953632,1.0
Renewable criterion: None,10,76830.65133043675,195464.81666338546,17374.650370078707,13829.517239478617,0.0,0.0,0.0,138997.20296062966,3545.133130600092,0.0,35451.33130600085,0.0,0.0,0.0,858919.3848622208,0.0,151268.96436685766,0.0,0.0,144065.68034938825,17374.650370078707,707650.4204953632,1.0
Renewable application: 0,11,76830.65133043675,195464.81666338546,17374.650370078707,13829.517239478617,0.0,0.0,0.0,138997.20296062966,3545.13313060009,0.0,38996.464436600945,0.0,0.0,0.0,858919.3848622208,0.0,151268.96436685766,0.0,0.0,144065.68034938825,17374.650370078707,707650.4204953632,1.0
 ,12,76830.65133043675,195464.81666338546,17374.650370078707,13829.517239478617,0.0,0.0,0.0,138997.20296062966,3545.133130600092,0.0,42541.59756720104,0.0,0.0,0.0,858919.3848622208,0.0,151268.96436685778,0.0,0.0,144065.68034938825,17374.650370078707,707650.4204953632,1.0
 ,13,76830.65133043675,195464.81666338546,17374.650370078707,13829.517239478617,0.0,0.0,0.0,138997.20296062966,3545.133130600092,0.0,46086.73069780113,0.0,0.0,0.0,858919.3848622208,0.0,94135.45955695817,54412.86172371375,0.0,198478.542073102,17374.650370078707,710371.0635815489,1.0
 ,14,76830.65133043675,108627.72698203565,9655.797953958725,13829.517239478617,0.0,0.0,0.0,77246.3836316698,0.0,4173.71928551989,41913.011412281245,0.0,0.0,0.0,223001.7810880016,0.0,0.0,0.0,198478.542073102,0.0,9655.797953958725,421480.32316110353,1.0
 ,15,23925.282779648434,48448.69762878808,4306.550900336719,4306.550900336719,0.0,0.0,0.0,34452.40720269375,0.0,0.0,41913.011412281245,0.0,0.0,0.0,177455.31770682617,0.0,0.0,0.0,0.0,0.0,4306.550900336719,177455.31770682617,1.0
 ,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41913.011412281245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
 ,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41913.011412281245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
 ,18,76830.65133043675,130731.80834365128,11620.605186102337,13829.517239478617,0.0,0.0,0.0,92964.8414888187,0.0,2208.91205337628,39704.09935890496,0.0,0.0,0.0,486077.8503590954,0.0,0.0,0.0,0.0,0.0,11620.605186102337,486077.8503590953,1.0
 ,19,76830.65133043675,195464.81666338546,17374.650370078707,13829.517239478617,0.0,0.0,0.0,138997.20296062966,3545.133130600092,0.0,43249.232489505055,0.0,0.0,0.0,776818.8856601876,0.0,69168.46516482439,0.0,0.0,0.0,17374.650370078707,707650.4204953632,1.0
 ,20,76830.65133043675,195464.81666338546,17374.650370078707,13829.517239478617,0.0,0.0,0.0,138997.20296062966,3545.13313060009,0.0,46794.36562010515,0.0,0.0,0.0,858919.3848622208,0.0,151268.96436685766,0.0,0.0,0.0,17374.650370078707,707650.4204953632,1.0
