Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Ceduna - onshore,1,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.371459457343,0.0,2807.371459457343,0.0,732622.9628829976,39111.850256656115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217589.89003143663,0.0,0.0,0.0,13607.466307533303,554144.9231082171,1.0
Profile: 2020ma,2,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.371459457343,0.0,5614.742918914686,0.0,740195.2932487134,43403.540336825296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229453.9104773216,0.0,0.0,0.0,13607.466307533303,554144.9231082171,1.0
Location: Ceduna,3,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.3714594573357,0.0,8422.114378372022,0.0,740195.2932487134,74751.52520415904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260801.89534465532,0.0,0.0,0.0,13607.466307533303,554144.9231082171,1.0
Fuel: NH3,4,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.371459457343,0.0,11229.485837829365,0.0,737355.6693615699,127920.45198388369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296315.4268926062,0.0,296315.4268926062,13607.466307533303,568960.6944528474,1.0
Electrolyser: SOEC,5,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.371459457343,0.0,14036.857297286708,0.0,731676.4215872831,209947.1475861987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387478.64606526477,0.0,0.0,296315.4268926062,13607.466307533303,554144.9231082171,1.0
CO2 capture: All,6,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.371459457343,0.0,16844.22875674405,0.0,715585.2195601373,327780.7570945927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489221.05354651285,0.0,0.0,296315.4268926062,13607.466307533303,554144.9231082171,1.0
CO2taxWTTup: 0,7,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.371459457343,0.0,19651.600216201394,0.0,682456.2742101308,415789.47853512113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544100.8296370348,0.0,0.0,296315.4268926062,13607.466307533303,554144.9231082171,1.0
CO2taxWTTop: 0,8,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.371459457343,0.0,22458.971675658737,0.0,620931.0899886905,453949.39231368847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520735.55919416185,0.0,0.0,296315.4268926062,13607.466307533303,554144.9231082171,1.0
CO2WTTop_treshhold -1,9,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.371459457343,0.0,25266.34313511608,0.0,502613.4280243821,443866.7570596452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373652.6304531527,0.0,669968.0573457589,13607.466307533296,572827.5546308744,1.0
Renewable criterion: None,10,60000.52693375533,143828.40558829508,12784.747163404008,10800.09484807596,0.0,0.0,0.0,102277.97730723207,1984.6523153280484,0.0,27250.995450444127,0.0,252726.52595576274,392080.02079713246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116799.21350341756,0.0,786767.2708491764,12784.74716340401,528007.3332494776,1.0
Renewable application: 0,11,60000.52693375533,100171.89327587602,8904.16829118898,10800.09484807596,0.0,0.0,0.0,71233.34632951184,0.0,1895.9265568869796,25355.068893557145,0.0,0.0,373118.71886016766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786767.2708491764,8904.16829118898,373118.71886016766,1.0
 ,12,60000.52693375533,106872.79646115543,9499.804129880484,10800.09484807596,0.0,0.0,0.0,75998.43303904387,0.0,1300.290718195476,24054.77817536167,0.0,0.0,395710.0694045389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786767.2708491764,9499.804129880486,395710.06940453895,1.0
 ,13,60000.52693375533,121501.06704085454,10800.09484807596,10800.09484807596,0.0,0.0,0.0,86400.75878460768,0.0,0.0,24054.77817536167,0.0,0.0,393038.03397249436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54725.92034537089,732041.3505038056,10800.094848075962,447763.95431786525,1.0
 ,14,60000.52693375533,121501.06704085454,10800.09484807596,10800.09484807596,0.0,0.0,0.0,86400.75878460768,0.0,0.0,24054.77817536167,0.0,0.0,341972.5244146145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108479.088301034,623562.2622027716,10800.094848075963,450451.6127156485,1.0
 ,15,60000.52693375533,121501.06704085454,10800.09484807596,10800.09484807596,0.0,0.0,0.0,86400.75878460768,0.0,0.0,24054.77817536167,0.0,0.0,270287.252418765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183937.26934929652,439624.9928534751,10800.094848075962,454224.5217680615,1.0
 ,16,60000.52693375533,57765.94457644645,5134.750629017462,10800.09484807596,0.0,0.0,0.0,41078.0050321397,0.0,5665.344219058497,18389.43395630317,0.0,0.0,230151.77459211863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439624.9928534751,5134.750629017464,230151.77459211863,1.0
 ,17,60000.52693375533,121501.06704085454,10800.09484807596,10800.09484807596,0.0,0.0,0.0,86400.75878460768,0.0,0.0,18389.43395630317,0.0,0.0,238974.31230256538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216898.25894529605,222726.733908179,10800.09484807596,455872.57124786143,1.0
 ,18,60000.52693375533,53785.681813122814,4780.949494499806,10800.09484807596,0.0,0.0,0.0,38247.59595599845,0.0,6019.145353576154,12370.28860272702,0.0,0.0,216732.7609369911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222726.733908179,4780.949494499807,216732.76093699114,1.0
 ,19,60000.52693375533,110566.18796909008,9828.105597252452,10800.09484807596,0.0,0.0,0.0,78624.84477801961,0.0,971.989250823508,11398.299351903512,0.0,0.0,196571.53128393623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222726.733908179,0.0,9828.105597252452,419298.2651921152,1.0
 ,20,60000.52693375533,47057.13459115432,4182.856408102606,10800.09484807596,0.0,0.0,0.0,33462.85126482085,0.0,6617.238439973354,4781.060911930157,0.0,0.0,194048.21159448233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4182.856408102606,194048.2115944823,1.0
 ,21,60000.52693375533,137390.77743884127,12212.513550119225,10800.09484807596,0.0,0.0,0.0,97700.1084009538,1412.4187020432655,0.0,6193.479613973423,0.0,335075.61868292134,164850.1062810307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12212.513550119225,499925.72496395203,1.0
 ,22,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.371459457343,0.0,9000.851073430766,0.0,510185.7583900978,119789.44233740035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75830.27761928109,0.0,0.0,0.0,13607.466307533303,554144.9231082171,1.0
 ,23,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.371459457343,0.0,11808.222532888109,0.0,630396.5029458351,64655.21691219976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134196.94928554076,0.0,134196.94928554076,13607.466307533303,560854.7705724941,1.0
 ,24,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.371459457343,0.0,14615.593992345452,0.0,665418.5308872703,58504.16214477913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169777.76992383238,0.0,0.0,134196.94928554076,13607.466307533303,554144.9231082171,1.0
 ,25,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.371459457343,0.0,17422.965451802796,0.0,611465.6770315458,45460.37128316645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97886.78591094777,0.0,232083.73519648853,13607.466307533303,559039.2624037645,1.0
 ,26,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.371459457332,0.0,20230.33691126013,0.0,583069.4381601118,37399.30442963714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63165.54236336367,0.0,295249.2775598522,13607.466307533303,557303.2002263853,1.0
 ,27,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.371459457343,0.0,23037.70837071746,0.0,548993.9515143909,14478.654760090767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289814.4968481242,0.0,295249.2775598522,0.0,13607.466307533303,568907.3869862097,1.0
 ,28,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.371459457343,0.0,25845.079830174804,0.0,560352.4470629646,26152.35794970949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32359.881904456997,0.0,0.0,0.0,13607.466307533303,554144.9231082171,1.0
 ,29,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.371459457343,0.0,28652.451289632147,0.0,602000.2640744011,45410.46371569382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88824.5758875034,0.0,88824.5758875034,13607.466307533303,558586.1519025923,1.0
 ,30,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.371459457343,0.0,31459.82274908949,0.0,610519.1357358313,93179.17594811313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142431.79864354973,0.0,231256.37453105312,13607.466307533303,561266.5130403946,1.0
 ,31,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.371459457343,0.0,34267.19420854683,0.0,548047.4102186764,264575.31006465317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246169.33064296434,0.0,477425.70517401746,13607.466307533301,566453.3896403653,1.0
 ,32,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,11619.207119093615,8811.835659636272,37074.56566800417,0.0,510185.7583900978,343113.5683670573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277020.26488464745,0.0,754445.9700586649,13607.466307533303,576279.0618725076,1.0
 ,33,60000.52693375533,153083.99595974965,13607.466307533303,10800.09484807596,0.0,0.0,0.0,108859.73046026642,2807.371459457343,0.0,39881.93712746152,0.0,307625.92110720184,280456.3678310526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32321.30079051158,0.0,786767.2708491764,13607.466307533303,555760.9881477427,1.0
