Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Bornholm - offshore,1,60748.43432129286,123015.57950061803,10934.718177832714,10934.718177832714,0.0,0.0,0.0,87477.74542266171,0.0,0.0,0.0,0.0,450574.9341381742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10934.718177832716,450574.9341381742,1.0
Profile: 2020,2,66562.8407967107,134789.7526133392,11981.31134340793,11981.311343407928,0.0,0.0,0.0,95850.49074726344,0.0,0.0,0.0,0.0,493700.7503667532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11981.31134340793,493700.7503667532,1.0
Location: Bornholm,3,68672.58203518699,139061.9786212537,12361.06476633366,12361.064766333659,0.0,0.0,0.0,98888.51813066928,0.0,0.0,0.0,0.0,509348.8329913591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12361.06476633366,509348.8329913592,1.0
Fuel: NH3,4,74614.30247788299,172057.97223416745,15294.04197637044,13430.574446018938,0.0,0.0,0.0,122352.33581096352,1863.467530351504,0.0,1863.467530351504,0.0,625848.4337755066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15294.041976370443,625848.4337755066,1.0
Electrolyser: SOEC,5,74614.30247788299,155024.7692382281,13779.979487842498,13430.574446018938,0.0,0.0,0.0,110239.83590273999,349.4050418235627,0.0,2212.8725721750593,0.0,566999.6637135914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13779.9794878425,566999.6637135914,1.0
CO2 capture: None,6,74614.30247788299,173314.87525422403,15405.76668926436,13430.574446018938,0.0,0.0,0.0,123246.13351411487,1975.1922432454253,0.0,4188.064815420485,0.0,630190.9638818565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15405.766689264361,630190.9638818565,1.0
CO2taxWTTup: 0,7,74614.30247788299,182043.69679363316,16181.661937211837,13430.574446018938,0.0,0.0,0.0,129453.2954976947,2751.0874911929695,0.0,6939.152306613454,0.0,689039.7339437716,0.0,0.0,0.0,28691.176577786566,0.0,0.0,0.0,16181.661937211837,660348.557365985,1.0
CO2taxWTTop: 0,8,74614.30247788299,182043.69679363316,16181.661937211837,13430.574446018938,0.0,0.0,0.0,129453.2954976947,2751.0874911929004,0.0,9690.239797806355,0.0,695104.3018509155,0.0,0.0,0.0,34755.74448493065,0.0,0.0,0.0,16181.661937211837,660348.5573659849,1.0
CO2WTTop_treshhold -1,9,74614.30247788299,182043.69679363316,16181.661937211837,13430.574446018938,0.0,0.0,0.0,129453.2954976947,2751.0874911929004,0.0,12441.327288999255,0.0,697949.4077826621,0.0,0.0,0.0,0.0,35810.33373016875,0.0,35810.33373016875,16181.661937211837,662139.0740524933,1.0
Renewable criterion: None,10,74614.30247788299,182043.69679363316,16181.661937211837,13430.574446018938,0.0,0.0,0.0,129453.2954976947,2751.0874911929004,0.0,15192.414780192155,0.0,705361.657446949,0.0,0.0,0.0,0.0,42869.61912472777,0.0,78679.95285489652,16181.661937211837,662492.0383222213,1.0
