Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Ceduna - offshore,1,11519.706261815296,23327.405180175974,2073.5471271267534,2073.5471271267534,0.0,0.0,0.0,16588.377017014027,0.0,0.0,0.0,0.0,0.0,62811.67042955101,22630.71089597441,0.0,0.0,0.0,0.0,0.0,2073.5471271267534,85442.38132552542,1.0
Profile: 2020ma,2,14573.08407079364,29510.495243357123,2623.1551327428556,2623.1551327428556,0.0,0.0,0.0,20985.241061942845,0.0,0.0,0.0,0.0,0.0,80798.62413827374,27290.851232557132,0.0,0.0,0.0,0.0,0.0,2623.1551327428556,108089.47537083087,1.0
Location: Ceduna,3,20905.714802973696,42334.07247602174,3763.028664535266,3763.0286645352653,0.0,0.0,0.0,30104.22931628213,0.0,0.0,0.0,0.0,0.0,118427.91771328398,36631.07558754712,0.0,0.0,0.0,0.0,0.0,3763.028664535266,155058.99330083112,1.0
Fuel: NH3,4,27890.53894612444,56478.341365901986,5020.297010302399,5020.2970103024,0.0,0.0,0.0,40162.37608241919,0.0,0.0,0.0,0.0,0.0,158600.5378033023,48265.332718786834,0.0,0.0,0.0,0.0,0.0,5020.297010302399,206865.8705220891,1.0
Electrolyser: SOEC,5,39412.029910210185,79809.36056817562,7094.165383837833,7094.165383837833,0.0,0.0,0.0,56753.32307070267,0.0,0.0,0.0,0.0,0.0,223103.69309167477,69217.79600422358,0.0,0.0,0.0,0.0,0.0,7094.165383837833,292321.48909589835,1.0
CO2 capture: None,6,61278.58912445792,124089.14297702731,11030.146042402428,11030.146042402426,0.0,0.0,0.0,88241.16833921942,0.0,0.0,0.0,0.0,0.0,345621.23539060494,108885.89005731982,0.0,0.0,0.0,0.0,0.0,11030.146042402428,454507.1254479247,1.0
CO2taxWTTup: 0,7,70195.62874964593,172630.23211665472,15344.90952148042,12635.213174936267,0.0,0.0,0.0,122759.27617184336,2709.6963465441513,0.0,2709.6963465441513,0.0,0.0,471186.1420411849,154780.03993125734,0.0,0.0,0.0,0.0,0.0,15344.90952148042,625966.1819724422,1.0
CO2taxWTTop: 0,8,70195.62874964593,199265.97792074992,17712.531370733326,12635.213174936267,0.0,0.0,0.0,141700.2509658666,5077.318195797054,0.0,7787.014542341205,0.0,0.0,534100.2430920453,183890.9608698899,0.0,0.0,0.0,0.0,0.0,17712.531370733326,717991.2039619352,1.0
CO2WTTop_treshhold -1,9,70195.62874964593,220865.5423632955,19632.492654515157,12635.213174936267,0.0,0.0,0.0,157059.94123612126,6997.279479578893,0.0,14784.294021920134,0.0,0.0,583861.5499680839,208754.94916704416,0.0,0.0,0.0,0.0,0.0,19632.492654515157,792616.4991351279,1.0
Renewable criterion: None,10,70195.62874964593,229445.0895116939,20395.119067706124,12635.213174936267,0.0,0.0,0.0,163160.952541649,7759.905892769857,0.0,22544.19991468999,0.0,0.0,651135.8352512348,238283.88267035162,0.0,67161.36003025027,0.0,0.0,0.0,20395.119067706124,822258.3578913361,1.0
Renewable application: 0,11,70195.62874964593,229445.0895116939,20395.119067706124,12635.213174936267,0.0,0.0,0.0,163160.952541649,7759.905892769857,0.0,30304.105807459848,0.0,0.0,638272.8246779983,234990.56223663889,0.0,0.0,48576.218117429606,0.0,48576.218117429606,20395.119067706124,824687.1687972075,1.0
 ,12,70195.62874964593,229445.0895116939,20395.119067706124,12635.213174936267,0.0,0.0,0.0,163160.952541649,7759.905892769857,0.0,38064.011700229705,0.0,0.0,677593.4286599358,253422.0556026948,0.0,38156.77123502607,67238.43346311277,0.0,115814.65158054238,20395.119067706124,825620.2795644917,1.0
 ,13,70195.62874964593,229445.0895116939,20395.119067706124,12635.213174936267,0.0,0.0,0.0,163160.952541649,7759.905892769857,0.0,45823.91759299956,0.0,0.0,628225.1884049972,240685.8992246522,0.0,0.0,44431.17117934605,0.0,160245.82275988843,20395.119067706124,824479.9164503034,1.0
 ,14,70195.62874964593,205511.57466615064,18267.69552588006,12635.213174936267,0.0,0.0,0.0,146141.56420704047,5632.482350943787,0.0,51456.39994394335,0.0,0.0,533228.7819375041,206340.61180219374,0.0,0.0,0.0,0.0,160245.82275988843,18267.69552588006,739569.3937396978,1.0
 ,15,70195.62874964593,180093.295026081,16008.2928912072,12635.213174936267,0.0,0.0,0.0,128066.3431296576,3373.0797162709355,0.0,54829.47966021428,0.0,0.0,472458.92245240026,179291.72725750366,0.0,0.0,0.0,0.0,160245.82275988843,16008.2928912072,651750.6497099039,1.0
 ,16,70195.62874964593,192968.24931700528,17152.733272622692,12635.213174936267,0.0,0.0,0.0,137221.86618098154,4517.520097686427,0.0,59346.99975790071,0.0,0.0,508778.2122991474,187454.68921066157,0.0,0.0,0.0,0.0,160245.82275988843,17152.733272622692,696232.9015098088,1.0
 ,17,70195.62874964593,174647.5532945018,15524.226959511272,12635.213174936267,0.0,0.0,0.0,124193.81567609018,2889.0137845750064,0.0,62236.01354247572,0.0,0.0,464801.34620003315,168134.56836847196,0.0,0.0,0.0,0.0,160245.82275988843,15524.226959511272,632935.914568505,1.0
 ,18,70195.62874964593,142146.148218033,12635.213174936267,12635.213174936267,0.0,0.0,0.0,101081.70539949014,0.0,0.0,62236.01354247572,0.0,0.0,376383.55996927153,137474.31380910263,0.0,0.0,0.0,7144.728299522685,153101.09446036574,12635.213174936267,521002.6020778968,1.0
 ,19,70195.62874964593,142146.148218033,12635.213174936267,12635.213174936267,0.0,0.0,0.0,101081.70539949014,0.0,0.0,62236.01354247572,0.0,0.0,362666.1635713636,133413.7491329382,0.0,0.0,0.0,25858.37153538814,127242.7229249776,12635.213174936267,521938.28423969005,1.0
 ,20,59200.8278724286,119881.67644166794,10656.14901703715,10656.149017037149,0.0,0.0,0.0,85249.1921362972,0.0,0.0,62236.01354247572,0.0,0.0,320567.67454989895,118528.56583164609,0.0,0.0,0.0,0.0,127242.7229249776,10656.14901703715,439096.24038154504,1.0
 ,21,70195.62874964593,142146.14821803302,12635.213174936269,12635.213174936267,0.0,0.0,0.0,101081.70539949015,0.0,0.0,62236.01354247572,0.0,0.0,297297.1770988495,109164.70933443432,0.0,0.0,0.0,120193.13603119679,7049.586893780813,12635.213174936269,526655.0224644806,1.0
