Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Arica - offshore,1,21734.767652230537,44012.90449576685,3912.258177401498,3912.258177401497,0.0,0.0,0.0,31298.065419211984,0.0,0.0,0.0,0.0,0.0,161208.1300995722,0.0,0.0,0.0,0.0,0.0,0.0,3912.2581774014984,161208.1300995722,1.0
Profile: 2020ma,2,32824.595059315165,66469.80499511323,5908.427110676731,5908.42711067673,0.0,0.0,0.0,47267.41688541385,0.0,0.0,0.0,0.0,0.0,243462.07309213182,0.0,0.0,0.0,0.0,0.0,0.0,5908.427110676731,243462.07309213185,1.0
Location: Arica,3,37821.239747054016,76588.01048778438,6807.823154469723,6807.823154469723,0.0,0.0,0.0,54462.58523575778,0.0,0.0,0.0,0.0,0.0,280522.49903138384,0.0,0.0,0.0,0.0,0.0,0.0,6807.823154469723,280522.4990313838,1.0
Fuel: NH3,4,20089.795386919835,40681.83565851267,3616.1631696455706,3616.1631696455706,0.0,0.0,0.0,28929.305357164565,0.0,0.0,0.0,0.0,0.0,149007.26799699612,0.0,0.0,0.0,0.0,0.0,0.0,3616.163169645571,149007.26799699612,1.0
Electrolyser: SOEC,5,16894.856880945306,34212.08518391424,3041.074238570155,3041.074238570155,0.0,0.0,0.0,24328.59390856124,0.0,0.0,0.0,0.0,0.0,125310.20941452638,0.0,0.0,0.0,0.0,0.0,0.0,3041.074238570155,125310.2094145264,1.0
CO2 capture: None,6,32841.446387719036,66503.92893513104,5911.460349789427,5911.460349789427,0.0,0.0,0.0,47291.682798315414,0.0,0.0,0.0,0.0,0.0,243587.06044811136,0.0,0.0,0.0,0.0,0.0,0.0,5911.460349789427,243587.06044811133,1.0
CO2taxWTTup: 0,7,21902.52271476154,44352.608497392124,3942.454088657078,3942.4540886570776,0.0,0.0,0.0,31539.632709256624,0.0,0.0,0.0,0.0,0.0,162452.37988305604,0.0,0.0,0.0,0.0,0.0,0.0,3942.454088657078,162452.37988305604,1.0
CO2taxWTTop: 0,8,12313.513594498096,24934.865028858643,2216.432447009657,2216.432447009657,0.0,0.0,0.0,17731.459576077257,0.0,0.0,0.0,0.0,0.0,91330.09992499204,0.0,0.0,0.0,0.0,0.0,0.0,2216.4324470096576,91330.09992499204,1.0
CO2WTTop_treshhold -1,9,8419.654461851236,17049.80028524875,1515.5378031332225,1515.5378031332225,0.0,0.0,0.0,12124.30242506578,0.0,0.0,0.0,0.0,0.0,62449.10337195448,0.0,0.0,0.0,0.0,0.0,0.0,1515.5378031332223,62449.10337195447,1.0
Renewable criterion: None,10,4715.519205474577,9548.926391086017,848.7934569854239,848.7934569854239,0.0,0.0,0.0,6790.347655883391,0.0,0.0,0.0,0.0,0.0,34975.30066695528,0.0,0.0,0.0,0.0,0.0,0.0,848.7934569854239,34975.30066695528,1.0
