Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: MeOH Biogas SOEC - Worst fuel,1,1033.6782918832873,1299.1585089243501,441.3106446138609,39.227612854565415,39.227612854565415,0.0,0.0,0.0,313.8209028365233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695.7361519287608,0.0,0.0,0.0,0.0,0.0,39.227612854565415,1695.7361519287608,1.0
Profile: 2019,2,801.7168238589874,1007.6222376369785,342.27880290528066,30.424782480469393,30.424782480469393,0.0,0.0,0.0,243.39825984375514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315.206300163541,0.0,0.0,0.0,0.0,0.0,30.424782480469393,1315.206300163541,1.0
Location: Bornholm,3,1241.3562937237937,1560.174576811325,529.9750903935742,47.10889692387327,47.10889692387327,0.0,0.0,0.0,376.87117539098614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.4292848373093,0.0,0.0,0.0,0.0,0.0,47.10889692387327,2036.4292848373093,1.0
Fuel: MeOH,4,1574.438464214937,1978.8024413630355,672.1786255969887,59.74921116417678,59.74921116417678,0.0,0.0,0.0,477.9936893134142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.8463688564298,0.0,0.0,0.0,0.0,0.0,59.74921116417678,2582.8463688564293,1.0
Electrolyser: SOEC,5,2132.671696439932,2680.407050170406,1333.306571618838,118.51613969945227,80.93390401128876,0.0,0.0,0.0,948.1291175956181,37.58223568816365,0.0,37.58223568816365,0.0,0.0,0.0,0.0,0.0,5158.557802992262,0.0,0.0,0.0,0.0,0.0,118.51613969945227,5158.55780299226,1.0
CO2 capture: None,6,2132.671696439932,2680.407050170406,1458.096498102289,129.60857760909235,80.93390401128876,0.0,0.0,0.0,1036.8686208727388,48.67467359780359,0.0,86.25690928596724,0.0,0.0,0.0,0.0,0.0,5648.489987139981,0.0,0.0,0.0,0.0,0.0,129.60857760909235,5648.489987139981,1.0
CO2taxWTTup: 0,7,2132.671696439932,2680.407050170406,1458.096498102289,129.60857760909235,80.93390401128876,0.0,0.0,0.0,1036.8686208727388,48.67467359780359,0.0,134.93158288377083,0.0,0.0,0.0,0.0,0.0,5648.489987139981,0.0,0.0,0.0,0.0,0.0,129.60857760909235,5648.489987139981,1.0
CO2taxWTTop: 0,8,2132.671696439932,2680.407050170406,1458.096498102289,129.60857760909235,80.93390401128876,0.0,0.0,0.0,1036.8686208727388,48.67467359780359,0.0,183.6062564815744,0.0,0.0,0.0,0.0,0.0,5648.489987139981,0.0,0.0,0.0,0.0,0.0,129.60857760909235,5648.489987139981,1.0
CO2WTTop_treshhold -1,9,2132.671696439932,2680.407050170406,1458.096498102289,129.60857760909235,80.93390401128876,0.0,0.0,0.0,1036.8686208727388,48.67467359780359,0.0,232.28093007937798,0.0,0.0,0.0,0.0,0.0,5648.489987139981,0.0,0.0,0.0,0.0,0.0,129.60857760909235,5648.489987139981,1.0
Renewable criterion: None,10,2132.671696439932,2680.407050170406,1458.0964981022887,129.60857760909232,80.93390401128876,0.0,0.0,0.0,1036.8686208727386,48.67467359780356,0.0,280.95560367718156,0.0,263.54779996289795,0.0,0.0,0.0,5648.489987139981,0.0,263.54779996289886,0.0,0.0,0.0,129.60857760909232,5648.48998713998,1.0
Renewable application: 0,11,0.0,0.0,1458.096498102289,129.60857760909235,0.0,0.0,0.0,0.0,1036.8686208727388,129.60857760909235,0.0,410.5641812862739,0.0,749.464056144491,0.0,0.0,0.0,5648.489987139981,0.0,673.38618637388,0.0,0.0,0.0,129.60857760909235,5724.567856910592,1.0
 ,12,0.0,0.0,1458.096498102289,129.60857760909235,0.0,0.0,0.0,0.0,1036.8686208727388,129.60857760909235,0.0,540.1727588953662,0.0,411.7934374420281,0.0,0.0,0.0,5648.489987139981,0.0,335.71556767141715,0.0,0.0,0.0,129.60857760909235,5724.567856910592,1.0
 ,13,0.0,0.0,1458.096498102289,129.60857760909235,0.0,0.0,0.0,0.0,1036.8686208727388,129.60857760909235,0.0,669.7813365044585,0.0,337.670618702463,0.0,0.0,0.0,5648.489987139981,0.0,261.59274893185204,0.0,0.0,0.0,129.60857760909235,5724.567856910592,1.0
 ,14,0.0,0.0,1458.096498102289,129.60857760909235,0.0,0.0,0.0,0.0,1036.8686208727388,129.60857760909235,0.0,799.3899141135508,0.0,197.66084997217348,0.0,0.0,0.0,5648.489987139981,0.0,121.58298020156252,0.0,0.0,0.0,129.60857760909235,5724.567856910592,1.0
 ,15,0.0,0.0,1458.096498102289,129.60857760909235,0.0,0.0,0.0,0.0,1036.8686208727388,129.60857760909235,0.0,928.9984917226432,0.0,140.00976873028955,0.0,0.0,0.0,5648.489987139981,0.0,63.93189895967859,0.0,0.0,0.0,129.60857760909235,5724.567856910592,1.0
 ,16,2132.671696439932,2680.407050170406,1458.096498102289,129.60857760909235,80.93390401128876,0.0,0.0,0.0,1036.8686208727388,48.67467359780359,0.0,977.673165320447,0.0,0.0,0.0,0.0,0.0,5648.489987139981,0.0,0.0,8.661854302599316e-13,0.0,8.661854302599316e-13,129.60857760909235,5648.489987139981,1.0
 ,17,2132.671696439932,2680.407050170406,1458.096498102289,129.60857760909235,80.93390401128876,0.0,0.0,0.0,1036.8686208727388,48.67467359780359,0.0,1026.3478389182505,0.0,0.0,0.0,0.0,0.0,5648.489987139981,0.0,0.0,0.0,1.2924398393615298e-12,-4.262544091015982e-13,129.60857760909238,5648.489987139983,1.0
 ,18,2132.671696439932,2680.407050170406,1458.096498102289,129.60857760909235,80.93390401128876,0.0,0.0,0.0,1036.8686208727388,48.67467359780359,0.0,1075.0225125160541,0.0,0.0,0.0,0.0,0.0,5648.489987139981,0.0,0.0,0.0,0.0,-4.262544091015982e-13,129.60857760909235,5648.489987139981,1.0
 ,19,2132.671696439932,2680.407050170406,1458.096498102289,129.60857760909235,80.93390401128876,0.0,0.0,0.0,1036.8686208727388,48.67467359780359,0.0,1123.6971861005356,0.0,0.0,0.0,0.0,0.0,5648.489987139981,0.0,0.0,0.0,-9.573628439715034e-13,5.311084348699052e-13,129.60857760909235,5648.489987139981,1.0
 ,20,2132.671696439932,2680.407050170406,1458.096498102289,129.60857760909235,80.93390401128876,0.0,0.0,0.0,1036.8686208727388,48.67467359780359,0.0,1172.3718596983392,0.0,0.0,0.0,0.0,0.0,5648.489987139981,0.0,0.0,0.0,0.0,5.311084348699052e-13,129.60857760909235,5648.489987139981,1.0
