Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_AEC,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: MeOH Biogas AEC - Bench fuel,1,1762.0079707898035,2214.5455370582226,752.2581053601222,66.86738714312197,66.86738714312197,0.0,379.5392894243603,0.0,534.9390971449758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3331.8765249908747,0.0,0.0,0.0,0.0,0.0,66.86738714312197,3331.8765249908743,1.0
Profile: 2019,2,1366.6064626181785,1717.5928218698416,583.4484323480331,51.862082875380715,51.862082875380715,0.0,294.3691824006609,0.0,414.8966630030457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2584.19034827483,0.0,0.0,0.0,0.0,0.0,51.862082875380715,2584.19034827483,1.0
Location: Bornholm,3,2116.015883574711,2659.47351487532,903.3955157287584,80.30182362033408,80.30182362033406,0.0,455.79315086901613,0.0,642.4145889626726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001.289305081959,0.0,0.0,0.0,0.0,0.0,80.30182362033408,4001.2893050819584,1.0
Fuel: MeOH,4,2683.787736714904,3373.0665543411355,1145.795655569555,101.84850271729378,101.84850271729378,0.0,578.0921014233594,0.0,814.7880217383503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5074.919924460154,0.0,0.0,0.0,0.0,0.0,101.84850271729378,5074.919924460154,1.0
Electrolyser: AEC,5,3719.779413624979,4675.132596359263,2275.4590910906218,202.26303031916638,141.16390746313422,0.0,1148.044960091588,0.0,1618.104242553331,61.09912285603213,0.0,61.09912285603213,0.0,0.0,0.0,0.0,0.0,10135.820733106882,0.0,0.0,0.0,0.0,0.0,202.26303031916638,10135.820733106882,1.0
CO2 capture: None,6,3719.779413624979,4675.132596359263,2488.777328978498,221.2246514647554,141.16390746313422,0.0,1255.6711217139514,0.0,1769.7972117180432,80.06074400162117,0.0,141.15986685765327,0.0,0.0,0.0,0.0,0.0,11098.46668562879,0.0,0.0,0.0,0.0,0.0,221.2246514647554,11098.466685628788,1.0
CO2taxWTTup: 0,7,3719.779413624979,4675.132596359263,2488.777328978498,221.2246514647554,141.16390746313422,0.0,1255.6711217139514,0.0,1769.7972117180432,80.06074400162117,0.0,221.22061085927444,0.0,0.0,0.0,0.0,0.0,11098.46668562879,0.0,0.0,0.0,0.0,0.0,221.2246514647554,11098.466685628788,1.0
CO2taxWTTop: 0,8,3719.779413624979,4675.132596359263,2488.7773289784986,221.22465146475542,141.16390746313422,0.0,1255.6711217139516,0.0,1769.7972117180434,80.0607440016212,0.0,301.28135486089553,0.0,0.0,0.0,0.0,0.0,11098.46668562879,0.0,0.0,-8.06466005087713e-12,-8.06466005087713e-12,0.0,221.22465146475542,11098.46668562879,1.0
CO2WTTop_treshhold -1,9,3719.779413624979,4675.132596359263,2488.7773289784986,221.22465146475542,141.16390746313422,0.0,1255.6711217139516,0.0,1769.7972117180434,80.06074400162184,6.394884621840902e-13,381.34209886251676,0.0,0.0,0.0,0.0,0.0,11098.46668562879,0.0,0.0,0.0,0.0,0.0,221.22465146475542,11098.46668562879,1.0
Renewable criterion: None,10,3719.779413624979,4675.132596359263,2488.7773289784986,221.22465146475542,141.16390746313422,0.0,1255.6711217139516,0.0,1769.7972117180434,80.0607440016212,0.0,461.40284286413794,0.0,482.0269490779868,0.0,0.0,0.0,11098.46668562879,0.0,482.0269490779868,0.0,0.0,0.0,221.22465146475542,11098.46668562879,1.0
Renewable application: 0,11,0.0,0.0,2488.7773289784986,221.22465146475542,0.0,0.0,1255.6711217139516,0.0,1769.7972117180434,221.22465146475542,0.0,682.6274943288934,0.0,1370.764136440525,0.0,0.0,0.0,11098.46668562879,0.0,1238.0700634251793,0.0,0.0,0.0,221.22465146475542,11231.160758644135,1.0
 ,12,0.0,0.0,2488.7773289784986,221.22465146475542,0.0,0.0,1255.6711217139516,0.0,1769.7972117180434,221.22465146475542,0.0,903.8521457936488,0.0,753.1671079343544,0.0,0.0,0.0,11098.46668562879,0.0,620.4730349190088,0.0,0.0,0.0,221.22465146475542,11231.160758644135,1.0
 ,13,0.0,0.0,2488.7773289784986,221.22465146475542,0.0,0.0,1255.6711217139516,0.0,1769.7972117180434,221.22465146475542,0.0,1125.0767972584042,0.0,617.5970285061705,0.0,0.0,0.0,11098.46668562879,0.0,484.902955490825,0.0,0.0,0.0,221.22465146475542,11231.160758644135,1.0
 ,14,0.0,0.0,2488.7773289784986,221.22465146475542,0.0,0.0,1255.6711217139516,0.0,1769.7972117180434,221.22465146475542,0.0,1346.3014487231596,0.0,361.5202118084901,0.0,0.0,0.0,11098.46668562879,0.0,228.82613879314454,0.0,0.0,0.0,221.22465146475542,11231.160758644135,1.0
 ,15,0.0,0.0,2488.7773289784986,221.22465146475542,0.0,0.0,1255.6711217139516,0.0,1769.7972117180434,221.22465146475542,0.0,1567.526100187915,0.0,256.0768166976805,0.0,0.0,0.0,11098.46668562879,0.0,123.38274368233493,0.0,0.0,0.0,221.22465146475542,11231.160758644135,1.0
 ,16,3719.779413624979,4675.132596359263,2488.7773289784986,221.22465146475542,141.16390746313422,0.0,1255.6711217139516,0.0,1769.7972117180434,80.06074400162184,6.394884621840902e-13,1647.5868441895364,0.0,0.0,0.0,0.0,0.0,11098.46668562879,0.0,0.0,0.0,0.0,0.0,221.22465146475542,11098.46668562879,1.0
 ,17,3719.779413624979,4675.132596359263,2488.7773289784986,221.22465146475542,141.16390746313422,0.0,1255.6711217139516,0.0,1769.7972117180434,80.06074400161857,-2.6290081223123707e-12,1727.6475881911574,0.0,0.0,0.0,0.0,0.0,11098.46668562879,0.0,0.0,0.0,0.0,0.0,221.2246514647555,11098.466685628791,1.0
 ,18,3719.779413624979,4675.132596359263,2488.7773289784986,221.22465146475542,141.16390746313422,0.0,1255.6711217139516,0.0,1769.7972117180434,80.06074400162184,6.394884621840902e-13,1807.7083321927787,0.0,0.0,0.0,0.0,0.0,11098.46668562879,0.0,0.0,0.0,0.0,0.0,221.22465146475542,11098.46668562879,1.0
 ,19,3719.779413624979,4675.132596359263,2488.7773289784986,221.22465146475542,141.16390746313422,0.0,1255.6711217139516,0.0,1769.7972117180434,80.06074400161991,-1.2931877790833823e-12,1887.7690761944,0.0,0.0,0.0,0.0,0.0,11098.46668562879,0.0,0.0,0.0,0.0,0.0,221.22465146475542,11098.466685628788,1.0
 ,20,3719.779413624979,4675.132596359263,2488.7773289784986,221.22465146475542,141.16390746313422,0.0,1255.6711217139516,0.0,1769.7972117180434,80.0607440016212,0.0,1967.829820196021,0.0,0.0,0.0,0.0,0.0,11098.46668562879,0.0,0.0,0.0,0.0,0.0,221.22465146475542,11098.46668562879,1.0
 ,21,3719.779413624979,4675.132596359263,2488.7773289784986,221.22465146475542,141.16390746313422,0.0,1255.6711217139516,0.0,1769.7972117180434,80.0607440016212,0.0,2047.8905641976423,0.0,0.0,0.0,0.0,0.0,11098.46668562879,0.0,0.0,0.0,0.0,0.0,221.22465146475542,11098.46668562879,1.0
 ,22,3719.779413624979,4675.132596359263,2488.7773289784986,221.22465146475542,141.16390746313422,0.0,1255.6711217139516,0.0,1769.7972117180434,80.0607440016212,0.0,2127.9513081992636,0.0,0.0,0.0,0.0,0.0,11098.46668562879,0.0,0.0,0.0,0.0,0.0,221.22465146475542,11098.46668562879,1.0
 ,23,3719.779413624979,4675.132596359263,2443.7319729196506,217.22061981508006,141.16390746313422,0.0,1232.9442380703942,0.0,1737.7649585206404,76.05671235194583,0.0,2204.0080205512095,0.0,0.0,0.0,0.0,0.0,10895.189506334114,0.0,0.0,0.0,0.0,0.0,217.22061981508006,10895.189506334114,1.0
 ,24,3719.779413624979,4675.132596359263,2417.0671931836664,214.85041717188145,141.16390746313422,0.0,1219.490967867599,0.0,1718.8033373750516,73.6865097087472,0.0,2277.6945302599565,0.0,0.0,0.0,0.0,0.0,10774.858762268877,0.0,0.0,0.0,0.0,0.0,214.85041717188145,10774.858762268877,1.0
 ,25,3719.779413624979,4675.132596359263,2417.584955896986,214.89644052417654,141.16390746313422,0.0,1219.7521964152259,0.0,1719.1715241934123,73.73253306104232,0.0,2351.427063320999,0.0,0.0,0.0,0.0,0.0,10777.195281571114,0.0,0.0,0.0,0.0,0.0,214.89644052417654,10777.195281571114,1.0
 ,26,3719.779413624979,4675.132596359263,2410.5951592671645,214.27512526819243,141.16390746313422,0.0,1216.22561102226,0.0,1714.2010021455394,73.1112178050582,0.0,2424.538281126057,0.0,0.0,0.0,0.0,0.0,10745.652270990906,0.0,0.0,0.0,0.0,0.0,214.27512526819243,10745.652270990904,1.0
 ,27,3719.779413624979,4675.132596359263,2197.018040022628,195.29049244645586,141.16390746313422,0.0,1108.4688351260834,0.0,1562.3239395716469,54.12658498332162,0.0,2478.6648661093786,0.0,0.0,0.0,0.0,0.0,9781.83805881788,0.0,0.0,0.0,0.0,0.0,195.29049244645586,9781.83805881788,1.0
 ,28,3719.779413624979,4675.132596359263,1739.8335641609892,154.6518723698657,141.16390746313422,0.0,877.8040275713577,0.0,1237.2149789589257,13.487964906731499,0.0,2492.15283101611,0.0,0.0,0.0,0.0,0.0,7718.691514942043,0.0,0.0,0.0,0.0,0.0,154.6518723698657,7718.691514942043,1.0
 ,29,3147.1488791035267,3955.4330174525194,1343.6194911305968,119.43284365605305,119.43284365605305,0.0,677.900820591757,0.0,955.4627492484244,0.0,0.0,2492.15283101611,0.0,0.0,0.0,0.0,0.0,5951.114662799268,0.0,0.0,0.0,0.0,0.0,119.43284365605305,5951.1146627992675,1.0
 ,30,2130.843440131147,2678.1092416948836,909.7258784667115,80.86452253037436,80.86452253037436,0.0,458.9870298824048,0.0,646.9161802429949,0.0,0.0,2492.15283101611,0.0,0.0,0.0,0.0,0.0,4029.32753670881,0.0,0.0,0.0,0.0,0.0,80.86452253037436,4029.3275367088095,1.0
 ,31,1425.298873987404,1791.359240530617,608.506118185765,54.08943272762356,54.08943272762356,0.0,307.0116201619913,0.0,432.7154618209885,0.0,0.0,2492.15283101611,0.0,0.0,0.0,0.0,0.0,2695.1750151311176,0.0,0.0,0.0,0.0,0.0,54.08943272762356,2695.1750151311176,1.0
 ,32,918.6906916425096,1154.6385741955037,392.21872463902577,34.86388663458007,34.86388663458007,0.0,197.88742053787644,0.0,278.91109307664055,0.0,0.0,2492.15283101611,0.0,0.0,0.0,0.0,0.0,1737.2021012136852,0.0,0.0,0.0,0.0,0.0,34.86388663458007,1737.202101213685,1.0
 ,33,898.1060224704562,1128.7671320666934,383.43046460414473,34.08270796481287,34.08270796481287,0.0,193.45345040827783,0.0,272.66166371850295,0.0,0.0,2492.15283101611,0.0,45.19002647606126,0.0,0.0,0.0,1653.08740633313,0.0,0.0,0.0,0.0,0.0,34.08270796481287,1698.2774328091912,1.0
 ,34,1632.9183486534748,2052.3017496737657,697.1455768246238,61.96849571774434,61.96849571774434,0.0,351.73318169391683,0.0,495.7479657419547,0.0,0.0,2492.15283101611,0.0,843.5471608864768,0.0,0.0,0.0,2244.226789799253,0.0,0.0,0.0,0.0,0.0,61.96849571774434,3087.7739506857292,1.0
 ,35,3719.779413624979,4675.132596359263,832.543740622588,74.00388805534115,141.16390746313422,0.0,420.0460686021163,0.0,592.0311044427292,0.0,67.16001940779307,2424.9928116083174,0.0,1506.3342158687087,0.0,0.0,0.0,2181.140768638837,0.0,0.0,0.0,0.0,0.0,74.00388805534115,3687.4749845075453,1.0
 ,36,2145.448512427924,2696.4653434886472,915.9612554892661,81.41877826571255,81.41877826571256,0.0,462.13298543618436,0.0,651.3502261257004,0.0,0.0,2424.9928116083174,0.0,1611.7776109795182,0.0,0.0,0.0,2445.16744979169,0.0,0.0,0.0,0.0,0.0,81.41877826571255,4056.945060771208,1.0
 ,37,2170.7408067118404,2728.2534729165204,926.7593527133674,82.37860913007711,82.37860913007711,0.0,467.5809854223176,0.0,659.0288730406169,0.0,0.0,2424.9928116083174,0.0,1762.4110325663892,0.0,0.0,0.0,2342.360600493234,0.0,0.0,0.0,0.0,0.0,82.37860913007711,4104.771633059623,1.0
 ,38,2506.804610522065,3150.62874546489,1070.235843470147,95.1320749751242,95.1320749751242,0.0,539.9696575588049,0.0,761.0565998009936,0.0,0.0,2424.9928116083174,0.0,1626.8409531382054,0.0,0.0,0.0,3113.4119702316552,0.0,0.0,0.0,0.0,0.0,95.1320749751242,4740.25292336986,1.0
 ,39,2627.572789512063,3302.4138884577837,1121.7956791921647,99.71517148374798,99.715171483748,0.0,565.9833133417535,0.0,797.7213718699838,0.0,0.0,2424.9928116083174,0.0,707.977081458293,0.0,0.0,0.0,4260.6429476303365,0.0,0.0,0.0,0.0,0.0,99.71517148374798,4968.62002908863,1.0
 ,40,2334.6567498131567,2934.2680462132566,996.7403623568383,88.59914332060785,88.59914332060785,0.0,502.8887374877701,0.0,708.7931465648628,0.0,0.0,2424.9928116083174,0.0,15.063342158687087,0.0,0.0,0.0,4399.665846113476,0.0,0.0,0.0,0.0,0.0,88.59914332060785,4414.729188272163,1.0
 ,41,2333.4867130691046,2932.797508228929,996.240835885407,88.55474096759174,88.55474096759174,0.0,502.63670973205063,0.0,708.4379277407339,0.0,0.0,2424.9928116083174,0.0,0.0,0.0,0.0,0.0,4412.516702275782,0.0,0.0,0.0,0.0,0.0,88.55474096759175,4412.516702275782,1.0
 ,42,2696.761848701785,3389.372815308254,1151.334722965264,102.34086426357904,102.34086426357902,0.0,580.8867455600746,0.0,818.7269141086323,0.0,0.0,2424.9928116083174,0.0,0.0,0.0,0.0,0.0,5099.453377133649,0.0,0.0,0.0,0.0,0.0,102.34086426357904,5099.453377133648,1.0
 ,43,3719.779413624979,4675.132596359263,1081.436967733696,96.12773046521743,141.16390746313422,0.0,545.6209981205741,0.0,769.0218437217394,0.0,45.03617699791681,2379.9566346104007,0.0,0.0,0.0,0.0,0.0,4789.864569587162,0.0,0.0,0.0,0.0,0.0,96.12773046521743,4789.864569587162,1.0
 ,44,3066.215132899648,3853.7130085623985,1309.0662611859348,116.36144543874977,116.3614454387498,0.0,660.4675643103436,0.0,930.8915635099982,0.0,0.0,2379.9566346104007,0.0,0.0,0.0,0.0,0.0,5798.0726485027035,0.0,0.0,0.0,0.0,0.0,116.36144543874977,5798.072648502703,1.0
 ,45,3647.5789128832394,4584.3887976128135,1557.2692335365223,138.4239318699131,138.42393186991308,0.0,785.6942372936267,0.0,1107.3914549593048,0.0,0.0,2379.9566346104007,0.0,0.0,0.0,0.0,0.0,6897.404980205513,0.0,0.0,0.0,0.0,0.0,138.4239318699131,6897.404980205513,1.0
 ,46,3079.8070597430474,3870.795758146999,1314.8690936957255,116.87725277295338,116.8772527729534,0.0,663.3952867392833,0.0,935.0180221836271,0.0,0.0,2379.9566346104007,0.0,0.0,0.0,0.0,0.0,5823.774360827318,0.0,0.0,0.0,0.0,0.0,116.87725277295338,5823.774360827317,1.0
 ,47,3137.2638413992363,3943.0091995728103,1339.3992493052947,119.05771104935954,119.05771104935954,0.0,675.7715679161647,0.0,952.4616883948763,0.0,0.0,2379.9566346104007,0.0,0.0,0.0,0.0,0.0,5932.422508381368,0.0,0.0,0.0,0.0,0.0,119.05771104935954,5932.422508381368,1.0
 ,48,2878.3994165181257,3617.660468847917,1228.8816665051925,109.23392591157267,109.23392591157268,0.0,620.0117634740864,0.0,873.8714072925814,0.0,0.0,2379.9566346104007,0.0,0.0,0.0,0.0,0.0,5442.921714562582,0.0,0.0,0.0,0.0,0.0,109.23392591157267,5442.921714562582,1.0
