Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: MeOH Biogas - 2030lgp ren crit,1,3655.330850732182,4594.131670319135,2314.1295377598244,205.70040335642884,138.71811432416288,0.0,0.0,0.0,1645.6032268514307,66.98228903226595,0.0,66.98228903226595,0.0,0.0,0.0,0.0,2677.835148955478,6277.170951576978,0.0,0.0,0.0,0.0,205.70040335642884,8955.006100532455,1.0
Profile: 2030lgp,2,3655.330850732182,4594.131670319135,2314.1295377598244,205.70040335642884,138.71811432416288,0.0,0.0,0.0,1645.6032268514307,66.98228903226595,0.0,133.9645780645319,0.0,0.0,0.0,0.0,2076.918425487208,6878.087675045247,0.0,0.0,0.0,0.0,205.70040335642884,8955.006100532455,1.0
Location: Bornholm,3,3655.330850732182,4594.131670319135,2314.1295377598244,205.70040335642884,138.71811432416288,0.0,0.0,0.0,1645.6032268514307,66.98228903226595,0.0,200.94686709679786,0.0,0.0,0.0,0.0,3215.8434029356636,5739.162697596792,0.0,0.0,0.0,0.0,205.70040335642884,8955.006100532455,1.0
Fuel: MeOH,4,3655.330850732182,4594.131670319135,2314.1295377598244,205.70040335642884,138.71811432416288,0.0,0.0,0.0,1645.6032268514307,66.98228903226595,0.0,267.9291561290638,0.0,0.0,0.0,0.0,4078.722260540882,5497.857075828947,0.0,591.9745103213081,0.0,591.9745103213081,205.70040335642884,8984.60482604852,1.0
Electrolyser: SOEC,5,3655.330850732182,4594.131670319135,2314.1295377598244,205.70040335642884,138.71811432416288,0.0,0.0,0.0,1645.6032268514307,66.9822890322672,0.0,334.911445161331,0.0,0.0,0.0,0.0,8146.177332516734,387.04692941178206,0.0,0.0,443.98088274098916,147.99362758031893,205.70040335642884,8977.205144669506,1.0
CO2 capture: Biogas,6,3655.330850732182,4594.131670319135,2314.1295377598244,205.70040335642884,138.71811432416288,0.0,0.0,0.0,1645.6032268514307,66.98228903226595,0.0,401.89373419359697,0.0,0.0,0.0,0.0,8919.85761398213,0.0,0.0,0.0,36.99840689508021,110.99522068523872,205.70040335642884,8956.856020877209,1.0
CO2taxWTTup: 0,7,3655.330850732182,4594.131670319135,2314.1295377598244,205.70040335642884,138.71811432416288,0.0,0.0,0.0,1645.6032268514307,66.98228903226595,0.0,468.8760232258629,0.0,0.0,0.0,0.0,8919.85761398213,0.0,0.0,0.0,36.99840689508021,73.99681379015851,205.70040335642884,8956.856020877209,1.0
CO2taxWTTop: 0,8,3655.330850732182,4594.131670319135,2314.1295377598244,205.70040335642884,138.71811432416288,0.0,0.0,0.0,1645.6032268514307,66.98228903226595,0.0,535.8583122581289,0.0,0.0,0.0,0.0,8919.85761398213,0.0,0.0,0.0,36.99840689508021,36.9984068950783,205.70040335642884,8956.856020877209,1.0
CO2WTTop_treshhold -1,9,3655.330850732182,4594.131670319135,2314.1295377598244,205.70040335642884,138.71811432416288,0.0,0.0,0.0,1645.6032268514307,66.98228903226595,0.0,602.8406012903948,0.0,0.0,0.0,0.0,8919.85761398213,0.0,0.0,0.0,36.9984068950783,0.0,205.70040335642884,8956.856020877209,1.0
Renewable criterion: MinPricehourly30,10,3655.330850732182,4594.131670319135,2314.1295377598244,205.70040335642884,138.71811432416288,0.0,0.0,0.0,1645.6032268514307,66.98228903226595,0.0,669.8228903226608,371.73251130867334,0.0,0.0,0.0,8919.85761398213,0.0,336.58402475834896,0.0,0.0,0.0,205.70040335642884,8955.006100532455,1.0
