Informations,Time,Biomass wheat 2,Biochar,DME-W2,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_Wheat-2,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,43,0.0,0.0,0.0,3660.197421319734,325.35088189508747,0.0,0.0,0.0,0.0,2602.8070551606997,325.3508818950875,0.0,9740.046088533865,0.0,0.0,0.0,0.0,11441.980483346675,0.0,0.0,0.0,0.0,8708.969107443108,325.35088189508747,11441.980483346675,1.0
 ,44,4309.183023904505,828.6890430585586,2367.6829801673102,4054.251678368682,360.37792696610506,360.37792696610506,0.0,3930.3537470777346,2604.4512781840413,2883.0234157288405,0.0,0.0,9740.046088533865,0.0,0.0,0.0,0.0,13850.377838743794,0.0,0.0,0.0,0.0,8708.969107443108,360.37792696610506,13850.377838743794,1.0
 ,45,0.0,0.0,0.0,5270.684286700418,468.50526992892605,0.0,0.0,0.0,0.0,3748.0421594314084,468.5052699289261,0.0,10208.551358462792,0.0,0.0,0.0,0.0,16476.451896019214,0.0,0.0,0.0,0.0,8708.969107443108,468.5052699289261,16476.451896019214,1.0
 ,46,4328.284782221229,832.362458119467,2378.1784517699057,4072.223376318331,361.9754112282961,361.97541122829614,0.0,3947.7762299380433,2615.9962969468966,2895.8032898263687,0.0,0.0,10208.551358462792,0.0,0.0,0.0,0.0,13911.773831581264,0.0,0.0,0.0,0.0,8708.969107443108,361.97541122829614,13911.773831581266,1.0
 ,47,0.0,0.0,0.0,4533.288415966247,402.9589703081109,0.0,0.0,0.0,0.0,3223.6717624648873,402.9589703081109,0.0,10611.510328770903,0.0,0.0,0.0,0.0,14171.311437666933,0.0,0.0,0.0,0.0,8708.969107443108,402.95897030811085,14171.311437666933,1.0
 ,48,4045.231454437052,777.9291258532792,2222.6546452950834,3805.9154885189773,338.30359897946465,338.3035989794647,0.0,3689.6067111898383,2444.9201098245917,2706.428791835717,0.0,0.0,10611.510328770903,0.0,0.0,0.0,0.0,13001.996846807844,0.0,0.0,0.0,0.0,8708.969107443108,338.3035989794647,13001.996846807844,1.0
 ,49,0.0,0.0,0.0,3633.4154889686138,322.970265686099,0.0,0.0,0.0,0.0,2583.762125488792,322.970265686099,0.0,10934.480594457002,0.0,0.0,0.0,0.0,11358.258674931943,0.0,0.0,0.0,0.0,8708.969107443108,322.9702656860991,11358.258674931945,1.0
 ,50,0.0,0.0,0.0,4376.16774617301,388.992688548712,0.0,0.0,0.0,0.0,3111.941508389696,388.992688548712,0.0,11323.473283005713,0.0,0.0,0.0,0.0,13680.143494967173,0.0,0.0,0.0,0.0,8708.969107443108,388.992688548712,13680.143494967173,1.0
 ,51,5382.354536607702,1035.0681801168657,2957.3376574767594,5063.93434499445,450.12749733284,450.12749733284005,0.0,4909.18051141142,3253.0714232244354,3601.01997866272,0.0,0.0,11323.473283005713,0.0,0.0,0.0,0.0,17299.716345430745,0.0,0.0,0.0,0.0,8708.969107443108,450.12749733284005,17299.716345430745,1.0
 ,52,0.0,0.0,0.0,7520.366604194498,668.4770314839554,0.0,0.0,0.0,0.0,5347.8162518716435,668.4770314839556,0.0,11991.95031448967,0.0,0.0,0.0,0.0,23509.083802856683,0.0,0.0,0.0,0.0,8708.969107443108,668.4770314839556,23509.083802856687,1.0
 ,53,6075.538444231871,1168.3727777368981,3338.2079363911375,7677.119855869193,682.4106538550394,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5459.285230840315,174.31203339976736,0.0,12166.262347889437,0.0,0.0,0.0,0.0,25657.943552168133,0.0,0.0,0.0,0.0,8708.969107443108,682.4106538550394,25657.943552168133,1.0
 ,54,6075.538444231871,1168.3727777368981,3338.2079363911375,7948.510103693877,706.5342314394558,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5652.273851515646,198.43561098418363,0.0,12364.69795887362,0.0,0.0,0.0,0.0,26506.32454410408,0.0,0.0,0.0,0.0,8708.969107443108,706.5342314394557,26506.324544104078,1.0
 ,55,6075.538444231871,1168.3727777368981,3338.2079363911375,7950.295565850617,706.6929391867216,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5653.5435134937725,198.59431873144956,0.0,12563.29227760507,0.0,0.0,0.0,0.0,26511.905997998394,0.0,0.0,0.0,0.0,8708.969107443108,706.6929391867216,26511.905997998394,1.0
 ,56,6075.538444231871,1168.3727777368981,3338.2079363911375,7950.295565850617,706.6929391867216,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5653.5435134937725,198.59431873144956,0.0,12761.886596336519,0.0,0.0,0.0,0.0,26511.905997998394,0.0,0.0,0.0,0.0,8708.969107443108,706.6929391867216,26511.905997998394,1.0
 ,57,6075.538444231871,1168.3727777368981,3338.2079363911375,7950.295565850617,706.6929391867216,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5653.5435134937725,198.59431873144956,0.0,12960.480915067968,0.0,0.0,0.0,0.0,26511.905997998394,0.0,0.0,0.0,0.0,8708.969107443108,706.6929391867216,26511.905997998394,1.0
 ,58,6075.538444231871,1168.3727777368981,3338.2079363911375,7993.7774363718645,710.5579943441658,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5684.463954753326,202.45937388889368,0.0,13162.940288956863,135.92674290888965,0.0,0.0,0.0,26511.905997998394,0.0,0.0,0.0,0.0,8708.969107443108,710.5579943441656,26647.832740907284,1.0
