Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: MeOH Biogas - Grid conn. 2030lgp,1,3475.3709198813062,4367.952522255193,1586.2914915227416,141.00368813535482,131.88871822270195,0.0,0.0,0.0,1128.0295050828386,9.114969912652867,0.0,9.114969912652867,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,1.008124800570104e-12,0.0,1.008124800570104e-12,141.00368813535482,6103.893127894029,1.0
Profile: 2030lgp_DE,2,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,18.229939825305763,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,-2.6560764170079935e-13,0.0,7.425171588693047e-13,141.00368813535485,6103.89312789403,1.0
Location: Bornholm,3,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,27.34490973795866,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,-4.094079572712958e-13,0.0,0.0,141.00368813535485,6103.89312789403,1.0
Fuel: MeOH,4,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,36.459879650611555,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,0.0,0.0,141.00368813535485,6103.89312789403,1.0
Electrolyser: SOEC,5,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,45.57484956326445,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,-4.094079572712958e-13,0.0,-4.094079572712958e-13,141.00368813535485,6103.89312789403,1.0
CO2 capture: Biogas,6,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,54.689819475917346,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,-4.094079572712958e-13,0.0,-8.188159145425916e-13,141.00368813535485,6103.89312789403,1.0
CO2taxWTTup: 0,7,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,63.80478938857024,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,0.0,-8.188159145425916e-13,141.00368813535485,6103.89312789403,1.0
CO2taxWTTop: 0,8,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,72.91975930122314,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,0.0,-8.188159145425916e-13,141.00368813535485,6103.89312789403,1.0
CO2WTTop_treshhold -1,9,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,82.03472921387603,0.0,0.0,0.0,0.0,0.0,6103.893127894031,0.0,0.0,-8.188159145425916e-13,0.0,141.00368813535485,6103.89312789403,1.0
Renewable criterion: None,10,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,91.14969912652893,254.66046948188915,0.0,0.0,0.0,0.0,5849.232658412141,0.0,0.0,0.0,0.0,141.00368813535485,6103.89312789403,1.0
Renewable application: 0,11,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,100.26466903918183,724.1907100891223,0.0,0.0,0.0,0.0,5379.702417804908,0.0,0.0,0.0,0.0,141.00368813535485,6103.89312789403,1.0
 ,12,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,109.37963895183472,397.9069835654518,0.0,0.0,0.0,0.0,5705.986144328578,0.0,0.0,0.0,0.0,141.00368813535485,6103.89312789403,1.0
 ,13,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,118.49460886448762,326.2837265236705,0.0,0.0,0.0,0.0,5777.60940137036,0.0,0.0,0.0,0.0,141.00368813535485,6103.89312789403,1.0
 ,14,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,127.60957877714051,190.99535211141688,0.0,0.0,0.0,0.0,5912.897775782614,0.0,8.188159145425916e-13,0.0,8.188159145425916e-13,141.00368813535485,6103.89312789403,1.0
 ,15,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,136.7245486897934,135.28837441225363,0.0,0.0,0.0,0.0,5968.604753481776,0.0,0.0,0.0,8.188159145425916e-13,141.00368813535485,6103.89312789403,1.0
 ,16,3475.3709198813062,4367.952522255193,1586.2914915227416,141.00368813535482,131.88871822270195,0.0,0.0,0.0,1128.0295050828386,9.114969912652867,0.0,145.83951860244628,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,0.0,8.188159145425916e-13,141.00368813535482,6103.893127894029,1.0
 ,17,3475.3709198813062,4367.952522255193,1586.2914915227416,141.00368813535482,131.88871822270195,0.0,0.0,0.0,1128.0295050828386,9.114969912652867,0.0,154.95448851509914,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,0.0,8.188159145425916e-13,141.00368813535482,6103.893127894029,1.0
 ,18,3475.3709198813062,4367.952522255193,1586.2914915227416,141.00368813535482,131.88871822270195,0.0,0.0,0.0,1128.0295050828386,9.114969912652867,0.0,164.069458427752,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,0.0,8.188159145425916e-13,141.00368813535482,6103.893127894029,1.0
 ,19,3475.3709198813062,4367.952522255193,1586.2914915227416,141.00368813535482,131.88871822270195,0.0,0.0,0.0,1128.0295050828386,9.114969912652867,0.0,173.18442834040488,0.0,0.0,0.0,0.0,0.0,6103.893127894029,0.0,0.0,0.0,8.188159145425916e-13,141.00368813535482,6103.893127894029,1.0
 ,20,3475.3709198813062,4367.952522255193,1586.2914915227416,141.00368813535482,131.88871822270195,0.0,0.0,0.0,1128.0295050828386,9.114969912652867,0.0,182.29939825305775,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,0.0,8.188159145425916e-13,141.00368813535482,6103.893127894029,1.0
 ,21,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,191.41436816571064,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,0.0,8.188159145425916e-13,141.00368813535485,6103.89312789403,1.0
 ,22,3475.3709198813062,4367.952522255193,1586.2914915227416,141.00368813535482,131.88871822270195,0.0,0.0,0.0,1128.0295050828386,9.114969912652867,0.0,200.5293380783635,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,0.0,8.188159145425916e-13,141.00368813535482,6103.893127894029,1.0
 ,23,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,209.6443079910164,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,-4.094079572712958e-13,0.0,4.094079572712958e-13,141.00368813535485,6103.89312789403,1.0
 ,24,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,218.7592779036693,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,0.0,4.094079572712958e-13,141.00368813535485,6103.89312789403,1.0
 ,25,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,227.8742478163222,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,0.0,4.094079572712958e-13,141.00368813535485,6103.89312789403,1.0
 ,26,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,236.9892177289751,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,-4.094079572712958e-13,0.0,0.0,141.00368813535485,6103.89312789403,1.0
 ,27,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,246.104187641628,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,-4.094079572712958e-13,0.0,-4.094079572712958e-13,141.00368813535485,6103.89312789403,1.0
 ,28,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,255.21915755428088,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,-4.094079572712958e-13,0.0,-8.188159145425916e-13,141.00368813535485,6103.89312789403,1.0
 ,29,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,264.33412746693375,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,4.5250353172090595e-13,-1.2713194462634975e-12,141.00368813535485,6103.89312789403,1.0
 ,30,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,273.44909737958665,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,-4.094079572712958e-13,0.0,-1.6807274035347933e-12,141.00368813535485,6103.89312789403,1.0
 ,31,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,282.56406729223954,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,0.0,-1.6807274035347933e-12,141.00368813535485,6103.89312789403,1.0
 ,32,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,291.67903720489244,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,0.0,-1.6807274035347933e-12,141.00368813535485,6103.89312789403,1.0
 ,33,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,300.79400711754533,23.87441901392711,0.0,0.0,0.0,0.0,6080.018708880103,0.0,0.0,0.0,-1.6807274035347933e-12,141.00368813535485,6103.89312789403,1.0
 ,34,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,309.90897703019823,445.65582159330603,0.0,0.0,0.0,0.0,5658.2373063007235,0.0,0.0,0.0,-1.6807274035347933e-12,141.00368813535485,6103.89312789403,1.0
 ,35,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,319.0239469428511,795.8139671309036,0.0,0.0,0.0,0.0,5308.079160763128,0.0,1.6807274035347933e-12,0.0,0.0,141.00368813535485,6103.89312789403,1.0
 ,36,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,328.138916855504,851.5209448300668,0.0,0.0,0.0,0.0,5252.372183063963,0.0,0.0,0.0,0.0,141.00368813535485,6103.89312789403,1.0
 ,37,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,337.2538867681569,931.1023415431573,0.0,0.0,0.0,0.0,5172.790786350873,0.0,0.0,0.0,0.0,141.00368813535485,6103.89312789403,1.0
 ,38,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,346.3688566808098,859.479084501376,0.0,0.0,0.0,0.0,5244.414043392654,0.0,0.0,0.0,0.0,141.00368813535485,6103.89312789403,1.0
 ,39,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,355.4838265934627,374.03256455152473,0.0,0.0,0.0,0.0,5729.860563342505,0.0,0.0,0.0,0.0,141.00368813535485,6103.89312789403,1.0
 ,40,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,364.5987965061156,7.958139671309036,0.0,0.0,0.0,0.0,6095.934988222721,0.0,0.0,0.0,0.0,141.00368813535485,6103.89312789403,1.0
 ,41,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,373.7137664187685,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,0.0,0.0,141.00368813535485,6103.89312789403,1.0
 ,42,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,382.8287363314214,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,0.0,0.0,141.00368813535485,6103.89312789403,1.0
 ,43,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,391.9437062440743,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,0.0,0.0,141.00368813535485,6103.89312789403,1.0
 ,44,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,401.0586761567272,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,4.5250353172090595e-13,-4.5250353172090595e-13,141.00368813535485,6103.89312789403,1.0
 ,45,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,410.1736460693801,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,4.5250353172090595e-13,-9.050070634418119e-13,141.00368813535485,6103.89312789403,1.0
 ,46,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,419.288615982033,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,0.0,-9.050070634418119e-13,141.00368813535485,6103.89312789403,1.0
 ,47,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,428.4035858946859,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,-4.094079572712958e-13,0.0,-1.3144150207131077e-12,141.00368813535485,6103.89312789403,1.0
 ,48,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,437.51855580733877,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,-4.094079572712958e-13,0.0,-1.7238229779844036e-12,141.00368813535485,6103.89312789403,1.0
 ,49,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,446.63352571999167,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,4.5250353172090595e-13,-2.1763265097053096e-12,141.00368813535485,6103.89312789403,1.0
 ,50,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,455.74849563264456,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,-4.094079572712958e-13,0.0,-2.5857344669766052e-12,141.00368813535485,6103.89312789403,1.0
 ,51,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,464.86346554529746,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,-4.094079572712958e-13,0.0,-2.995142424247901e-12,141.00368813535485,6103.89312789403,1.0
 ,52,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,473.97843545795035,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,-4.094079572712958e-13,0.0,-3.4045503815191965e-12,141.00368813535485,6103.89312789403,1.0
 ,53,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,483.09340537060325,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,-4.094079572712958e-13,0.0,-3.8139583387904925e-12,141.00368813535485,6103.89312789403,1.0
 ,54,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,492.20837528325615,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,4.5250353172090595e-13,-4.266461870511399e-12,141.00368813535485,6103.89312789403,1.0
 ,55,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,501.32334519590904,0.0,0.0,0.0,0.0,0.0,6103.8931278940345,0.0,4.266461870511399e-12,0.0,0.0,141.00368813535485,6103.893127894031,1.0
 ,56,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,510.43831510856194,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,0.0,0.0,141.00368813535485,6103.89312789403,1.0
 ,57,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,519.5532850212148,0.0,0.0,0.0,0.0,0.0,6103.89312789403,0.0,0.0,0.0,0.0,141.00368813535485,6103.89312789403,1.0
 ,58,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,528.6682549338677,23.87441901392711,0.0,0.0,0.0,0.0,6080.018708880103,0.0,0.0,0.0,0.0,141.00368813535485,6103.89312789403,1.0
 ,59,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,537.7832248465206,47.74883802785422,0.0,0.0,0.0,0.0,6056.144289866175,0.0,0.0,0.0,0.0,141.00368813535485,6103.89312789403,1.0
 ,60,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,546.8981947591735,71.62325704178132,0.0,0.0,0.0,0.0,6032.2698708522485,0.0,0.0,0.0,0.0,141.00368813535485,6103.89312789403,1.0
 ,61,3475.3709198813062,4367.952522255193,1586.291491522742,141.00368813535485,131.88871822270195,0.0,0.0,0.0,1128.0295050828388,9.114969912652896,0.0,556.0131646718264,55.706977699163254,0.0,0.0,0.0,0.0,6048.186150194867,0.0,0.0,0.0,0.0,141.00368813535485,6103.89312789403,1.0
