Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Semi-islanded-hgp,1,56549.5035210668,114512.74463016026,10178.910633792024,10178.910633792024,0.0,57775.49675740352,0.0,81431.28507033619,0.0,0.0,0.0,0.0,532643.3080088982,0.0,-1.1087173507327125e-10,0.0,-1.1087173507327125e-10,10178.910633792024,532643.3080088983,1.0
Profile: 2030hgp,2,56549.5035210668,114512.74463016026,10178.910633792024,10178.910633792024,0.0,57775.49675740352,0.0,81431.28507033619,0.0,0.0,0.0,0.0,532643.3080088982,0.0,0.0,1.2254244402835243e-10,-2.334141791016237e-10,10178.910633792024,532643.3080088983,1.0
Location: Bornholm,3,56549.5035210668,114512.74463016026,10178.910633792024,10178.910633792024,0.0,57775.49675740352,0.0,81431.28507033619,0.0,0.0,0.0,0.0,532643.3080088982,0.0,0.0,1.2254244402835243e-10,-3.559566231299761e-10,10178.910633792024,532643.3080088983,1.0
Fuel: NH3,4,56549.5035210668,114512.74463016026,10178.910633792024,10178.910633792024,0.0,57775.49675740352,0.0,81431.28507033619,0.0,0.0,0.0,0.0,532643.3080088986,0.0,0.0,-3.559566231299761e-10,0.0,10178.910633792024,532643.3080088982,1.0
Electrolyser: AEC,5,56549.5035210668,114512.74463016026,10178.910633792024,10178.910633792024,0.0,57775.49675740352,0.0,81431.28507033619,0.0,0.0,0.0,0.0,532643.3080088982,0.0,0.0,1.2254244402835243e-10,-1.2254244402835243e-10,10178.910633792024,532643.3080088983,1.0
CO2 capture: None,6,56549.5035210668,114512.74463016026,10178.910633792024,10178.910633792024,0.0,57775.49675740352,0.0,81431.28507033619,0.0,0.0,0.0,0.0,532643.3080088982,0.0,-1.1087173507327125e-10,0.0,-2.334141791016237e-10,10178.910633792024,532643.3080088983,1.0
CO2taxWTTup: 0,7,56549.5035210668,114512.74463016026,10178.910633792024,10178.910633792024,0.0,57775.49675740352,0.0,81431.28507033619,0.0,0.0,0.0,0.0,532643.3080088982,0.0,0.0,-2.334141791016237e-10,0.0,10178.910633792024,532643.3080088982,1.0
CO2taxWTTop: 0,8,56549.5035210668,114512.74463016026,10178.910633792024,10178.910633792024,0.0,57775.49675740352,0.0,81431.28507033619,0.0,0.0,0.0,0.0,532643.3080088983,0.0,0.0,0.0,0.0,10178.910633792024,532643.3080088983,1.0
CO2WTTop_treshhold -1,9,56549.5035210668,114512.74463016026,10178.910633792024,10178.910633792024,0.0,57775.49675740352,0.0,81431.28507033619,0.0,0.0,0.0,0.0,532643.3080088983,0.0,0.0,0.0,0.0,10178.910633792024,532643.3080088983,1.0
Renewable criterion: None,10,56549.5035210668,114512.74463016026,10178.910633792024,10178.910633792024,0.0,57775.49675740352,0.0,81431.28507033619,0.0,0.0,0.0,0.0,532643.3080088983,0.0,0.0,0.0,0.0,10178.910633792024,532643.3080088983,1.0
