Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Best case,1,59946.000861059336,121390.65174364512,10790.280154990678,10790.280154990682,0.0,0.0,0.0,86322.24123992542,0.0,0.0,0.0,0.0,444441.14903391537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10790.28015499068,444441.14903391537,1.0
Profile: 2020,2,65683.6041339025,133009.29837115254,11823.048744102449,11823.048744102449,0.0,0.0,0.0,94584.38995281959,0.0,0.0,0.0,0.0,486979.8831388564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11823.048744102449,486979.88313885644,1.0
Location: Bornholm,3,67765.47754366677,137225.0920259252,12197.785957860018,12197.785957860018,0.0,0.0,0.0,97582.28766288015,0.0,0.0,0.0,0.0,502414.944645684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12197.785957860018,502414.944645684,1.0
Fuel: NH3,4,82624.2499709397,168689.64689834922,14994.635279853264,14872.364994769145,0.0,0.0,0.0,119957.08223882611,122.27028508412043,0.0,122.27028508412043,0.0,617328.6083041705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14994.635279853264,617328.6083041705,1.0
Electrolyser: SOEC,5,75435.53747437724,152756.9633856139,13578.396745387903,13578.396745387903,0.0,0.0,0.0,108627.17396310323,0.0,0.0,122.27028508412043,0.0,559280.9607234697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13578.396745387905,559280.9607234697,1.0
CO2 capture: None,6,82624.2499709397,169929.9778974356,15104.886924216498,14872.364994769145,0.0,0.0,0.0,120839.09539373199,232.52192944735026,0.0,354.7922145314707,0.0,621612.0225022376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15104.886924216495,621612.0225022375,1.0
CO2taxWTTup: 0,7,82624.2499709397,182805.855876628,16249.409411255821,14872.364994769145,0.0,0.0,0.0,129995.27529004657,1377.0444164866767,0.0,1731.836631018161,0.0,679659.6700829384,0.0,0.0,0.0,13581.518306114267,0.0,0.0,0.0,16249.409411255821,666078.1517768241,1.0
CO2taxWTTop: 0,8,82624.2499709397,182805.855876628,16249.409411255821,14872.364994769145,0.0,0.0,0.0,129995.27529004657,1377.0444164866767,0.0,3108.8810475048376,0.0,685641.6795664458,0.0,0.0,0.0,19563.527789621636,0.0,0.0,0.0,16249.409411255821,666078.1517768241,1.0
CO2WTTop_treshhold -1,9,82624.2499709397,182805.855876628,16249.409411255821,14872.364994769145,0.0,0.0,0.0,129995.27529004657,25174.813149513015,23797.768733026336,4485.925463991516,0.0,688448.054385869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16249.409411255821,688448.0543858688,1.0
Renewable criterion: None,10,82624.2499709397,182805.855876628,16249.409411255821,14872.364994769145,0.0,0.0,0.0,129995.27529004657,12642.797040889765,11265.752624403089,5862.969880478187,0.0,695759.3993101557,0.0,0.0,0.0,0.0,18182.323872754816,0.0,18182.323872754816,16249.409411255821,677577.0754374007,1.0
