Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Ceduna - offshore,1,11463.126821235934,23212.831813002766,2063.3628278224683,2063.3628278224683,0.0,0.0,0.0,16506.902622579746,0.0,0.0,0.0,0.0,0.0,65079.225150729166,19943.50292780409,0.0,0.0,0.0,0.0,0.0,2063.3628278224683,85022.72807853326,1.0
Profile: 2020ma,2,14529.446623084994,29422.129411747108,2615.3003921552986,2615.300392155299,0.0,0.0,0.0,20922.40313724239,0.0,0.0,0.0,0.0,0.0,83715.5231854808,24050.290508354537,0.0,0.0,0.0,0.0,0.0,2615.3003921552986,107765.81369383533,1.0
Location: Ceduna,3,20895.699269926892,42313.79102160196,3761.225868586841,3761.2258685868405,0.0,0.0,0.0,30089.806948694728,0.0,0.0,0.0,0.0,0.0,122703.26626067294,32281.441205579216,0.0,0.0,0.0,0.0,0.0,3761.225868586841,154984.70746625215,1.0
Fuel: NH3,4,27889.798628703997,56476.8422231256,5020.16375316672,5020.163753166719,0.0,0.0,0.0,40161.31002533376,0.0,0.0,0.0,0.0,0.0,164326.15210105665,42534.22744045522,0.0,0.0,0.0,0.0,0.0,5020.16375316672,206860.37954151185,1.0
Electrolyser: SOEC,5,39389.810562040904,79764.36638813282,7090.165901167363,7090.165901167363,0.0,0.0,0.0,56721.3272093389,0.0,0.0,0.0,0.0,0.0,231157.92615254712,60998.76064927042,0.0,0.0,0.0,0.0,0.0,7090.165901167363,292156.6868018175,1.0
CO2 capture: None,6,61217.63914744844,123965.71927358308,11019.175046540719,11019.17504654072,0.0,0.0,0.0,88153.40037232575,0.0,0.0,0.0,0.0,0.0,358098.45592446096,95956.5997346108,0.0,0.0,0.0,0.0,0.0,11019.175046540719,454055.0556590718,1.0
CO2taxWTTup: 0,7,70385.85677552652,172210.9301681164,15307.638237165904,12669.454219594774,0.0,0.0,0.0,122461.10589732723,2638.1840175711263,0.0,2638.1840175711263,0.0,0.0,488196.36249277374,136401.20249531182,0.0,0.0,0.0,0.0,0.0,15307.638237165904,624597.5649880855,1.0
CO2taxWTTop: 0,8,70385.85677552652,198503.56589596524,17644.761412974687,12669.454219594774,0.0,0.0,0.0,141158.0913037975,4975.307193379912,0.0,7613.491210951038,0.0,0.0,553381.7160973544,162055.44462846394,0.0,0.0,0.0,0.0,0.0,17644.761412974687,715437.1607258182,1.0
CO2WTTop_treshhold -1,9,70385.85677552652,219768.54738537848,19534.981989811422,12669.454219594774,0.0,0.0,0.0,156279.85591849138,6865.527770216645,0.0,14479.018981167683,0.0,0.0,604939.4484715067,183967.04191237382,0.0,0.0,0.0,0.0,0.0,19534.981989811422,788906.4903838807,1.0
Renewable criterion: None,10,70385.85677552652,230995.45779166155,20532.92958148103,12669.454219594774,0.0,0.0,0.0,164263.43665184823,7863.475361886254,0.0,22342.494343053942,0.0,0.0,674642.3926673161,209989.66110826045,0.0,56937.21165523282,0.0,0.0,0.0,20532.92958148103,827694.8421203438,1.0
