Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Ceduna - offshore,1,11189.468073545235,22658.672848929098,2014.104253238142,2014.1042532381423,0.0,11432.055741379692,0.0,16112.834025905137,0.0,0.0,0.0,0.0,0.0,73225.30575708594,32168.993369391224,0.0,0.0,0.0,0.0,0.0,2014.104253238142,105394.29912647716,1.0
Profile: 2020ma,2,14118.985722406806,28590.94608787378,2541.417430033225,2541.417430033225,0.0,14425.085332868584,0.0,20331.3394402658,0.0,0.0,0.0,0.0,0.0,94194.34186060782,38793.267095349554,0.0,0.0,0.0,0.0,0.0,2541.417430033225,132987.60895595734,1.0
Location: Ceduna,3,20185.916913057084,40876.4817489406,3633.4650443502755,3633.4650443502755,0.0,20623.54759173216,0.0,29067.720354802204,0.0,0.0,0.0,0.0,0.0,138062.2490283327,52070.16399555902,0.0,0.0,0.0,0.0,0.0,3633.4650443502755,190132.41302389174,1.0
Fuel: NH3,4,26913.837327027897,54500.52058723149,4844.490718865021,4844.490718865021,0.0,27497.32932027786,0.0,38755.92575092017,0.0,0.0,0.0,0.0,0.0,184895.14439694377,68607.97150116492,0.0,0.0,0.0,0.0,0.0,4844.490718865021,253503.1158981087,1.0
Electrolyser: AEC,5,38059.387147288864,77070.25897325996,6850.689686511996,6850.689686511996,0.0,38884.51466064208,0.0,54805.51749209597,0.0,0.0,0.0,0.0,0.0,260092.36867050352,98391.377581507,0.0,0.0,0.0,0.0,0.0,6850.689686511996,358483.7462520105,1.0
CO2 capture: None,6,59209.80509357146,119899.85531448219,10657.764916842862,10657.764916842863,0.0,60493.47366800007,0.0,85262.11933474289,0.0,0.0,0.0,0.0,0.0,402922.2669058656,154778.58788330236,0.0,0.0,0.0,0.0,0.0,10657.764916842862,557700.8547891678,1.0
CO2taxWTTup: 0,7,70617.30779224623,166084.09763756,14763.030901116443,12711.11540260432,0.0,83794.96339473691,0.0,118104.24720893154,2051.9154985121204,0.0,2051.9154985121204,0.0,0.0,549304.7563217643,220015.98187304055,0.0,0.0,0.0,0.0,0.0,14763.030901116443,769320.7381948049,1.0
CO2taxWTTop: 0,8,70617.30779224623,191506.70594716535,17022.818306414698,12711.11540260432,0.0,96621.51670720981,0.0,136182.54645131758,4311.702903810377,0.0,6363.618402322512,0.0,0.0,622649.4748171674,261396.4328432451,0.0,0.0,0.0,0.0,0.0,17022.818306414698,884045.9076604124,1.0
CO2WTTop_treshhold -1,9,70617.30779224623,212193.74165783913,18861.665925141257,12711.11540260432,0.0,107058.81579110176,0.0,150893.32740113005,6150.550522536938,0.0,12514.16892485945,0.0,0.0,680660.7788622803,296739.9745615945,0.0,0.0,0.0,0.0,0.0,18861.665925141257,977400.7534238746,1.0
Renewable criterion: None,10,70617.30779224623,238874.4065275247,21233.28058022442,12711.11540260432,0.0,120520.10057335379,0.0,169866.24464179535,8522.165177620102,0.0,21036.33410247955,0.0,0.0,759088.5626763299,338714.62000863894,0.0,0.0,0.0,0.0,0.0,21233.28058022442,1.0978031826849685e6,1.0
Renewable application: 0,11,70617.30779224623,234514.0760140598,20845.695645694206,12711.11540260432,0.0,118320.1684849603,0.0,166765.56516555365,8134.580243089878,0.0,29170.91434556943,0.0,0.0,744092.9754591694,334033.2468214524,0.0,0.0,0.0,0.0,0.0,20845.695645694206,1.0781262222806218e6,1.0
 ,12,70617.30779224623,240859.98513907404,21409.776456806583,12711.11540260432,0.0,121521.89116883415,0.0,171278.21165445267,8698.661054202263,0.0,37869.57539977168,0.0,0.0,789932.5977688486,360233.1567847802,0.0,0.0,41335.43537557374,0.0,41335.43537557374,21409.776456806583,1.108830319178055e6,1.0
 ,13,70617.30779224623,233712.41621390436,20774.4369967915,12711.11540260432,0.0,117915.70439378855,0.0,166195.495974332,8063.321594187175,0.0,45932.89699395886,0.0,0.0,732379.5274136873,342129.0268721109,0.0,0.0,0.0,0.0,41335.43537557374,20774.4369967915,1.0745085542857982e6,1.0
 ,14,70617.30779224623,198353.0567040461,17631.38281813743,12711.11540260432,0.0,100075.72887574804,0.0,141051.06254509944,4920.267415533109,0.0,50853.16440949197,0.0,0.0,621633.532890129,293308.0539719871,0.0,0.0,0.0,0.0,41335.43537557374,17631.38281813743,914941.586862116,1.0
 ,15,70617.30779224623,174133.9064490719,15478.569462139725,12711.11540260432,0.0,87856.36026710508,0.0,123828.5556971178,2767.454059535406,0.0,53620.61846902737,0.0,0.0,550788.5527904064,254858.73651274882,0.0,0.0,0.0,0.0,41335.43537557374,15478.569462139725,805647.289303155,1.0
 ,16,70617.30779224623,186087.70308441328,16541.12916305896,12711.11540260432,0.0,93887.44912952263,0.0,132329.03330447167,3830.0137604546358,0.0,57450.632229482006,0.0,0.0,593129.2688662692,266462.18415311613,0.0,0.0,0.0,0.0,41335.43537557374,16541.12916305896,859591.4530193852,1.0
 ,17,70617.30779224623,168641.26595575068,14990.334751622284,12711.11540260432,0.0,85085.14005020807,0.0,119922.67801297827,2279.21934901796,0.0,59729.85157849997,0.0,0.0,541861.4161834173,238999.11230684948,0.0,0.0,0.0,0.0,41335.43537557374,14990.334751622284,780860.5284902668,1.0
 ,18,67331.65245427868,136346.59621991433,12119.697441770162,12119.697441770162,0.0,68791.40267948744,0.0,96957.5795341613,0.0,0.0,59729.85157849997,0.0,0.0,438784.7206133825,195416.32208174677,0.0,0.0,0.0,0.0,41335.43537557374,12119.697441770162,634201.0426951293,1.0
 ,19,65021.06000518293,131667.64651049543,11703.790800932928,11703.790800932928,0.0,66430.7165860953,0.0,93630.32640746342,0.0,0.0,59729.85157849997,0.0,0.0,422793.0977420476,189644.33026302073,0.0,0.0,0.0,0.0,41335.43537557374,11703.790800932928,612437.4280050683,1.0
 ,20,70617.30779224623,115241.24125120751,10243.665888996224,12711.11540260432,0.0,58143.04758594256,0.0,81949.32711196979,0.0,2467.449513608097,57262.402064891874,0.0,0.0,373715.0409187448,168485.41196290602,0.0,0.0,0.0,0.0,41335.43537557374,10243.665888996224,542200.4528816508,1.0
 ,21,70617.30779224623,114976.9992637662,10220.177712334775,12711.11540260432,0.0,58009.72869521217,0.0,81761.4216986782,0.0,2490.937690269546,54771.46437462233,0.0,0.0,346586.49491257285,155174.92255957404,0.0,0.0,0.0,41335.43537557374,0.0,10220.177712334775,543096.8528477206,1.0
 ,22,70617.30779224623,110885.0452753207,9856.448468917397,12711.11540260432,0.0,55945.201509575134,0.0,78851.58775133918,0.0,2854.6669336869236,51916.79744093561,0.0,0.0,361887.64201434486,161018.49285744058,0.0,0.0,0.0,0.0,0.0,9856.448468917397,522906.1348717854,1.0
 ,23,70617.30779224623,116754.79250922245,10378.203778597552,12711.11540260432,0.0,58906.68464731969,0.0,83025.63022878041,0.0,2332.9116240067688,49583.88581692884,0.0,0.0,384765.9690149064,164138.25464703556,0.0,0.0,0.0,0.0,0.0,10378.203778597552,548904.223661942,1.0
 ,24,70617.30779224623,104909.10256330454,9325.253561182626,12711.11540260432,0.0,52930.13921327258,0.0,74602.02848946101,0.0,3385.8618414216944,46198.02397550715,0.0,0.0,345607.78970716806,150829.89890264577,0.0,0.0,0.0,0.0,0.0,9325.253561182626,496437.6886098138,1.0
 ,25,32518.656138367798,65850.2786801948,5853.358104906204,5853.358104906204,0.0,33223.66060344761,0.0,46826.86483924963,0.0,0.0,46198.02397550715,0.0,0.0,215587.59373929203,90707.66084400292,0.0,0.0,0.0,0.0,0.0,5853.358104906204,306295.2545832949,1.0
 ,26,70617.30779224623,38069.987350188,3383.998875572267,12711.11540260432,0.0,19207.577617748186,0.0,27071.991004578136,0.0,9327.116527032054,36870.907448475096,0.0,0.0,149062.89308849562,51333.21438988956,0.0,0.0,0.0,0.0,0.0,3383.998875572267,200396.10747838515,1.0
 ,27,22557.53913213918,45679.01674258183,4060.3570437850517,4060.3570437850526,0.0,23046.586580523952,0.0,32482.856350280414,0.0,0.0,36870.907448475096,0.0,0.0,167247.23952783263,45223.63140398204,0.0,0.0,0.0,0.0,0.0,4060.3570437850517,212470.87093181463,1.0
 ,28,18129.49619593817,36712.22979677479,3263.3093152688703,3263.3093152688707,0.0,18522.543673466105,0.0,26106.474522150962,0.0,0.0,36870.907448475096,0.0,0.0,138805.05590929755,31957.801853756315,0.0,0.0,0.0,0.0,0.0,3263.3093152688703,170762.85776305385,1.0
 ,29,13290.77626398716,26913.821934574,2392.339727517689,2392.339727517689,0.0,13578.920293390402,0.0,19138.71782014151,0.0,0.0,36870.907448475096,0.0,0.0,105021.85784447752,20164.794459534045,0.0,0.0,0.0,0.0,0.0,2392.339727517689,125186.65230401157,1.0
 ,30,33318.78788795857,67470.54547311612,5997.381819832543,5997.3818198325425,0.0,34041.13920936951,0.0,47979.05455866035,0.0,0.0,36870.907448475096,0.0,0.0,254057.8963843373,59773.849156587465,0.0,0.0,0.0,0.0,0.0,5997.381819832543,313831.74554092484,1.0
 ,31,55222.486438051674,111825.53503705464,9940.047558849301,9940.047558849301,0.0,56419.709944028626,0.0,79520.38047079441,0.0,0.0,36870.907448475096,0.0,0.0,420849.75794181006,99294.29322360102,0.0,0.0,0.0,0.0,0.0,9940.047558849301,520144.051165411,1.0
 ,32,42594.910193290605,86254.69314141347,7667.083834792309,7667.083834792309,0.0,43518.367846281144,0.0,61336.67067833847,0.0,0.0,36870.907448475096,0.0,0.0,335108.4842056376,66095.63708685366,0.0,0.0,0.0,0.0,0.0,7667.083834792309,401204.12129249127,1.0
 ,33,70617.30779224623,83494.01570207025,7421.6902846284665,12711.11540260432,0.0,42125.51405555117,0.0,59373.52227702773,0.0,5289.425117975854,31581.48233049924,0.0,0.0,336575.7646694823,65010.9350507813,0.0,0.0,0.0,0.0,0.0,7421.6902846284665,401586.6997202636,1.0
 ,34,70617.30779224623,167291.3145867564,14870.339074378348,12711.11540260432,0.0,84404.04458617148,0.0,118962.71259502678,2159.2236717740293,0.0,33740.70600227327,0.0,0.0,633251.3475940808,141517.22535440623,0.0,0.0,0.0,0.0,0.0,14870.339074378348,774768.572948487,1.0
 ,35,70617.30779224623,240859.98513907404,21409.776456806583,12711.11540260432,0.0,121521.89116883415,0.0,171278.21165445267,8698.661054202263,0.0,42439.36705647553,0.0,0.0,1.023381827649806e6,257499.885147144,0.0,174118.16538767377,0.0,0.0,0.0,21409.776456806583,1.1067635474092762e6,1.0
 ,36,70617.30779224623,240859.98513907404,21409.776456806583,12711.11540260432,0.0,121521.89116883415,0.0,171278.21165445267,8698.661054202263,0.0,51138.02811067779,0.0,0.0,1.0362553694505572e6,271065.96385102253,0.0,200557.78589230345,0.0,0.0,0.0,21409.776456806583,1.1067635474092762e6,1.0
 ,37,70617.30779224623,240859.98513907404,21409.776456806583,12711.11540260432,0.0,121521.89116883415,0.0,171278.21165445267,8698.661054202263,0.0,59836.689164880045,0.0,0.0,991699.220911773,293635.9015725968,0.0,178571.57507509354,0.0,0.0,0.0,21409.776456806583,1.1067635474092762e6,1.0
 ,38,70617.30779224623,240859.98513907404,21409.776456806583,12711.11540260432,0.0,121521.89116883415,0.0,171278.21165445267,8698.661054202263,0.0,68535.3502190823,0.0,0.0,968920.7922233127,307956.6984063259,0.0,170113.9432203623,0.0,0.0,0.0,21409.776456806583,1.1067635474092762e6,1.0
 ,39,70617.30779224623,240859.98513907404,21409.776456806583,12711.11540260432,0.0,121521.89116883415,0.0,171278.21165445267,8698.661054202263,0.0,77234.01127328457,0.0,0.0,941513.638137021,326421.24658683897,0.0,161171.3373145837,0.0,0.0,0.0,21409.776456806583,1.1067635474092762e6,1.0
 ,40,70617.30779224623,240859.98513907404,21409.776456806583,12711.11540260432,0.0,121521.89116883415,0.0,171278.21165445267,8698.661054202263,0.0,85932.67232748683,0.0,0.0,950817.0382061787,347154.87941941194,0.0,191208.37021631445,0.0,0.0,0.0,21409.776456806583,1.1067635474092762e6,1.0
 ,41,70617.30779224623,240859.98513907404,21409.776456806583,12711.11540260432,0.0,121521.89116883415,0.0,171278.21165445267,8698.661054202263,0.0,94631.3333816891,0.0,0.0,1.0756579577533018e6,407856.07404950145,0.0,376750.48439352703,0.0,0.0,0.0,21409.776456806583,1.1067635474092762e6,1.0
 ,42,70617.30779224623,240859.98513907404,21409.776456806583,12711.11540260432,0.0,121521.89116883415,0.0,171278.21165445267,8698.661054202263,0.0,103329.99443589136,0.0,0.0,1.088434220945914e6,423238.36319042294,0.0,404909.0367270608,0.0,0.0,0.0,21409.776456806583,1.1067635474092762e6,1.0
 ,43,70617.30779224623,240859.98513907404,21409.776456806583,12711.11540260432,0.0,121521.89116883415,0.0,171278.21165445267,8698.661054202263,0.0,112028.65549009363,0.0,0.0,1.0355894274355602e6,421167.62695953285,0.0,349993.50698581676,0.0,0.0,0.0,21409.776456806583,1.1067635474092762e6,1.0
 ,44,70617.30779224623,240859.98513907404,21409.776456806583,12711.11540260432,0.0,121521.89116883415,0.0,171278.21165445267,8698.661054202263,0.0,120727.3165442959,0.0,0.0,1.0200192051465249e6,429294.6920035467,0.0,342550.34974079544,0.0,0.0,0.0,21409.776456806583,1.1067635474092762e6,1.0
 ,45,70617.30779224623,240859.98513907404,21409.776456806583,12711.11540260432,0.0,121521.89116883415,0.0,171278.21165445267,8698.661054202263,0.0,129425.97759849817,0.0,0.0,981461.4169972165,422247.4472564156,0.0,296945.3168443559,0.0,0.0,0.0,21409.776456806583,1.1067635474092762e6,1.0
 ,46,70617.30779224623,240859.98513907404,21409.776456806583,12711.11540260432,0.0,121521.89116883415,0.0,171278.21165445267,8698.661054202263,0.0,138124.6386527005,0.0,0.0,901422.2855763697,402486.573495119,0.0,197145.31166221248,0.0,0.0,0.0,21409.776456806583,1.1067635474092762e6,1.0
 ,47,70617.30779224623,240859.98513907404,21409.776456806583,12711.11540260432,0.0,121521.89116883415,0.0,171278.21165445267,8698.661054202263,0.0,146823.29970690276,0.0,0.0,833388.4176838726,383968.5873965869,0.0,55613.26347070455,52362.08971474154,0.0,52362.08971474154,21409.776456806583,1.1093816518950134e6,1.0
 ,48,70617.30779224623,240859.98513907404,21409.776456806583,12711.11540260432,0.0,121521.89116883415,0.0,171278.21165445267,8698.661054202263,0.0,155521.96076110503,0.0,0.0,798313.4006037915,371294.64532526373,0.0,0.0,59851.903352170426,0.0,112213.99306691196,21409.776456806583,1.109756142576885e6,1.0
 ,49,70617.30779224623,221349.71655467275,19675.530360415356,12711.11540260432,0.0,111678.31032571754,0.0,157404.24288332285,6964.414957811034,0.0,162486.37571891607,0.0,0.0,704281.4167358986,314437.708071026,0.0,0.0,0.0,0.0,112213.99306691196,19675.530360415356,1.0187191248069246e6,1.0
 ,50,70617.30779224623,199586.30576063824,17741.004956501176,12711.11540260432,0.0,100697.94413310067,0.0,141928.0396520094,5029.8895538968545,0.0,167516.26527281292,0.0,0.0,653997.4035243298,266509.49376100436,0.0,0.0,0.0,0.0,112213.99306691196,17741.004956501176,920506.897285334,1.0
 ,51,70617.30779224623,165408.0994808267,14702.942176073486,12711.11540260432,0.0,83453.8997913931,0.0,117623.53740858789,1991.8267734691606,0.0,169508.09204628208,0.0,0.0,553156.0941959019,213114.05209483154,0.0,0.0,0.0,0.0,112213.99306691196,14702.942176073486,766270.1462907334,1.0
 ,52,54490.96720710486,110344.20859438734,9808.374097278875,9808.374097278876,0.0,55672.331376154885,0.0,78466.992778231,0.0,0.0,169508.09204628208,0.0,0.0,372517.2010373518,140736.62477181933,0.0,0.0,0.0,0.0,112213.99306691196,9808.374097278875,513253.8258091711,1.0
 ,53,33961.171570147206,68771.37242954811,6113.010882626499,6113.010882626497,0.0,34697.449769788,0.0,48904.08706101199,0.0,0.0,169508.09204628208,0.0,0.0,155393.16694274946,57885.93723612391,0.0,0.0,0.0,112213.99306691196,0.0,6113.010882626499,325493.09724578535,1.0
 ,54,70192.97482842655,5095.488199104734,452.93228436486527,12634.73546911678,0.0,2570.843646054975,0.0,3623.458274918922,0.0,12181.803184751912,157326.28886153013,0.0,0.0,38993.013138831164,15162.592015828828,0.0,0.0,0.0,0.0,0.0,452.9322843648651,54155.60515465999,1.0
 ,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157326.28886153013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
 ,56,2489.2966025438423,0.0,0.0,448.0733884578916,0.0,0.0,0.0,0.0,0.0,448.0733884578916,156878.21547307225,0.0,0.0,0.0,1120.183471144729,0.0,0.0,0.0,0.0,0.0,0.0,1120.183471144729,1.0
 ,57,5987.18174098002,12124.04302548454,1077.6927133764036,1077.6927133764036,0.0,6116.983841124466,0.0,8621.541707011229,0.0,0.0,156878.21547307225,0.0,0.0,38684.58430077376,17709.054716375857,0.0,0.0,0.0,0.0,0.0,1077.6927133764036,56393.63901714962,1.0
 ,58,70617.30779224623,240859.98513907404,21409.776456806583,12711.11540260432,0.0,121521.89116883415,0.0,171278.21165445267,8698.661054202263,0.0,165576.87652727452,0.0,0.0,1.1757055749241756e6,401453.08764341165,0.0,470395.1151583111,0.0,0.0,0.0,21409.776456806583,1.1067635474092762e6,1.0
 ,59,70617.30779224623,240859.98513907404,21409.776456806583,12711.11540260432,0.0,121521.89116883415,0.0,171278.21165445267,8698.661054202263,0.0,174275.5375814768,0.0,0.0,1.1888943024306647e6,446429.17157474847,0.0,528559.9265961369,0.0,0.0,0.0,21409.776456806583,1.1067635474092762e6,1.0
 ,60,70617.30779224623,240859.98513907404,21409.776456806583,12711.11540260432,0.0,121521.89116883415,0.0,171278.21165445267,8698.661054202263,0.0,182974.19863567906,0.0,0.0,1.188110898879583e6,457057.4158794753,0.0,538404.767349782,0.0,0.0,0.0,21409.776456806583,1.1067635474092762e6,1.0
