Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Flex - no H2 storage,1,59737.87092086584,120969.18861475332,10752.816765755852,10752.816765755852,0.0,0.0,0.0,86022.53412604681,0.0,443079.5222369945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10752.816765755853,443079.5222369945,1.0
Profile: 2020,2,65455.553481586794,132547.49580021325,11781.999626685623,11781.999626685623,0.0,0.0,0.0,94255.99701348499,0.0,485487.93114502187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11781.999626685625,485487.9311450219,1.0
Location: Bornholm,3,67530.19871629284,136748.652400493,12155.435768932712,12155.435768932712,0.0,0.0,0.0,97243.4861514617,0.0,500875.7045161638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12155.435768932712,500875.70451616374,1.0
Fuel: NH3,4,82975.8828560182,168026.16278343686,14935.658914083277,14935.658914083277,0.0,0.0,0.0,119485.27131266621,0.0,615437.3091357655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14935.658914083278,615437.3091357655,1.0
Electrolyser: SOEC,5,75173.62852836771,152226.59776994464,13531.25313510619,13531.25313510619,0.0,0.0,0.0,108250.02508084952,0.0,557567.5011466865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13531.253135106192,557567.5011466865,1.0
CO2 capture: None,6,83551.62172497969,169192.03399308387,15039.291910496344,15039.291910496344,0.0,0.0,0.0,120314.33528397075,0.0,619707.6003105323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15039.291910496348,619707.6003105323,1.0
CO2taxWTTup: 0,7,90877.40250590343,184026.74007445443,16357.932451062617,16357.932451062617,0.0,0.0,0.0,130863.45960850094,0.0,677577.4082996113,0.0,0.0,0.0,3534.034075669013,0.0,0.0,0.0,16357.932451062617,674043.3742239423,1.0
CO2taxWTTop: 0,8,90877.40250590343,184026.74007445443,16357.932451062617,16357.932451062617,0.0,0.0,0.0,130863.45960850094,0.0,683541.0908023026,0.0,0.0,0.0,9497.716578360298,0.0,0.0,0.0,16357.932451062617,674043.3742239423,1.0
CO2WTTop_treshhold -1,9,90877.40250590343,184026.74007445446,16357.93245106262,16357.93245106262,0.0,0.0,0.0,130863.45960850095,0.0,686338.8677788739,0.0,0.0,0.0,12295.493554931483,0.0,0.0,0.0,16357.93245106262,674043.3742239424,1.0
Renewable criterion: None,10,90877.40250590343,184026.74007445443,16357.932451062617,16357.932451062617,0.0,0.0,0.0,130863.45960850094,0.0,693627.813059941,0.0,0.0,0.0,19584.438835998764,0.0,0.0,0.0,16357.932451062617,674043.3742239423,1.0
Renewable application: 0,11,90877.40250590343,184026.74007445443,16357.932451062617,16357.932451062617,0.0,0.0,0.0,130863.45960850094,0.0,699444.2441428128,0.0,0.0,0.0,25400.869918870507,0.0,0.0,0.0,16357.932451062617,674043.3742239423,1.0
 ,12,90877.40250590343,184026.74007445443,16357.932451062617,16357.932451062617,0.0,0.0,0.0,130863.45960850094,0.0,699444.2441428128,0.0,0.0,0.0,25400.869918870507,0.0,0.0,0.0,16357.932451062617,674043.3742239423,1.0
 ,13,90877.40250590343,184026.74007445443,16357.932451062617,16357.932451062617,0.0,0.0,0.0,130863.45960850094,0.0,699444.2441428128,0.0,0.0,0.0,25400.869918870507,0.0,0.0,0.0,16357.932451062617,674043.3742239423,1.0
 ,14,90877.40250590343,184026.74007445443,16357.932451062617,16357.932451062617,0.0,0.0,0.0,130863.45960850094,0.0,699444.2441428128,0.0,0.0,0.0,25400.869918870507,0.0,0.0,0.0,16357.932451062617,674043.3742239423,1.0
