Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Ceduna - all renewables,1,61258.40056505206,182352.89607318022,16209.14631761602,11026.512101709372,0.0,69002.3358740914,0.0,129673.17054092816,5182.634215906648,0.0,5182.634215906648,0.0,915153.0092755955,43749.88465354542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158439.602870255,0.0,0.0,0.0,16209.14631761602,800463.291058886,1.0
Profile: 2020ma,2,61258.40056505206,182352.89607318022,16209.14631761602,11026.512101709372,0.0,69002.3358740914,0.0,129673.17054092816,5182.634215906648,0.0,10365.268431813296,0.0,924611.9551079015,48550.49993367303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172699.16398268857,0.0,0.0,0.0,16209.14631761602,800463.291058886,1.0
Location: Ceduna,3,61258.40056505206,182352.89607318022,16209.14631761602,11026.512101709372,0.0,69002.3358740914,0.0,129673.17054092816,5182.634215906648,0.0,15547.902647719944,0.0,924611.9551079015,83615.85002749889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207764.5140765144,0.0,0.0,0.0,16209.14631761602,800463.291058886,1.0
Fuel: NH3,4,61258.40056505206,182352.89607318022,16209.14631761602,11026.512101709372,0.0,69002.3358740914,0.0,129673.17054092816,5182.634215906648,0.0,20730.536863626592,0.0,921064.8504207868,143089.75367821893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263691.3130401197,0.0,0.0,0.0,16209.14631761602,800463.291058886,1.0
Electrolyser: Mix,5,61258.40056505206,182352.89607318022,16209.14631761602,11026.512101709372,0.0,69002.3358740914,0.0,129673.17054092816,5182.634215906648,0.0,25913.17107953324,0.0,913970.6410465573,234843.49193308555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348350.84192075697,0.0,0.0,0.0,16209.14631761602,800463.291058886,1.0
CO2 capture: All,6,61258.40056505206,182352.89607318022,16209.14631761602,11026.512101709372,0.0,69002.3358740914,0.0,129673.17054092816,5182.634215906648,0.0,31095.805295439888,0.0,893870.3811529073,366650.26636268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460057.3564567013,0.0,0.0,0.0,16209.14631761602,800463.291058886,1.0
CO2taxWTTup: 0,7,61258.40056505206,182352.89607318022,16209.14631761602,11026.512101709372,0.0,69002.3358740914,0.0,129673.17054092816,5182.634215906648,0.0,36278.439511346536,0.0,852487.4931365689,465095.40220418543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517119.6042818684,0.0,0.0,0.0,16209.14631761602,800463.291058886,1.0
CO2taxWTTop: 0,8,61258.40056505206,182352.89607318022,16209.14631761602,11026.512101709372,0.0,69002.3358740914,0.0,129673.17054092816,5182.634215906648,0.0,41461.073727253184,0.0,775633.5582490836,507780.4660721993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482950.7332623969,0.0,0.0,0.0,16209.14631761602,800463.291058886,1.0
CO2WTTop_treshhold -1,9,61258.40056505206,182352.89607318022,16209.14631761602,11026.512101709372,0.0,69002.3358740914,0.0,129673.17054092816,5182.634215906648,0.0,46643.70794315983,0.0,627837.529619304,496502.1929536041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203823.9538785093,114335.69298620269,0.0,114335.69298620269,16209.14631761602,806180.0757081961,1.0
Renewable criterion: None,10,61258.40056505206,182352.89607318022,16209.14631761602,11026.512101709372,0.0,69002.3358740914,0.0,129673.17054092816,5182.634215906648,0.0,51826.34215906648,0.0,315692.31715320935,438574.3853147176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48627.98799048305,65707.70499571963,16209.14631761602,802894.6904584101,1.0
Renewable application: 0,11,61258.40056505206,91536.0262272575,8136.535664645112,11026.512101709372,0.0,34637.23232439424,0.0,65092.285317160895,0.0,2889.9764370642597,48936.36572200222,0.0,0.0,417364.5788959562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65707.70499571963,8136.535664645112,417364.5788959562,1.0
