Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Morocco,1,61147.65309379941,129230.55872076142,11487.160775178792,11006.577556883894,0.0,65201.12455991482,0.0,91897.28620143034,480.58321829489944,0.0,480.58321829489944,0.0,0.0,0.0,600351.8751181127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11487.160775178792,600351.8751181127,1.0
Profile: 2020ma,2,61147.65309379941,131828.50302644572,11718.089157906286,11006.577556883894,0.0,66511.87406027607,0.0,93744.71326325029,711.5116010223932,0.0,1192.0948193172926,0.0,0.0,0.0,612075.6761184699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11718.089157906285,612075.6761184698,1.0
Location: Morocco,3,61147.65309379941,130998.42093808195,11644.304083385063,11006.577556883894,0.0,66093.0699772936,0.0,93154.4326670805,637.7265265011697,0.0,1829.8213458184623,0.0,0.0,0.0,608329.7462320421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11644.304083385061,608329.7462320421,1.0
Fuel: NH3,4,61147.65309379941,129465.5526126583,11508.049121125183,11006.577556883894,0.0,65319.68681150653,0.0,92064.39296900146,501.4715642412901,0.0,2331.2929100597526,0.0,0.0,0.0,601412.3372761623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11508.049121125183,601412.3372761622,1.0
Electrolyser: AEC,5,61147.65309379941,126703.46396101081,11262.530129867628,11006.577556883894,0.0,63926.121017128644,0.0,90100.24103894102,255.95257298373474,0.0,2587.245483043487,0.0,0.0,0.0,588947.7984381247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11262.530129867626,588947.7984381247,1.0
CO2 capture: All,6,61147.65309379941,126217.27719113119,11219.31352810055,11006.577556883894,0.0,63680.823585498714,0.0,89754.5082248044,212.73597121665856,0.0,2799.981454260132,0.0,0.0,0.0,586753.7725975387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11219.31352810055,586753.7725975387,1.0
CO2taxWTTup: 0,7,61147.65309379941,129718.07895957722,11530.495907517976,11006.577556883894,0.0,65447.09477107202,0.0,92243.9672601438,523.9183506340833,0.0,3323.8998048942153,0.0,0.0,0.0,602551.9185335999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11530.495907517974,602551.9185335998,1.0
CO2taxWTTop: 0,8,61147.65309379941,131951.09686485757,11728.98638798734,11006.577556883894,0.0,66573.72673821612,0.0,93831.89110389871,722.4088311034469,0.0,4046.3086359976623,0.0,0.0,0.0,612628.9080573786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11728.98638798734,612628.9080573786,1.0
CO2WTTop_treshhold -1,9,61147.65309379941,133331.9938861744,11851.73278988217,11006.577556883894,0.0,67270.43531537119,0.0,94813.86231905736,845.1552329982769,0.0,4891.463868995939,145985.87916417068,0.0,0.0,620950.7395725704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148076.10600466546,0.0,0.0,0.0,11851.73278988217,618860.5127320756,1.0
Renewable criterion: None,10,61147.65309379941,133331.9938861744,11851.73278988217,11006.577556883894,0.0,67270.43531537119,0.0,94813.86231905736,845.1552329982769,0.0,5736.619101994216,402838.39297660306,0.0,0.0,628019.7164934918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411997.5967380192,0.0,0.0,0.0,11851.73278988217,618860.5127320756,1.0
Renewable application: 0,11,61147.65309379941,133331.9938861744,11851.73278988217,11006.577556883894,0.0,67270.43531537119,0.0,94813.86231905736,845.1552329982769,0.0,6581.774334992493,482717.4589343568,0.0,0.0,636292.0422295296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500148.98843181075,0.0,0.0,0.0,11851.73278988217,618860.5127320756,1.0
