Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Ceduna - all renewables,1,60522.28417451379,164519.9248291877,14623.993318150016,10894.011151412484,0.0,0.0,0.0,116991.94654520013,3729.9821667375327,0.0,3729.9821667375327,0.0,703658.0683748446,40304.10917393846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150087.20007912803,0.0,0.0,0.0,14623.993318150016,593874.977469655,1.0
Profile: 2020ma,2,60522.28417451379,164519.9248291877,14623.993318150016,10894.011151412484,0.0,0.0,0.0,116991.94654520013,3729.9821667375327,0.0,7459.964333475084,0.0,710931.019985954,44726.62420191032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161782.6667182094,0.0,0.0,0.0,14623.993318150016,593874.977469655,1.0
Location: Ceduna,3,60522.28417451379,164519.9248291877,14623.993318150016,10894.011151412484,0.0,0.0,0.0,116991.94654520013,3729.9821667375363,0.0,11189.94650021262,0.0,710931.019985954,77030.19961920918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194086.24213550822,0.0,0.0,0.0,14623.993318150016,593874.977469655,1.0
Fuel: NH3,4,60522.28417451379,164519.9248291877,14623.993318150016,10894.011151412484,0.0,0.0,0.0,116991.94654520013,3729.9821667375345,0.0,14919.928666950154,0.0,708203.663131788,131819.89163145234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246148.5772935853,0.0,0.0,0.0,14623.993318150016,593874.977469655,1.0
Electrolyser: SOEC,5,60522.28417451379,164519.9248291877,14623.993318150016,10894.011151412484,0.0,0.0,0.0,116991.94654520013,3729.9821667375345,0.0,18649.91083368769,0.0,702748.9494234559,216347.03297195947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325221.0049257602,0.0,0.0,0.0,14623.993318150016,593874.977469655,1.0
CO2 capture: All,6,60522.28417451379,164519.9248291877,14623.993318150016,10894.011151412484,0.0,0.0,0.0,116991.94654520013,3729.9821667375345,0.0,22379.893000425225,0.0,687293.9272498481,337772.6017144487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431191.55149464175,0.0,0.0,0.0,14623.993318150016,593874.977469655,1.0
CO2taxWTTup: 0,7,60522.28417451379,164519.9248291877,14623.993318150016,10894.011151412484,0.0,0.0,0.0,116991.94654520013,3729.9821667375345,0.0,26109.87516716276,0.0,655474.7639512441,428464.1208811786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490063.90736276767,0.0,0.0,0.0,14623.993318150016,593874.977469655,1.0
CO2taxWTTop: 0,8,60522.28417451379,164519.9248291877,14623.993318150016,10894.011151412484,0.0,0.0,0.0,116991.94654520013,3729.9821667375345,0.0,29839.857333900298,0.0,596382.0321109794,467787.2753959082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470294.33003723255,0.0,0.0,0.0,14623.993318150016,593874.977469655,1.0
CO2WTTop_treshhold -1,9,60522.28417451379,164519.9248291877,14623.993318150016,10894.011151412484,0.0,0.0,0.0,116991.94654520013,58759.695805489966,55029.71363875243,33569.839500637834,0.0,482742.1631873934,457397.2879784553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280510.99321501557,0.0,280510.99321501557,14623.993318150016,659628.4579508331,1.0
Renewable criterion: None,10,60522.28417451379,164519.9248291877,14623.993318150016,10894.011151412484,0.0,0.0,0.0,116991.94654520013,3729.9821667375345,0.0,37299.82166737537,0.0,242734.76002077974,404031.92023467115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50373.05027218646,0.0,330884.043487202,14623.993318150016,596393.6299832644,1.0
