Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Flex - no H2 storage,1,59249.97341110687,119981.1961574914,10664.995213999237,10664.995213999237,0.0,45400.884625994746,0.0,85319.96171199389,0.0,534645.838198461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10664.995213999237,534645.838198461,1.0
Profile: 2020,2,64920.95790509116,131464.93975780963,11685.77242291641,11685.77242291641,0.0,49746.333204355156,0.0,93486.17938333128,0.0,585818.3212164593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11685.772422916412,585818.3212164593,1.0
Location: Bornholm,3,66978.65887599868,135631.78422389732,12056.158597679761,12056.158597679761,0.0,51323.06715032274,0.0,96449.26878143809,0.0,604386.1145337538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12056.158597679763,604386.1145337538,1.0
Fuel: NH3,4,82298.19337710906,166653.84158864582,14813.67480787963,14813.67480787963,0.0,63061.81365714358,0.0,118509.39846303704,0.0,742622.8915754296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14813.674807879632,742622.8915754296,1.0
Electrolyser: Mix,5,74559.6624530263,150983.31646737826,13420.739241544736,13420.739241544736,0.0,57132.08695125594,0.0,107365.91393235789,0.0,672793.7741237861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13420.739241544734,672793.7741237861,1.0
CO2 capture: None,6,82869.23001018385,167810.1907706223,14916.461401833094,14916.461401833094,0.0,63499.37618760348,0.0,119331.69121466475,0.0,747775.6763237697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14916.461401833096,747775.6763237697,1.0
CO2taxWTTup: 0,7,90607.76093426663,183480.7158918899,16309.396968167994,16309.396968167994,0.0,69429.10289349114,0.0,130475.17574534395,0.0,817604.7937754132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16309.39696816799,817604.7937754131,1.0
CO2taxWTTop: 0,8,91405.24312873316,185095.61733568466,16452.94376317197,16452.94376317197,0.0,70040.18159982307,0.0,131623.55010537576,0.0,824800.9241998192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16452.943763171974,824800.9241998194,1.0
CO2WTTop_treshhold -1,9,91651.37960850679,185594.04370722626,16497.248329531223,16497.248329531223,0.0,70228.78613881441,0.0,131977.98663624979,0.0,828176.8866211455,0.0,0.0,0.0,1154.9345125589753,0.0,0.0,0.0,16497.248329531223,827021.9521085866,1.0
Renewable criterion: None,10,91651.37960850679,185594.04370722626,16497.248329531223,16497.248329531223,0.0,70228.78613881441,0.0,131977.98663624979,0.0,836972.1571398639,0.0,0.0,0.0,9950.205031277379,0.0,0.0,0.0,16497.248329531223,827021.9521085866,1.0
Renewable application: 0,11,91651.37960850679,185594.04370722626,16497.248329531223,16497.248329531223,0.0,70228.78613881441,0.0,131977.98663624979,0.0,843990.6053315685,0.0,0.0,0.0,16968.653222981957,0.0,0.0,0.0,16497.248329531223,827021.9521085866,1.0
 ,12,91651.37960850679,185594.04370722626,16497.248329531223,16497.248329531223,0.0,70228.78613881441,0.0,131977.98663624979,0.0,843990.6053315685,0.0,0.0,0.0,16968.653222981957,0.0,0.0,0.0,16497.248329531223,827021.9521085866,1.0
 ,13,91651.37960850679,185594.04370722626,16497.248329531223,16497.248329531223,0.0,70228.78613881441,0.0,131977.98663624979,0.0,843990.6053315685,0.0,0.0,0.0,16968.653222981957,0.0,0.0,0.0,16497.248329531223,827021.9521085866,1.0
 ,14,91651.37960850679,185594.04370722626,16497.248329531223,16497.248329531223,0.0,70228.78613881441,0.0,131977.98663624979,0.0,843990.6053315685,0.0,0.0,0.0,16968.653222981957,0.0,0.0,0.0,16497.248329531223,827021.9521085866,1.0
 ,15,91651.37960850679,185594.04370722626,16497.248329531223,16497.248329531223,0.0,70228.78613881441,0.0,131977.98663624979,0.0,843990.6053315685,0.0,0.0,0.0,16968.653222981957,0.0,0.0,0.0,16497.248329531223,827021.9521085866,1.0
 ,16,91651.37960850679,185594.04370722626,16497.248329531223,16497.248329531223,0.0,70228.78613881441,0.0,131977.98663624979,0.0,843990.6053315685,0.0,0.0,0.0,16968.653222981957,0.0,0.0,0.0,16497.248329531223,827021.9521085866,1.0
 ,17,91651.37960850679,185594.04370722626,16497.248329531223,16497.248329531223,0.0,70228.78613881441,0.0,131977.98663624979,0.0,843990.6053315685,0.0,0.0,0.0,16968.653222981957,0.0,0.0,0.0,16497.248329531223,827021.9521085866,1.0
 ,18,91651.37960850679,185594.04370722626,16497.248329531223,16497.248329531223,0.0,70228.78613881441,0.0,131977.98663624979,0.0,843990.6053315685,0.0,0.0,0.0,16968.653222981957,0.0,0.0,0.0,16497.248329531223,827021.9521085866,1.0
 ,19,91651.37960850679,185594.04370722626,16497.248329531223,16497.248329531223,0.0,70228.78613881441,0.0,131977.98663624979,0.0,843990.6053315685,0.0,0.0,0.0,16968.653222981957,0.0,0.0,0.0,16497.248329531223,827021.9521085866,1.0
 ,20,91651.37960850679,185594.04370722626,16497.248329531223,16497.248329531223,0.0,70228.78613881441,0.0,131977.98663624979,0.0,842746.8297026589,0.0,0.0,0.0,15724.877594072372,0.0,0.0,0.0,16497.248329531223,827021.9521085866,1.0
 ,21,89672.44231112684,181586.69568003184,16141.039616002832,16141.039616002832,0.0,68712.40564532405,0.0,129128.31692802266,0.0,809164.8877220976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16141.039616002836,809164.8877220976,1.0
 ,22,78714.44623160508,159396.7536190003,14168.600321688915,14168.600321688915,0.0,60315.73156942971,0.0,113348.80257351132,0.0,710284.7252237779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14168.600321688917,710284.7252237779,1.0
 ,23,66614.3768859337,134894.11319401572,11990.587839468066,11990.587839468066,0.0,51043.932432615555,0.0,95924.70271574453,0.0,601098.9932287781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11990.587839468068,601098.9932287781,1.0
 ,24,80250.3378653925,162506.9341774198,14445.06081577065,14445.06081577065,0.0,61492.62389273565,0.0,115560.4865261652,0.0,724143.9393744859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14445.060815770654,724143.9393744859,1.0
 ,25,90873.58833242212,184019.0163731548,16357.245899835982,16357.245899835982,0.0,69632.79579560176,0.0,130857.96719868785,0.0,820003.5039168819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16357.245899835983,820003.5039168819,1.0
 ,26,90873.58833242212,184019.0163731548,16357.245899835982,16357.245899835982,0.0,69632.79579560176,0.0,130857.96719868785,0.0,820003.5039168819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16357.245899835983,820003.5039168819,1.0
 ,27,90804.6701180855,183879.45698912314,16344.840621255391,16344.840621255391,0.0,69579.9865246842,0.0,130758.72497004313,0.0,819381.616102427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16344.840621255395,819381.616102427,1.0
 ,28,91651.37960850679,185594.04370722626,16497.248329531223,16497.248329531223,0.0,70228.78613881441,0.0,131977.98663624979,0.0,829331.8211337045,0.0,0.0,0.0,2309.8690251179505,0.0,0.0,0.0,16497.248329531223,827021.9521085866,1.0
