Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: No H2 storage,1,64821.82743866262,131264.20056329182,11667.928938959272,11667.928938959272,0.0,0.0,0.0,93343.43151167418,0.0,543307.8395575762,0.0,0.0,0.0,62520.29408080067,0.0,0.0,0.0,11667.928938959272,480787.54547677556,1.0
Profile: 2020,2,64821.82743866262,131264.20056329182,11667.928938959272,11667.928938959272,0.0,0.0,0.0,93343.43151167418,0.0,595309.3875112425,0.0,0.0,0.0,114521.84203446697,0.0,0.0,0.0,11667.928938959272,480787.54547677556,1.0
Location: Bornholm,3,64821.82743866262,131264.20056329182,11667.928938959272,11667.928938959272,0.0,0.0,0.0,93343.43151167418,0.0,614178.0047374861,0.0,0.0,0.0,0.0,127038.53262924816,0.0,127038.53262924816,11667.928938959272,487139.47210823797,1.0
Fuel: NH3,4,64821.82743866262,131264.20056329182,11667.928938959272,11667.928938959272,0.0,0.0,0.0,93343.43151167418,0.0,754654.4085845429,0.0,0.0,0.0,273866.86310776736,0.0,0.0,127038.53262924816,11667.928938959272,480787.54547677556,1.0
Electrolyser: SOEC,5,64821.82743866262,131264.20056329182,11667.928938959272,11667.928938959272,0.0,0.0,0.0,93343.43151167418,0.0,683693.9629394358,0.0,0.0,0.0,0.0,193244.20710729552,0.0,320282.7397365437,11667.928938959272,490449.75583214033,1.0
CO2 capture: None,6,64821.82743866262,131264.20056329182,11667.928938959272,11667.928938959272,0.0,0.0,0.0,93343.43151167418,0.0,759890.6755659885,0.0,0.0,0.0,279103.13008921297,0.0,0.0,320282.7397365437,11667.928938959272,480787.54547677556,1.0
CO2taxWTTup: 0,7,64821.82743866262,131264.20056329182,11667.928938959272,11667.928938959272,0.0,0.0,0.0,93343.43151167418,0.0,830851.1212110957,0.0,0.0,0.0,0.0,333393.8816517335,0.0,653676.6213882772,11667.928938959272,497457.23955936224,1.0
CO2taxWTTop: 0,8,64821.82743866262,131264.20056329182,11667.928938959272,11667.928938959272,0.0,0.0,0.0,93343.43151167418,0.0,838163.83889208,0.0,0.0,0.0,357376.29341530445,0.0,0.0,653676.6213882772,11667.928938959272,480787.54547677556,1.0
CO2WTTop_treshhold -1,9,64821.82743866262,131264.20056329182,11667.928938959272,11667.928938959272,0.0,0.0,0.0,93343.43151167418,0.0,841594.4965695789,0.0,0.0,0.0,0.0,343625.6677074317,0.0,997302.2890957089,11667.928938959272,497968.8288621472,1.0
Renewable criterion: None,10,64821.82743866262,131264.20056329182,11667.928938959272,11667.928938959272,0.0,0.0,0.0,93343.43151167418,0.0,850532.2626241153,0.0,0.0,0.0,369744.7171473398,0.0,0.0,997302.2890957089,11667.928938959272,480787.54547677556,1.0
Renewable application: 0,11,64821.82743866262,131264.20056329182,11667.928938959272,11667.928938959272,0.0,0.0,0.0,93343.43151167418,0.0,857664.419374705,0.0,0.0,0.0,0.0,358930.35609326605,0.0,1.356232645188975e6,11667.928938959272,498734.0632814389,1.0
 ,12,64821.82743866262,131264.20056329182,11667.928938959272,11667.928938959272,0.0,0.0,0.0,93343.43151167418,0.0,857664.419374705,0.0,0.0,0.0,376876.8738979294,0.0,0.0,1.356232645188975e6,11667.928938959272,480787.54547677556,1.0
 ,13,64821.82743866262,131264.20056329182,11667.928938959272,11667.928938959272,0.0,0.0,0.0,93343.43151167418,0.0,857664.419374705,0.0,0.0,0.0,376876.8738979294,0.0,0.0,1.356232645188975e6,11667.928938959272,480787.54547677556,1.0
 ,14,64821.82743866262,131264.20056329182,11667.928938959272,11667.928938959272,0.0,0.0,0.0,93343.43151167418,0.0,857664.419374705,0.0,0.0,0.0,0.0,358930.35609326605,0.0,1.715163001282241e6,11667.928938959272,498734.0632814389,1.0
 ,15,64821.82743866262,131264.20056329182,11667.928938959272,11667.928938959272,0.0,0.0,0.0,93343.43151167418,0.0,857664.419374705,0.0,0.0,0.0,376876.8738979294,0.0,0.0,1.715163001282241e6,11667.928938959272,480787.54547677556,1.0
 ,16,64821.82743866262,131264.20056329182,11667.928938959272,11667.928938959272,0.0,0.0,0.0,93343.43151167418,0.0,857664.419374705,0.0,0.0,0.0,0.0,358930.35609326605,0.0,2.074093357375507e6,11667.928938959272,498734.0632814389,1.0
 ,17,64821.82743866262,131264.20056329182,11667.928938959272,11667.928938959272,0.0,0.0,0.0,93343.43151167418,0.0,857664.419374705,0.0,0.0,0.0,0.0,358930.35609326605,0.0,2.4330237134687733e6,11667.928938959272,498734.0632814389,1.0
