Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Flex - no H2 storage,1,59181.280517010295,119842.09304694584,10652.630493061853,10652.630493061853,0.0,60464.33067861907,0.0,85221.04394449483,0.0,557432.1800197524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10652.630493061855,557432.1800197524,1.0
Profile: 2020,2,64845.69021754169,131312.52269052193,11672.224239157506,11672.224239157506,0.0,66251.544781458,0.0,93377.79391326004,0.0,610785.6090146638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11672.224239157507,610785.6090146638,1.0
Location: Bornholm,3,66901.00554290813,135474.53622438895,12042.180997723462,12042.180997723462,0.0,68351.41934307836,0.0,96337.4479817877,0.0,630144.7525214981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12042.180997723464,630144.7525214981,1.0
Fuel: NH3,4,82202.77897003805,166460.62741432706,14796.50021460685,14796.50021460685,0.0,83984.93521810847,0.0,118372.0017168548,0.0,774273.1127924742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14796.500214606853,774273.1127924742,1.0
Electrolyser: AEC,5,74473.21989952127,150808.27029653057,13405.179581913828,13405.179581913828,0.0,76087.79930694288,0.0,107241.43665531062,0.0,701467.9128098346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13405.17958191383,701467.9128098346,1.0
CO2 capture: None,6,82773.1535579388,167615.63595482608,14899.167640428985,14899.167640428985,0.0,84567.67552707491,0.0,119193.34112343188,0.0,779645.506684323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14899.167640428985,779645.506684323,1.0
CO2taxWTTup: 0,7,90502.7126284556,183267.99307262257,16290.488273122008,16290.488273122008,0.0,92464.8114382405,0.0,130323.90618497606,0.0,852450.7066669626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16290.48827312201,852450.7066669626,1.0
CO2taxWTTop: 0,8,91299.27024259283,184881.02224125047,16433.86864366671,16433.86864366671,0.0,93278.63842145223,0.0,131470.94914933367,0.0,859953.532619372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16433.86864366671,859953.5326193719,1.0
CO2WTTop_treshhold -1,9,91672.963938114,185637.75197468084,16501.13350886052,16501.13350886052,0.0,93660.4337962923,0.0,132009.06807088415,0.0,863473.3768933419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16501.133508860523,863473.376893342,1.0
Renewable criterion: None,10,91771.30438430379,185836.89137821516,16518.83478917468,16518.83478917468,0.0,93760.90626335549,0.0,132150.67831339745,0.0,872643.4975018423,0.0,0.0,0.0,8243.845799561008,0.0,0.0,0.0,16518.83478917468,864399.6517022813,1.0
