Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,CSP_tower,Charge_TES,Discharge_TES,TES,CSP + TES,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,16,56848.51696026441,224599.4817857702,19964.39838095735,10232.733052847594,0.0,113317.92521031392,0.0,159715.1870476588,9731.66532810976,0.0,76841.5538564733,1.0295181361166828e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296210.693635062,19964.39838095735,1.0295181361166827e6,1.0
 ,17,56848.51696026441,163382.76611225982,14522.912543311984,10232.733052847594,0.0,82432.05159583881,0.0,116183.30034649587,4290.17949046439,0.0,81131.73334693769,753264.1029253729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296210.693635062,14522.912543311984,753264.1029253729,1.0
 ,18,56848.51696026441,99092.11920407329,8808.188373695404,10232.733052847594,0.0,49995.277209095104,0.0,70465.50698956323,0.0,1424.54467915219,79707.18866778555,423818.2993680344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42798.994286448375,253411.69934861365,8808.188373695404,466617.2936544827,1.0
 ,19,56848.51696026441,42649.35745449255,3791.0539959548937,10232.733052847594,0.0,21518.022481039974,0.0,30328.43196763915,0.0,6441.679056892701,73265.50961089286,214482.94502430892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253411.69934861365,3791.0539959548937,214482.9450243089,1.0
 ,20,56848.51696026441,10495.075122344042,932.8955664305815,10232.733052847594,0.0,5295.1152350599805,0.0,7463.164531444652,0.0,9299.837486417013,63965.672124475845,72066.2695281678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253411.69934861365,932.8955664305815,72066.2695281678,1.0
 ,21,56848.51696026441,0.0,0.0,10232.733052847594,0.0,0.0,0.0,0.0,0.0,10232.733052847594,53732.93907162825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26928.244875914723,226483.4544726989,0.0,26928.244875914723,1.0
 ,22,56848.51696026441,0.0,0.0,10232.733052847594,0.0,0.0,0.0,0.0,0.0,10232.733052847594,43500.20601878066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26928.244875914723,199555.2095967842,0.0,26928.244875914723,1.0
 ,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43500.20601878066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199555.2095967842,0.0,0.0,1.0
 ,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43500.20601878066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199555.2095967842,0.0,0.0,1.0
 ,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43500.20601878066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199555.2095967842,0.0,0.0,1.0
