Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,18,61266.82981796551,48268.68126700501,4290.549445956001,11028.029367233792,0.0,24353.15865524626,0.0,34324.39556764801,0.0,6737.479921277791,16668.410188135313,0.0,241360.10752986086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4290.549445956001,241360.10752986086,1.0
 ,19,61266.82981796551,43199.52218036242,3839.9575271433264,11028.029367233792,0.0,21795.598924065518,0.0,30719.66021714661,0.0,7188.071840090466,9480.338348044846,0.0,218907.95707527304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3839.9575271433264,218907.95707527304,1.0
 ,20,61266.82981796551,42565.081268155394,3783.5627793915905,11028.029367233792,0.0,21475.502335826666,0.0,30268.502235132724,0.0,7244.466587842202,2235.8717602026445,0.0,216097.9125349561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3783.562779391591,216097.91253495606,1.0
 ,21,61266.82981796551,136224.95315235833,12108.884724654074,11028.029367233792,0.0,68730.02969713652,0.0,96871.07779723259,1080.8553574202815,0.0,3316.727117622926,448367.07300976955,183582.02611494376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12108.884724654074,631949.0991247133,1.0
 ,22,61266.82981796551,177028.53220142168,15735.869529015261,11028.029367233792,0.0,89316.79544669061,0.0,125886.95623212209,4707.840161781469,0.0,8024.567279404395,682683.1987352142,133401.11831040843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15735.869529015261,816084.3170456225,1.0
 ,23,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629326,0.0,13629.56947503372,843538.0526116005,72001.99009522043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53908.491381556145,0.0,0.0,0.0,16633.031562863118,861631.5513252647,1.0
 ,24,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629326,0.0,19234.57167066305,890401.2777566892,65151.99089035488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19584.055614719517,70797.77305434272,0.0,70797.77305434272,16633.031562863118,865171.4399779818,1.0
 ,25,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629326,0.0,24839.573866292376,818206.579560201,50626.03389453588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6858.154409021095,0.0,77655.92746336381,16633.031562863118,861974.4590457159,1.0
 ,26,61266.82981796551,178308.03502858666,15849.603113652149,11028.029367233792,0.0,89962.34727308959,0.0,126796.82490921719,4821.573746418357,0.0,29661.14761271073,780209.3699831018,41648.98790406439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77655.92746336381,15849.603113652149,821858.3578871661,1.0
 ,27,61266.82981796551,162547.75300909366,14448.689156363882,11028.029367233792,0.0,82010.75965152138,0.0,115589.51325091106,3420.65978913009,0.0,33081.80740184082,734612.7184905829,16123.864498727935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77655.92746336381,14448.689156363882,750736.5829893108,1.0
 ,28,61266.82981796551,185144.35792791293,16457.27626025893,11028.029367233792,0.0,93411.50005322967,0.0,131658.21008207143,5429.246893025136,0.0,38511.05429486596,749811.6023214225,29124.05074162447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77655.92746336381,0.0,16457.27626025893,856591.5805264106,1.0
 ,29,61266.82981796551,185898.34056703743,16524.296939292217,11028.029367233792,0.0,93791.90942742261,0.0,132194.37551433773,5496.267572058425,0.0,44007.32186692438,805540.8430345013,50570.45532948798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16524.296939292217,856111.2983639893,1.0
 ,30,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629326,0.0,49612.32406255371,816940.005907631,103767.12698694713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59075.58156931342,0.0,0.0,0.0,16633.031562863118,861631.5513252647,1.0
