Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Semi-islanded-lgp,1,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
Profile: 2030lgp,2,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
Location: Bornholm,3,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
Fuel: NH3,4,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
Electrolyser: AEC,5,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
CO2 capture: None,6,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
CO2taxWTTup: 0,7,54189.016214834584,109732.75783504003,9754.022918670225,9754.022918670225,0.0,55363.83408637219,0.0,78032.1833493618,0.0,0.0,0.0,0.0,510409.73054104036,0.0,0.0,0.0,0.0,9754.022918670225,510409.73054104036,1.0
CO2taxWTTop: 0,8,54189.016214834584,109732.75783504003,9754.022918670225,9754.022918670225,0.0,55363.83408637219,0.0,78032.1833493618,0.0,0.0,0.0,0.0,510409.73054104066,0.0,2.7717933768317813e-10,0.0,2.7717933768317813e-10,9754.022918670225,510409.73054104036,1.0
CO2WTTop_treshhold -1,9,54189.016214834584,109732.75783504003,9754.022918670225,9754.022918670225,0.0,55363.83408637219,0.0,78032.1833493618,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,-3.063561100708811e-10,5.835354477540593e-10,9754.022918670225,510409.7305410403,1.0
Renewable criterion: None,10,54189.01621483462,109732.7578350401,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,5.835354477540593e-10,9754.02291867023,510409.73054104066,1.0
Renewable application: 0,11,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104,0.0,-5.835354477540593e-10,0.0,0.0,9754.02291867023,510409.7305410406,1.0
 ,12,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,13,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,14,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,15,54189.016214834584,109732.75783504003,9754.022918670225,9754.022918670225,0.0,55363.83408637219,0.0,78032.1833493618,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,-3.063561100708811e-10,3.063561100708811e-10,9754.022918670225,510409.7305410403,1.0
 ,16,54189.016214834584,109732.75783504003,9754.022918670225,9754.022918670225,0.0,55363.83408637219,0.0,78032.1833493618,0.0,0.0,0.0,0.0,510409.73054104036,0.0,0.0,0.0,3.063561100708811e-10,9754.022918670225,510409.73054104036,1.0
 ,17,54189.01621483462,109732.7578350401,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,3.063561100708811e-10,9754.02291867023,510409.73054104066,1.0
 ,18,54189.016214834584,109732.75783504003,9754.022918670225,9754.022918670225,0.0,55363.83408637219,0.0,78032.1833493618,0.0,0.0,0.0,0.0,510409.73054104036,0.0,0.0,0.0,3.063561100708811e-10,9754.022918670225,510409.73054104036,1.0
 ,19,54189.016214834584,109732.75783504003,9754.022918670225,9754.022918670225,0.0,55363.83408637219,0.0,78032.1833493618,0.0,0.0,0.0,0.0,510409.73054104036,0.0,0.0,0.0,3.063561100708811e-10,9754.022918670225,510409.73054104036,1.0
 ,20,54189.01621483462,109732.7578350401,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,3.063561100708811e-10,9754.02291867023,510409.73054104066,1.0
 ,21,54189.016214834584,109732.75783504003,9754.022918670225,9754.022918670225,0.0,55363.83408637219,0.0,78032.1833493618,0.0,0.0,0.0,0.0,510409.7305410397,0.0,-5.835354477540593e-10,0.0,-2.7717933768317813e-10,9754.022918670225,510409.7305410403,1.0
 ,22,54189.016214834584,109732.75783504003,9754.022918670225,9754.022918670225,0.0,55363.83408637219,0.0,78032.1833493618,0.0,0.0,0.0,0.0,510409.73054104066,0.0,2.7717933768317813e-10,0.0,0.0,9754.022918670225,510409.73054104036,1.0
 ,23,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,24,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104036,0.0,-2.7717933768317813e-10,0.0,-2.7717933768317813e-10,9754.02291867023,510409.73054104066,1.0
 ,25,54189.01621483462,109732.7578350401,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,-2.7717933768317813e-10,9754.02291867023,510409.73054104066,1.0
 ,26,54189.016214834584,109732.75783504003,9754.022918670225,9754.022918670225,0.0,55363.83408637219,0.0,78032.1833493618,0.0,0.0,0.0,0.0,510409.73054104066,0.0,2.7717933768317813e-10,0.0,0.0,9754.022918670225,510409.73054104036,1.0
 ,27,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,28,54189.016214834584,109732.75783504003,9754.022918670225,9754.022918670225,0.0,55363.83408637219,0.0,78032.1833493618,0.0,0.0,0.0,0.0,510409.73054104066,0.0,2.7717933768317813e-10,0.0,2.7717933768317813e-10,9754.022918670225,510409.73054104036,1.0
 ,29,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,2.7717933768317813e-10,9754.02291867023,510409.73054104066,1.0
 ,30,54189.016214834584,109732.75783504003,9754.022918670225,9754.022918670225,0.0,55363.83408637219,0.0,78032.1833493618,0.0,0.0,0.0,0.0,510409.7305410401,0.0,-2.7717933768317813e-10,0.0,0.0,9754.022918670225,510409.7305410403,1.0
 ,31,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,32,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,33,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,34,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104,0.0,-5.835354477540593e-10,0.0,-5.835354477540593e-10,9754.02291867023,510409.7305410406,1.0
 ,35,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,-5.835354477540593e-10,9754.02291867023,510409.73054104066,1.0
 ,36,54189.016214834584,109732.75783504003,9754.022918670225,9754.022918670225,0.0,55363.83408637219,0.0,78032.1833493618,0.0,0.0,0.0,0.0,510409.73054104066,0.0,2.7717933768317813e-10,0.0,-3.063561100708811e-10,9754.022918670225,510409.73054104036,1.0
 ,37,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,-3.063561100708811e-10,9754.02291867023,510409.73054104066,1.0
 ,38,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,-3.063561100708811e-10,9754.02291867023,510409.73054104066,1.0
 ,39,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,-3.063561100708811e-10,9754.02291867023,510409.73054104066,1.0
 ,40,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,-3.063561100708811e-10,9754.02291867023,510409.73054104066,1.0
 ,41,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,-3.063561100708811e-10,9754.02291867023,510409.73054104066,1.0
 ,42,54189.016214834584,109732.75783504003,9754.022918670225,9754.022918670225,0.0,55363.83408637219,0.0,78032.1833493618,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,-3.063561100708811e-10,0.0,9754.022918670225,510409.7305410403,1.0
 ,43,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,44,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,45,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,46,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,47,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,48,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,49,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,50,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,51,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,52,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,53,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,54,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,55,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,56,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,57,54189.016214834584,109732.75783504003,9754.022918670225,9754.022918670225,0.0,55363.83408637219,0.0,78032.1833493618,0.0,0.0,0.0,0.0,510409.73054104036,0.0,0.0,0.0,0.0,9754.022918670225,510409.73054104036,1.0
 ,58,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,59,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,60,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,61,54189.01621483462,109732.7578350401,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,62,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.7305410403,0.0,-3.063561100708811e-10,0.0,-3.063561100708811e-10,9754.02291867023,510409.73054104066,1.0
 ,63,54189.01621483462,109732.7578350401,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,-3.063561100708811e-10,9754.02291867023,510409.73054104066,1.0
 ,64,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,-3.063561100708811e-10,9754.02291867023,510409.73054104066,1.0
 ,65,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,-3.063561100708811e-10,9754.02291867023,510409.73054104066,1.0
 ,66,54189.016214834584,109732.75783504003,9754.022918670225,9754.022918670225,0.0,55363.83408637219,0.0,78032.1833493618,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,-3.063561100708811e-10,0.0,9754.022918670225,510409.7305410403,1.0
 ,67,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,68,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,69,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,70,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,71,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,72,54189.016214834584,109732.75783504003,9754.022918670225,9754.022918670225,0.0,55363.83408637219,0.0,78032.1833493618,0.0,0.0,0.0,0.0,510409.73054104036,0.0,0.0,0.0,0.0,9754.022918670225,510409.73054104036,1.0
 ,73,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,74,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,75,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,76,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,77,54189.016214834584,109732.75783504003,9754.022918670225,9754.022918670225,0.0,55363.83408637219,0.0,78032.1833493618,0.0,0.0,0.0,0.0,510409.73054104066,0.0,2.7717933768317813e-10,0.0,2.7717933768317813e-10,9754.022918670225,510409.73054104036,1.0
 ,78,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,2.7717933768317813e-10,9754.02291867023,510409.73054104066,1.0
 ,79,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104036,0.0,-2.7717933768317813e-10,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,80,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
 ,81,54189.01621483461,109732.75783504009,9754.02291867023,9754.02291867023,0.0,55363.834086372226,0.0,78032.18334936185,0.0,0.0,0.0,0.0,510409.73054104066,0.0,0.0,0.0,0.0,9754.02291867023,510409.73054104066,1.0
