Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Semi-islanded,1,51575.256719126985,104439.89485623213,9283.546209442857,9283.546209442857,0.0,52693.408284797646,0.0,74268.36967554285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485790.5664910019,0.0,0.0,0.0,0.0,9283.546209442857,485790.5664910019,1.0
Profile: 2020,2,51575.256719126985,104439.89485623213,9283.546209442857,9283.546209442857,0.0,52693.408284797646,0.0,74268.36967554285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485790.5664910019,0.0,0.0,0.0,0.0,9283.546209442857,485790.5664910019,1.0
Location: Bornholm,3,51575.256719126985,104439.89485623213,9283.546209442857,9283.546209442857,0.0,52693.408284797646,0.0,74268.36967554285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485790.5664910019,0.0,0.0,0.0,0.0,9283.546209442857,485790.5664910019,1.0
Fuel: NH3,4,51575.256719126985,104439.89485623213,9283.546209442857,9283.546209442857,0.0,52693.408284797646,0.0,74268.36967554285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485790.5664910019,0.0,0.0,0.0,0.0,9283.546209442857,485790.5664910019,1.0
Electrolyser: AEC,5,51575.256719126985,104439.89485623213,9283.546209442857,9283.546209442857,0.0,52693.408284797646,0.0,74268.36967554285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485790.5664910019,0.0,0.0,0.0,0.0,9283.546209442857,485790.5664910019,1.0
CO2 capture: None,6,51575.256719126985,104439.89485623213,9283.546209442857,9283.546209442857,0.0,52693.408284797646,0.0,74268.36967554285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485790.5664910019,0.0,0.0,0.0,0.0,9283.546209442857,485790.5664910019,1.0
CO2taxWTTup: 0,7,51575.256719126985,104439.89485623213,9283.546209442857,9283.546209442857,0.0,52693.408284797646,0.0,74268.36967554285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485790.5664910019,0.0,0.0,0.0,0.0,9283.546209442857,485790.5664910019,1.0
CO2taxWTTop: 0,8,51575.256719126985,104439.89485623213,9283.546209442857,9283.546209442857,0.0,52693.408284797646,0.0,74268.36967554285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485790.5664910019,0.0,0.0,0.0,0.0,9283.546209442857,485790.5664910019,1.0
CO2WTTop_treshhold -1,9,51575.256719126985,104439.89485623213,9283.546209442857,9283.546209442857,0.0,52693.408284797646,0.0,74268.36967554285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485790.5664910019,0.0,0.0,0.0,0.0,9283.546209442857,485790.5664910019,1.0
Renewable criterion: None,10,51575.256719126985,104694.62630710087,9306.189005075634,9283.546209442857,0.0,52821.92879280929,0.0,74449.51204060507,22.64279563277705,0.0,22.64279563277705,0.0,0.0,0.0,0.0,486940.09877003625,0.0,0.0,0.0,0.0,9306.189005075634,486940.09877003625,1.0
Renewable application: 0,11,51575.256719126985,104694.62630710096,9306.189005075641,9283.546209442857,0.0,52821.92879280933,0.0,74449.51204060513,22.642795632784328,0.0,45.28559126556138,0.0,0.0,0.0,0.0,486940.0987700366,0.0,0.0,0.0,0.0,9306.189005075641,486940.0987700366,1.0
 ,12,51575.256719126985,104694.62630710086,9306.189005075632,9283.546209442857,0.0,52821.92879280928,0.0,74449.51204060506,22.642795632775233,0.0,67.92838689833661,0.0,0.0,0.0,0.0,486940.0987700361,0.0,0.0,0.0,0.0,9306.189005075632,486940.09877003613,1.0
 ,13,51575.256719126985,104694.62630710086,9306.189005075632,9283.546209442857,0.0,52821.92879280928,0.0,74449.51204060506,22.642795632775233,0.0,90.57118253111184,0.0,0.0,0.0,0.0,486940.0987700361,0.0,0.0,0.0,0.0,9306.189005075632,486940.09877003613,1.0
 ,14,51575.256719126985,104694.62630710086,9306.189005075632,9283.546209442857,0.0,52821.92879280928,0.0,74449.51204060506,22.642795632775233,0.0,113.21397816388708,0.0,0.0,0.0,0.0,486940.09877003613,0.0,0.0,0.0,0.0,9306.189005075632,486940.09877003613,1.0
 ,15,51575.256719126985,104694.62630710086,9306.189005075632,9283.546209442857,0.0,52821.92879280928,0.0,74449.51204060506,22.642795632775233,0.0,135.8567737966623,0.0,0.0,0.0,0.0,486940.09877003613,0.0,0.0,0.0,0.0,9306.189005075632,486940.09877003613,1.0
 ,16,51575.256719126985,104439.89485623213,9283.546209442857,9283.546209442857,0.0,52693.408284797646,0.0,74268.36967554285,0.0,0.0,135.8567737966623,0.0,0.0,0.0,0.0,485790.5664910019,0.0,0.0,0.0,0.0,9283.546209442857,485790.5664910019,1.0
 ,17,51575.256719126985,104439.89485623213,9283.546209442857,9283.546209442857,0.0,52693.408284797646,0.0,74268.36967554285,0.0,0.0,135.8567737966623,0.0,0.0,0.0,0.0,485790.5664910019,0.0,0.0,0.0,0.0,9283.546209442857,485790.5664910019,1.0
 ,18,51575.256719126985,104694.62630710086,9306.189005075632,9283.546209442857,0.0,52821.92879280928,0.0,74449.51204060506,22.642795632775233,0.0,158.49956942943754,0.0,0.0,0.0,0.0,486940.09877003613,0.0,0.0,0.0,0.0,9306.189005075632,486940.09877003613,1.0
 ,19,51575.256719126985,104694.62630710086,9306.189005075632,9283.546209442857,0.0,52821.92879280928,0.0,74449.51204060506,22.642795632775233,0.0,181.14236506221278,0.0,0.0,0.0,0.0,486940.0987700361,0.0,0.0,0.0,0.0,9306.189005075632,486940.09877003613,1.0
