Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Flex,1,59177.93246000601,119835.31323151218,10652.027842801082,10652.027842801082,0.0,45345.6825268042,0.0,85216.22274240866,0.0,0.0,0.0,0.0,533995.772173643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10652.027842801082,533995.7721736429,1.0
Profile: 2020,2,64842.02170842134,131305.09395955323,11671.563907515841,11671.563907515841,0.0,49685.84755429493,0.0,93372.51126012673,0.0,0.0,0.0,0.0,585106.0355122967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11671.563907515843,585106.0355122968,1.0
Location: Bornholm,3,66897.2207586276,135466.87203622088,12041.499736552969,12041.499736552969,0.0,51260.664378505986,0.0,96331.99789242375,0.0,0.0,0.0,0.0,603651.2525917736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12041.499736552969,603651.2525917735,1.0
Fuel: NH3,4,82198.1285199718,166451.2102529429,14795.663133594924,14795.663133594924,0.0,62985.13795971359,0.0,118365.3050687594,0.0,0.0,0.0,0.0,741719.9500829979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14795.663133594922,741719.9500829979,1.0
Electrolyser: Mix,5,74469.00673307171,150799.7386344702,13404.42121195291,13404.42121195291,0.0,57062.62109928353,0.0,107235.36969562327,0.0,0.0,0.0,0.0,671975.7365687933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13404.421211952907,671975.7365687933,1.0
CO2 capture: None,6,82768.47084012472,167606.15345125255,14898.32475122245,14898.32475122245,0.0,63422.16846595396,0.0,119186.5980097796,0.0,0.0,0.0,0.0,746866.4696552929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14898.324751222452,746866.469655293,1.0
CO2taxWTTup: 0,7,84907.25634995401,183811.35851853515,16338.787423869791,15283.306142991723,0.0,69554.21806341369,0.0,130710.29939095833,1055.4812808780728,0.0,1055.4812808780728,0.0,816610.6831694976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16338.787423869795,816610.6831694976,1.0
CO2taxWTTop: 0,8,84907.25634995401,185503.19251761932,16489.17266823283,15283.306142991723,0.0,70194.40804866714,0.0,131913.38134586264,1205.8665252411088,0.0,2261.3478061191818,0.0,823798.0639514958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16489.17266823283,823798.0639514957,1.0
CO2WTTop_treshhold -1,9,84907.25634995401,186296.89241842425,16559.7237705266,15283.306142991723,0.0,70494.74409113174,0.0,132477.7901642128,1276.417627534879,0.0,3537.765433654061,0.0,827169.9216023098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16559.7237705266,827169.9216023097,1.0
Renewable criterion: None,10,84907.25634995401,187550.10278811623,16671.120247832554,15283.306142991723,0.0,70968.95889502317,0.0,133368.96198266043,1387.8141048408324,0.0,4925.579538494893,0.0,835954.4981136409,0.0,0.0,0.0,3460.590746888076,0.0,0.0,0.0,16671.120247832554,832493.9073667529,1.0
Renewable application: 0,11,84907.25634995401,187550.10278811623,16671.120247832554,15283.306142991723,0.0,70968.95889502317,0.0,133368.96198266043,1387.8141048408443,0.0,6313.393643335738,0.0,842964.4127034909,0.0,0.0,0.0,10470.505336738075,0.0,0.0,0.0,16671.120247832554,832493.9073667529,1.0
 ,12,84907.25634995401,187550.10278811623,16671.120247832554,15283.306142991723,0.0,70968.95889502317,0.0,133368.96198266043,1387.8141048408324,0.0,7701.20774817657,0.0,842964.4127034909,0.0,0.0,0.0,10470.505336738075,0.0,0.0,0.0,16671.120247832554,832493.9073667529,1.0
 ,13,84907.25634995401,187550.10278811623,16671.120247832554,15283.306142991723,0.0,70968.95889502317,0.0,133368.96198266043,1387.8141048408324,0.0,9089.021853017402,0.0,842964.4127034909,0.0,0.0,0.0,10470.505336738075,0.0,0.0,0.0,16671.120247832554,832493.9073667529,1.0
