Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Ceduna - offshore,1,11229.359283329642,22739.452548742524,2021.2846709993355,2021.2846709993357,0.0,8604.60884444417,0.0,16170.277367994684,0.0,0.0,0.0,0.0,0.0,67220.41785933987,34108.40746874036,0.0,0.0,0.0,0.0,0.0,2021.2846709993355,101328.82532808022,1.0
Profile: 2020ma,2,14140.969513645146,28635.463265131417,2545.374512456126,2545.3745124561265,0.0,10835.659299525727,0.0,20362.996099649008,0.0,0.0,0.0,0.0,0.0,86469.87478427628,41132.047432695304,0.0,0.0,0.0,0.0,0.0,2545.374512456126,127601.92221697155,1.0
Location: Ceduna,3,20163.84905598341,40831.7943383664,3629.492830077014,3629.492830077014,0.0,15450.750977637847,0.0,29035.94264061611,0.0,0.0,0.0,0.0,0.0,126740.36624813534,55209.385949096955,0.0,0.0,0.0,0.0,0.0,3629.492830077014,181949.75219723227,1.0
Fuel: NH3,4,26871.529953960573,54414.84815677015,4836.8753917129025,4836.875391712903,0.0,20590.578542521824,0.0,38695.00313370322,0.0,0.0,0.0,0.0,0.0,169732.7001645579,72744.22984562743,0.0,0.0,0.0,0.0,0.0,4836.8753917129025,242476.9300101853,1.0
Electrolyser: Mix,5,38021.1867668589,76992.90320288927,6843.813618034602,6843.813618034602,0.0,29134.1145719733,0.0,54750.508944276815,0.0,0.0,0.0,0.0,0.0,238763.32810484525,104323.22701007899,0.0,0.0,0.0,0.0,0.0,6843.813618034602,343086.55511492415,1.0
CO2 capture: None,6,59177.32559819337,119834.08433634156,10651.918607674806,10651.918607674806,0.0,45345.21751287165,0.0,85215.34886139845,0.0,0.0,0.0,0.0,0.0,369880.3694462389,164109.92667190888,0.0,0.0,0.0,0.0,0.0,10651.918607674806,533990.2961181477,1.0
CO2taxWTTup: 0,7,70498.33104691656,166625.95559557347,14811.196052939864,12689.69958844498,0.0,63051.261597364995,0.0,118489.56842351891,2121.4964644948836,0.0,2121.4964644948836,0.0,0.0,504258.669462759,233280.37259944502,0.0,0.0,0.0,0.0,0.0,14811.196052939864,737539.042062204,1.0
CO2taxWTTop: 0,8,70498.33104691656,192802.50339594018,17138.00030186135,12689.69958844498,0.0,72956.46728502375,0.0,137104.0024148908,4448.30071341637,0.0,6569.79717791125,0.0,0.0,571588.7075426553,277155.58083878446,0.0,0.0,0.0,0.0,0.0,17138.00030186135,848744.2883814396,1.0
CO2WTTop_treshhold -1,9,70498.33104691656,214159.01508482872,19036.35689642922,12689.69958844498,0.0,81037.77130809918,0.0,152290.85517143377,6346.657307984238,0.0,12916.454485895489,0.0,0.0,624842.7576030792,314629.924797117,0.0,0.0,0.0,0.0,0.0,19036.35689642922,939472.6824001962,1.0
Renewable criterion: None,10,70498.33104691656,240406.8639797144,21369.499020419058,12689.69958844498,0.0,90969.95732992393,0.0,170955.99216335246,8679.799431974077,0.0,21596.253917869566,0.0,0.0,696839.0209884625,359135.15049143264,0.0,0.0,4755.558004844689,0.0,4755.558004844689,21369.499020419058,1.0512186134750503e6,1.0
