Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Semi-islanded-hgp,1,56501.47973951422,114415.4964725163,10170.26635311256,10170.26635311256,0.0,43294.82386520017,0.0,81362.13082490048,0.0,0.0,0.0,0.0,509844.6337719902,0.0,-1.1087173507327125e-10,0.0,-1.1087173507327125e-10,10170.26635311256,509844.63377199025,1.0
Profile: 2030hgp,2,56501.47973951421,114415.49647251627,10170.266353112558,10170.266353112558,0.0,43294.82386520016,0.0,81362.13082490047,0.0,0.0,0.0,0.0,509844.6337719901,0.0,1.1087173507327125e-10,0.0,0.0,10170.266353112554,509844.63377198996,1.0
Location: Bornholm,3,56501.47973951422,114415.4964725163,10170.26635311256,10170.26635311256,0.0,43294.82386520017,0.0,81362.13082490048,0.0,0.0,0.0,0.0,509844.6337719902,0.0,-1.1087173507327125e-10,0.0,-1.1087173507327125e-10,10170.26635311256,509844.63377199025,1.0
Fuel: NH3,4,56501.47973951422,114415.4964725163,10170.26635311256,10170.26635311256,0.0,43294.82386520017,0.0,81362.13082490048,0.0,0.0,0.0,0.0,509844.63377199054,0.0,2.334141791016237e-10,0.0,1.2254244402835243e-10,10170.26635311256,509844.6337719903,1.0
Electrolyser: Mix,5,56501.47973951422,114415.4964725163,10170.26635311256,10170.26635311256,0.0,43294.82386520017,0.0,81362.13082490048,0.0,0.0,0.0,0.0,509844.6337719902,0.0,0.0,1.2254244402835243e-10,0.0,10170.26635311256,509844.63377199025,1.0
CO2 capture: None,6,56501.479739514165,114415.4964725162,10170.26635311255,10170.26635311255,0.0,43294.823865200124,0.0,81362.1308249004,0.0,0.0,0.0,0.0,509844.63377198984,0.0,0.0,0.0,0.0,10170.26635311255,509844.63377198984,1.0
CO2taxWTTup: 0,7,56501.47973951422,114415.4964725163,10170.26635311256,10170.26635311256,0.0,43294.82386520017,0.0,81362.13082490048,0.0,0.0,0.0,0.0,509844.6337719902,0.0,-5.543586753663562e-11,0.0,-5.543586753663562e-11,10170.26635311256,509844.63377199025,1.0
CO2taxWTTop: 0,8,56501.47973951421,114415.49647251627,10170.266353112558,10170.266353112558,0.0,43294.82386520016,0.0,81362.13082490047,0.0,0.0,0.0,0.0,509844.6337719902,0.0,5.543586753663562e-11,0.0,0.0,10170.266353112558,509844.63377199013,1.0
CO2WTTop_treshhold -1,9,56501.47973951422,114415.4964725163,10170.26635311256,10170.26635311256,0.0,43294.82386520017,0.0,81362.13082490048,0.0,0.0,0.0,0.0,509844.6337719903,0.0,0.0,0.0,0.0,10170.26635311256,509844.63377199025,1.0
Renewable criterion: None,10,56501.47973951421,114415.49647251627,10170.266353112558,10170.266353112558,0.0,43294.82386520016,0.0,81362.13082490047,0.0,0.0,0.0,0.0,509844.63377199013,0.0,0.0,0.0,0.0,10170.266353112558,509844.63377199013,1.0
Renewable application: 0,11,56501.47973951422,114415.4964725163,10170.26635311256,10170.26635311256,0.0,43294.82386520017,0.0,81362.13082490048,0.0,0.0,0.0,0.0,509844.6337719903,0.0,0.0,0.0,0.0,10170.26635311256,509844.63377199025,1.0
 ,12,56501.47973951422,114415.4964725163,10170.26635311256,10170.26635311256,0.0,43294.82386520017,0.0,81362.13082490048,0.0,0.0,0.0,0.0,509844.6337719903,0.0,0.0,0.0,0.0,10170.26635311256,509844.63377199025,1.0
 ,13,56501.479739514165,114415.4964725162,10170.26635311255,10170.26635311255,0.0,43294.823865200124,0.0,81362.1308249004,0.0,0.0,0.0,0.0,509844.63377198984,0.0,0.0,0.0,0.0,10170.26635311255,509844.63377198984,1.0
 ,14,56501.479739514165,114415.4964725162,10170.26635311255,10170.26635311255,0.0,43294.823865200124,0.0,81362.1308249004,0.0,0.0,0.0,0.0,509844.6337719902,0.0,3.3261520521981376e-10,0.0,3.3261520521981376e-10,10170.26635311255,509844.63377198984,1.0
 ,15,56501.479739514165,114415.4964725162,10170.26635311255,10170.26635311255,0.0,43294.823865200124,0.0,81362.1308249004,0.0,0.0,0.0,0.0,509844.6337719895,0.0,-3.3261520521981376e-10,0.0,0.0,10170.26635311255,509844.6337719898,1.0
 ,16,56501.479739514165,114415.4964725162,10170.26635311255,10170.26635311255,0.0,43294.823865200124,0.0,81362.1308249004,0.0,0.0,0.0,0.0,509844.63377198984,0.0,0.0,0.0,0.0,10170.26635311255,509844.63377198984,1.0
 ,17,56501.47973951421,114415.49647251627,10170.266353112558,10170.266353112558,0.0,43294.82386520016,0.0,81362.13082490047,0.0,0.0,0.0,0.0,509844.63377199013,0.0,0.0,0.0,0.0,10170.266353112558,509844.63377199013,1.0
 ,18,56501.479739514165,114415.4964725162,10170.26635311255,10170.26635311255,0.0,43294.823865200124,0.0,81362.1308249004,0.0,0.0,0.0,0.0,509844.63377198984,0.0,0.0,0.0,0.0,10170.26635311255,509844.63377198984,1.0
 ,19,56501.47973951422,114415.4964725163,10170.26635311256,10170.26635311256,0.0,43294.82386520017,0.0,81362.13082490048,0.0,0.0,0.0,0.0,509844.6337719903,0.0,0.0,0.0,0.0,10170.26635311256,509844.63377199025,1.0
 ,20,56501.47973951422,114415.4964725163,10170.26635311256,10170.26635311256,0.0,43294.82386520017,0.0,81362.13082490048,0.0,0.0,0.0,0.0,509844.6337719903,0.0,0.0,0.0,0.0,10170.26635311256,509844.63377199025,1.0
 ,21,56501.47973951422,114415.4964725163,10170.26635311256,10170.26635311256,0.0,43294.82386520017,0.0,81362.13082490048,0.0,0.0,0.0,0.0,509844.63377199025,0.0,0.0,0.0,0.0,10170.26635311256,509844.63377199025,1.0
 ,22,56501.479739514165,114415.4964725162,10170.26635311255,10170.26635311255,0.0,43294.823865200124,0.0,81362.1308249004,0.0,0.0,0.0,0.0,509844.6337719902,0.0,3.326152052198137e-10,0.0,3.326152052198137e-10,10170.26635311255,509844.63377198984,1.0
 ,23,56501.47973951422,114415.4964725163,10170.26635311256,10170.26635311256,0.0,43294.82386520017,0.0,81362.13082490048,0.0,0.0,0.0,0.0,509844.6337719902,0.0,-1.1087173507327125e-10,0.0,2.217434701465425e-10,10170.26635311256,509844.63377199025,1.0
