Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Base case,1,59950.65717970704,121400.08078890678,10791.11829234727,10791.118292347268,0.0,61250.38742736309,0.0,86328.94633877816,0.0,0.0,0.0,0.0,564678.9868917345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10791.118292347272,564678.9868917345,1.0
Profile: 2020,2,65688.70612213165,133019.6298973166,11823.967101983699,11823.967101983699,0.0,67112.83727085947,0.0,94591.73681586959,0.0,0.0,0.0,0.0,618726.0285084908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11823.9671019837,618726.0285084908,1.0
Location: Bornholm,3,67770.74124186559,137235.7510147778,12198.733423535807,12198.733423535807,0.0,69240.01091198923,0.0,97589.86738828645,0.0,0.0,0.0,0.0,638336.8474284597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12198.733423535808,638336.8474284597,1.0
Fuel: NH3,4,75482.62649568834,169109.32382483146,15031.939895540576,13586.8727692239,0.0,85321.2908470883,0.0,120255.5191643246,1445.067126316675,0.0,1445.067126316675,0.0,784338.9251292803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15031.93989554058,784338.9251292803,1.0
Electrolyser: AEC,5,75441.39694614848,152768.82881595066,13579.451450306726,13579.451450306728,0.0,77076.96643194096,0.0,108635.6116024538,0.0,0.0,1445.067126316675,0.0,710587.2329230816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13579.451450306724,710587.2329230815,1.0
CO2 capture: None,6,75482.62649568834,170315.30029789373,15139.137804257221,13586.8727692239,0.0,85929.74617696398,0.0,121113.10243405777,1552.265035033319,0.0,2997.332161349921,0.0,789781.1619587453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15139.137804257221,789781.1619587453,1.0
CO2taxWTTup: 0,7,75482.62649568834,184844.55664581474,16430.627257405755,13586.8727692239,0.0,93260.24031303506,0.0,131445.01805924604,2843.754488181854,0.0,5841.086649531775,0.0,863532.854164944,0.0,0.0,0.0,0.0,7795.423059589008,0.0,7795.423059589008,16430.62725740583,855737.431105355,1.0
CO2taxWTTop: 0,8,75482.62649568834,184844.55664581474,16430.627257405755,13586.8727692239,0.0,93260.24031303506,0.0,131445.01805924604,2843.754488181854,0.0,8684.841137713629,0.0,871133.2193923004,0.0,0.0,0.0,0.0,15033.866133265345,0.0,22829.289192855136,16430.627257405755,856099.353259035,1.0
CO2WTTop_treshhold -1,9,75482.62649568834,184844.55664581474,16430.627257405755,13586.8727692239,0.0,93260.24031303506,0.0,131445.01805924604,2843.754488181854,0.0,11528.595625895483,0.0,874698.8228322946,0.0,0.0,0.0,0.0,18429.678933259627,0.0,41258.96812611476,16430.62725740576,856269.1438990349,1.0
Renewable criterion: None,10,75482.62649568834,184844.55664581474,16430.627257405755,13586.8727692239,0.0,93260.24031303506,0.0,131445.01805924604,2843.754488181854,0.0,14372.350114077337,0.0,883988.1581101747,0.0,0.0,0.0,0.0,27276.664912193297,0.0,68535.63303830806,16430.627257405755,856711.4931979814,1.0
Renewable application: 0,11,75482.62649568834,184844.55664581474,16430.627257405755,13586.8727692239,0.0,93260.24031303506,0.0,131445.01805924604,2843.754488181854,0.0,17216.10460225919,0.0,891400.8599985839,0.0,0.0,0.0,0.0,34336.38099639255,0.0,102872.01403470061,16430.627257405755,857064.4790021913,1.0
 ,12,75482.62649568834,184844.55664581474,16430.627257405755,13586.8727692239,0.0,93260.24031303506,0.0,131445.01805924604,2843.754488181854,0.0,20059.859090441045,0.0,891400.8599985839,0.0,0.0,0.0,0.0,34336.380996392545,0.0,137208.39503109315,16430.627257405755,857064.4790021913,1.0
 ,13,75482.62649568834,184844.55664581474,16430.627257405755,13586.8727692239,0.0,93260.24031303506,0.0,131445.01805924604,2843.754488181854,0.0,22903.6135786229,0.0,891400.8599985839,0.0,0.0,0.0,0.0,34336.38099639255,0.0,171544.7760274857,16430.627257405755,857064.4790021913,1.0
 ,14,75482.62649568834,184844.55664581474,16430.627257405755,13586.8727692239,0.0,93260.24031303506,0.0,131445.01805924604,2843.754488181854,0.0,25747.368066804753,0.0,891400.8599985839,0.0,0.0,0.0,0.0,34336.38099639255,0.0,205881.15702387824,16430.627257405755,857064.4790021913,1.0
 ,15,75482.62649568834,184844.55664581474,16430.627257405755,13586.8727692239,0.0,93260.24031303506,0.0,131445.01805924604,2843.754488181854,0.0,28591.122554986607,0.0,891400.8599985839,0.0,0.0,0.0,0.0,34336.38099639217,0.0,240217.5380202704,16430.627257405762,857064.4790021917,1.0
