Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_tank,H2_from_tank,H2_stored_tank,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,41,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.183189153351,0.0,112261.09755920203,0.0,845456.4137329642,0.0,0.0,0.0,0.0,0.0,10363.431762409471,0.0,16286.375457138964,855819.8454953736,1.0
 ,42,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,115327.28074835538,0.0,873891.261871239,0.0,0.0,0.0,18589.58796398586,0.0,0.0,0.0,16286.375457138964,855301.6739072532,1.0
 ,43,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.183189153351,0.0,118393.46393750873,0.0,878118.0636215232,0.0,0.0,0.0,22816.389714270015,0.0,0.0,0.0,16286.375457138964,855301.6739072532,1.0
 ,44,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,121459.64712666208,0.0,895409.5253272309,0.0,0.0,0.0,0.0,38197.95373331223,0.0,38197.95373331223,16286.375457138964,857211.5715939187,1.0
 ,45,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,124525.83031581543,0.0,900020.5817820863,0.0,0.0,0.0,44718.907874833094,0.0,0.0,38197.95373331223,16286.375457138964,855301.6739072532,1.0
 ,46,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,127592.01350496878,0.0,908474.1852826545,0.0,0.0,0.0,53172.511375401285,0.0,0.0,38197.95373331223,16286.375457138964,855301.6739072532,1.0
 ,47,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,15294.078718289593,12227.895529136244,130658.19669412213,0.0,898099.3082592299,0.0,0.0,0.0,0.0,0.0,0.0,38197.95373331223,16286.375457138962,898099.3082592299,1.0
 ,48,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,133724.37988327548,0.0,905880.4660267984,0.0,0.0,0.0,50578.79211954516,0.0,0.0,38197.95373331223,16286.375457138964,855301.6739072532,1.0
 ,49,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,136790.56307242883,0.0,912604.9233567958,0.0,0.0,0.0,57303.24944954261,0.0,0.0,38197.95373331223,16286.375457138964,855301.6739072532,1.0
 ,50,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,139856.7462615822,0.0,912604.9233567958,0.0,0.0,0.0,0.0,54574.52328527878,0.0,92772.47701859102,16286.375457138964,858030.4000715171,1.0
 ,51,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,142922.92945073554,0.0,912604.9233567958,0.0,0.0,0.0,57303.24944954261,0.0,0.0,92772.47701859102,16286.375457138964,855301.6739072532,1.0
 ,52,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533475,0.0,145989.1126398889,0.0,912604.9233567958,0.0,0.0,0.0,57303.24944954272,0.0,0.0,92772.47701859102,16286.375457138964,855301.6739072532,1.0
 ,53,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,149055.29582904224,0.0,912604.9233567958,0.0,0.0,0.0,0.0,54574.52328527878,0.0,147347.0003038698,16286.375457138964,858030.4000715171,1.0
 ,54,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,152121.4790181956,0.0,912604.9233567958,0.0,0.0,0.0,57303.24944954261,0.0,0.0,147347.0003038698,16286.375457138964,855301.6739072532,1.0
 ,55,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.183189153351,0.0,155187.66220734894,0.0,912604.9233567958,0.0,0.0,0.0,57303.24944954261,0.0,0.0,147347.0003038698,16286.375457138964,855301.6739072532,1.0
 ,56,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,8555.536111600763,5489.352922447413,158253.8453965023,0.0,912604.9233567958,0.0,0.0,0.0,0.0,36276.680210453895,0.0,183623.6805143237,16286.375457138965,876328.2431463419,1.0
 ,57,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,161320.02858565564,0.0,912604.9233567958,0.0,0.0,0.0,0.0,54574.52328527878,0.0,238198.2037996025,16286.375457138964,858030.4000715171,1.0
 ,58,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,164386.211774809,0.0,912604.9233567958,0.0,0.0,0.0,57303.24944954261,0.0,0.0,238198.2037996025,16286.375457138964,855301.6739072532,1.0
 ,59,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.18318915338,0.0,167452.39496396238,0.0,912604.9233567958,0.0,0.0,0.0,57303.24944954249,0.0,0.0,238198.2037996025,16286.375457138964,855301.6739072533,1.0
 ,60,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,19438.540174736972,16372.356985583623,170518.57815311573,0.0,912604.9233567958,0.0,0.0,0.0,0.0,0.0,0.0,238198.2037996025,16286.375457138964,912604.9233567958,1.0
 ,61,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,173584.76134226908,0.0,912604.9233567958,0.0,0.0,0.0,57303.24944954261,0.0,0.0,238198.2037996025,16286.375457138964,855301.6739072532,1.0
 ,62,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.183189153351,0.0,176650.94453142243,0.0,912604.9233567958,0.0,0.0,0.0,57303.24944954261,0.0,0.0,238198.2037996025,16286.375457138964,855301.6739072532,1.0
 ,63,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,179717.1277205758,0.0,912604.9233567958,0.0,0.0,0.0,0.0,54574.52328527878,0.0,292772.7270848813,16286.375457138964,858030.4000715171,1.0
 ,64,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,182783.31090972916,0.0,912604.9233567958,0.0,0.0,0.0,0.0,54574.52328527878,0.0,347347.25037016004,16286.375457138964,858030.4000715171,1.0
 ,65,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,185849.4940988825,0.0,909530.8857202255,0.0,0.0,0.0,0.0,51646.868393307086,0.0,398994.1187634671,16286.375457138964,857884.0173269185,1.0
 ,66,73445.51259992008,183221.72389281334,16286.375457138965,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711172,3066.183189153351,0.0,188915.67728803586,0.0,785800.8708482726,0.0,0.0,0.0,0.0,0.0,73158.74006208508,325835.378701382,16286.37545713897,858959.6109103578,1.0
 ,67,73445.51259992008,183221.72389281334,16286.375457138965,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711172,3066.183189153351,0.0,191981.8604771892,0.0,683781.246784597,0.0,0.0,0.0,0.0,0.0,180547.81802384785,145287.56067753417,16286.375457138953,864329.0648084449,1.0
 ,68,73445.51259992008,167319.4897177084,14872.84353046297,13220.192267985616,0.0,84418.2598789078,0.0,118982.74824370375,1652.6512624773409,0.0,193634.51173966654,0.0,641897.4839863273,0.0,0.0,0.0,0.0,0.0,145287.56067753417,0.0,14872.84353046297,787185.0446638615,1.0
