Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Arica - offshore,1,21671.335252653484,43884.45388662331,3900.840345477628,3900.840345477627,0.0,0.0,0.0,31206.722763821024,0.0,0.0,0.0,0.0,0.0,160737.64802738422,0.0,0.0,0.0,0.0,0.0,0.0,3900.840345477629,160737.64802738425,1.0
Profile: 2020ma,2,32728.797263678567,66275.81445894908,5891.183507462141,5891.183507462142,0.0,0.0,0.0,47129.46805969713,0.0,0.0,0.0,0.0,0.0,242751.5348545329,0.0,0.0,0.0,0.0,0.0,0.0,5891.183507462141,242751.5348545329,1.0
Location: Arica,3,37710.85936339767,76364.49021088029,6787.954685411582,6787.954685411581,0.0,0.0,0.0,54303.63748329266,0.0,0.0,0.0,0.0,0.0,279703.8008270308,0.0,0.0,0.0,0.0,0.0,0.0,6787.954685411582,279703.8008270308,1.0
Fuel: NH3,4,20031.163799557387,40563.1066941037,3605.6094839203292,3605.6094839203297,0.0,0.0,0.0,28844.875871362634,0.0,0.0,0.0,0.0,0.0,148572.3938490546,0.0,0.0,0.0,0.0,0.0,0.0,3605.6094839203297,148572.3938490546,1.0
Electrolyser: SOEC,5,16845.54964520132,34112.23803153267,3032.198936136238,3032.198936136238,0.0,0.0,0.0,24257.591489089904,0.0,0.0,0.0,0.0,0.0,124944.49456531102,0.0,0.0,0.0,0.0,0.0,0.0,3032.1989361362375,124944.49456531102,1.0
CO2 capture: None,6,32745.599411883508,66309.83880906411,5894.207894139032,5894.207894139032,0.0,0.0,0.0,47153.663153112255,0.0,0.0,0.0,0.0,0.0,242876.15743790325,0.0,0.0,0.0,0.0,0.0,0.0,5894.207894139032,242876.15743790322,1.0
CO2taxWTTup: 0,7,21838.600726046578,44223.166470244316,3930.948130688384,3930.948130688384,0.0,0.0,0.0,31447.585045507072,0.0,0.0,0.0,0.0,0.0,161978.26649763287,0.0,0.0,0.0,0.0,0.0,0.0,3930.9481306883854,161978.2664976329,1.0
CO2taxWTTop: 0,8,12277.57689956667,24862.0932216225,2209.963841922,2209.9638419220005,0.0,0.0,0.0,17679.710735376,0.0,0.0,0.0,0.0,0.0,91063.5552126422,0.0,0.0,0.0,0.0,0.0,0.0,2209.9638419220005,91063.5552126422,1.0
CO2WTTop_treshhold -1,9,8395.0819016716,17000.040850884987,1511.1147423008877,1511.1147423008879,0.0,0.0,0.0,12088.917938407101,0.0,0.0,0.0,0.0,0.0,62266.8471573171,0.0,0.0,0.0,0.0,0.0,0.0,1511.1147423008877,62266.8471573171,1.0
Renewable criterion: None,10,4701.757075451335,9521.058077788954,846.3162735812404,846.3162735812404,0.0,0.0,0.0,6770.530188649923,0.0,0.0,0.0,0.0,0.0,34873.22608843977,0.0,0.0,0.0,0.0,0.0,0.0,846.3162735812404,34873.22608843977,1.0
