Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Non-flex,1,61091.14773650443,123709.57416642146,10996.406592570796,10996.406592570796,0.0,46811.702864573876,0.0,87971.25274056637,0.0,0.0,0.0,0.0,551259.7897970811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10996.406592570795,551259.7897970811,1.0
Profile: 2020,2,66938.35629353774,135550.17149441392,12048.904132836793,12048.904132836793,0.0,51292.18489348622,0.0,96391.23306269434,0.0,0.0,0.0,0.0,604022.4416620061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12048.904132836793,604022.4416620061,1.0
Location: Bornholm,3,67865.45019008068,137427.53663491335,12215.781034214522,12215.781034214522,0.0,52002.57986265122,0.0,97726.24827371618,0.0,0.0,0.0,0.0,623167.2233282723,0.0,0.0,0.0,10779.091947442503,0.0,0.0,0.0,12215.781034214522,612388.1313808298,1.0
Fuel: NH3,4,67865.45019008068,137427.53663491335,12215.781034214522,12215.781034214522,0.0,52002.57986265122,0.0,97726.24827371618,0.0,0.0,0.0,0.0,765699.6648244933,0.0,0.0,0.0,153311.5334436635,0.0,0.0,0.0,12215.781034214522,612388.1313808298,1.0
Electrolyser: Mix,5,67865.45019008068,156567.64524825633,13917.12402206723,12215.781034214522,0.0,59245.19696194019,0.0,111336.99217653784,1701.3429878527077,0.0,1701.3429878527077,0.0,693700.6294671478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13917.12402206723,693700.6294671478,1.0
CO2 capture: None,6,67865.45019008068,174766.0647769202,15534.761313504017,12215.781034214522,0.0,66131.4789115866,0.0,124278.09050803214,3318.9802792894952,0.0,5020.323267142203,0.0,771012.5707414476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15534.761313504017,771012.5707414476,1.0
CO2taxWTTup: 0,7,67865.45019008068,137427.53663491335,12215.781034214522,12215.781034214522,0.0,52002.57986265122,0.0,97726.24827371618,0.0,0.0,5020.323267142203,0.0,843011.6060987932,0.0,0.0,0.0,230623.47471796337,0.0,0.0,0.0,12215.781034214522,612388.1313808298,1.0
CO2taxWTTop: 0,8,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,9157.705351459546,0.0,850431.3540172983,0.0,0.0,0.0,0.0,38385.52715040865,0.0,38385.52715040865,16353.163118531866,812045.8268668896,1.0
CO2WTTop_treshhold -1,9,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,13295.08743577689,0.0,853912.223411165,0.0,0.0,0.0,43785.67290179571,0.0,0.0,38385.52715040865,16353.163118531866,810126.5505093692,1.0
Renewable criterion: None,10,67865.45019008068,137427.53663491335,12215.781034214522,12215.781034214522,0.0,52002.57986265122,0.0,97726.24827371618,0.0,0.0,13295.08743577689,0.0,862980.8042004489,0.0,0.0,0.0,0.0,238659.6883996372,0.0,277045.21555004583,12215.781034214522,624321.1158008117,1.0
Renewable application: 0,11,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,17432.469520094233,0.0,870217.3484666451,0.0,0.0,0.0,0.0,57229.331387881786,0.0,334274.5469379276,16353.163118531866,812988.0170787632,1.0
 ,12,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,21569.851604411575,0.0,870217.3484666451,0.0,0.0,0.0,0.0,57229.331387881786,0.0,391503.8783258094,16353.163118531866,812988.0170787632,1.0
 ,13,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,25707.23368872892,0.0,870217.3484666451,0.0,0.0,0.0,60090.79795727588,0.0,0.0,391503.8783258094,16353.163118531866,810126.5505093692,1.0
 ,14,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,29844.615773046266,0.0,870217.3484666451,0.0,0.0,0.0,0.0,57229.331387881786,0.0,448733.20971369115,16353.163118531866,812988.0170787632,1.0
 ,15,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,33981.99785736361,0.0,870217.3484666451,0.0,0.0,0.0,60090.79795727588,0.0,0.0,448733.20971369115,16353.163118531866,810126.5505093692,1.0
 ,16,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,38119.379941680956,0.0,870217.3484666451,0.0,0.0,0.0,0.0,57229.331387881786,0.0,505962.5411015729,16353.163118531866,812988.0170787632,1.0
 ,17,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,42256.7620259983,0.0,870217.3484666451,0.0,0.0,0.0,60090.79795727588,0.0,0.0,505962.5411015729,16353.163118531866,810126.5505093692,1.0
 ,18,67865.45019008068,137427.53663491335,12215.781034214522,12215.781034214522,0.0,52002.57986265122,0.0,97726.24827371618,0.0,0.0,42256.7620259983,0.0,870217.3484666451,0.0,0.0,0.0,0.0,245551.63531982407,0.0,751514.176421397,12215.781034214522,624665.713146821,1.0
 ,19,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,46394.14411031565,0.0,870217.3484666451,0.0,0.0,0.0,0.0,57229.331387881786,0.0,808743.5078092788,16353.163118531866,812988.0170787632,1.0
 ,20,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,50531.52619463299,0.0,868934.9229004838,0.0,0.0,0.0,0.0,56007.97370582342,0.0,864751.4815151022,16353.163118531866,812926.9491946604,1.0
 ,21,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,54668.90827895034,0.0,834309.4326141268,0.0,0.0,0.0,0.0,23031.316290245322,0.0,887782.7978053475,16353.163118531866,811278.1163238814,1.0
 ,22,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,58806.29036326768,0.0,732356.6001042977,0.0,0.0,0.0,0.0,0.0,81863.10568954895,805919.6921157986,16353.163118531866,814219.7057938466,1.0
 ,23,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,62943.67244758503,0.0,619777.9557605601,0.0,0.0,0.0,575275.1127611995,0.0,805919.6921157986,0.0,16353.163118531866,850422.5351151591,1.0
 ,24,67865.45019008068,169030.5439302086,15024.937238240766,12215.781034214522,0.0,63961.15782319094,0.0,120199.49790592612,2809.1562040262434,0.0,65752.82865161127,0.0,746646.4849843816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15024.937238240766,746646.4849843816,1.0
 ,25,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,69890.21073592862,0.0,845484.8554049616,0.0,0.0,0.0,35358.30489559239,0.0,0.0,0.0,16353.163118531866,810126.5505093692,1.0
 ,26,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,74027.59282024596,0.0,845484.8554049616,0.0,0.0,0.0,0.0,33674.57609104049,0.0,33674.57609104049,16353.163118531866,811810.2793139212,1.0
 ,27,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,78164.9749045633,0.0,844843.6426218809,0.0,0.0,0.0,34717.09211251163,0.0,0.0,33674.57609104049,16353.163118531866,810126.5505093692,1.0
 ,28,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,82302.35698888065,0.0,855103.0471511718,0.0,0.0,0.0,44976.4966418026,0.0,0.0,33674.57609104049,16353.163118531866,810126.5505093692,1.0
 ,29,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,86439.739073198,0.0,837881.9038341477,0.0,0.0,0.0,0.0,26433.669833122374,0.0,60108.24592416287,16353.163118531866,811448.2340010253,1.0
 ,30,67865.45019008068,183541.84291455784,16314.830481294031,12215.781034214522,0.0,69452.23335886869,0.0,130518.64385035225,4099.049447079509,0.0,90538.7885202775,0.0,808294.5139862817,0.0,0.0,0.0,0.0,0.0,0.0,60108.24592416287,16314.830481294031,808294.5139862816,1.0
 ,31,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,94676.17060459485,0.0,828538.5175664006,0.0,0.0,0.0,18411.967057031346,0.0,0.0,60108.24592416287,16353.163118531866,810126.5505093692,1.0
 ,32,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,98813.5526889122,0.0,844019.2261864914,0.0,0.0,0.0,0.0,32278.738740116503,0.0,92386.98466427937,16353.163118531866,811740.487446375,1.0
 ,33,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,102950.93477322954,0.0,844385.6334911089,0.0,0.0,0.0,34259.08298173966,0.0,0.0,92386.98466427937,16353.163118531866,810126.5505093692,1.0
 ,34,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,107088.31685754689,0.0,844843.6426218809,0.0,0.0,0.0,34717.09211251163,0.0,0.0,92386.98466427937,16353.163118531866,810126.5505093692,1.0
 ,35,67865.45019008068,183973.0850834835,16353.163118531866,12215.781034214522,0.0,69615.41539559014,0.0,130825.30494825492,4137.3820843173435,0.0,111225.69894186423,0.0,816813.4838186395,0.0,0.0,0.0,6686.933309270302,0.0,0.0,92386.98466427937,16353.163118531866,810126.5505093692,1.0
