Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Renewable application: 0,11,61442.22288073098,132715.18145635666,11796.905018342813,11059.600118531576,0.0,50219.42466308535,0.0,94375.24014674251,737.3048998112354,0.0,6106.267145087588,0.0,461618.52466516086,0.0,0.0,610974.5751428611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482927.25626502506,0.0,0.0,0.0,11796.905018342813,589665.8435429969,1.0
 ,12,61442.22288073098,132715.18145635666,11796.905018342813,11059.600118531576,0.0,50219.42466308535,0.0,94375.24014674251,737.3048998112372,0.0,6843.572044898825,0.0,485983.55378443474,0.0,0.0,585493.0301362275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481810.7403776653,0.0,0.0,0.0,11796.905018342813,589665.8435429969,1.0
 ,13,61442.22288073098,132715.18145635666,11796.905018342813,11059.600118531576,0.0,50219.42466308535,0.0,94375.24014674251,737.3048998112372,0.0,7580.876944710062,0.0,484008.010882872,0.0,0.0,542253.7813246432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436595.94866451813,0.0,0.0,0.0,11796.905018342813,589665.8435429969,1.0
 ,14,61442.22288073098,132715.18145635666,11796.905018342813,11059.600118531576,0.0,50219.42466308535,0.0,94375.24014674251,737.3048998112372,0.0,8318.1818445213,0.0,475447.32497610006,0.0,0.0,493292.97962133045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379074.4610544335,0.0,0.0,0.0,11796.905018342813,589665.8435429969,1.0
 ,15,61442.22288073098,132715.18145635666,11796.905018342813,11059.600118531576,0.0,50219.42466308535,0.0,94375.24014674251,737.3048998112372,0.0,9055.486744332537,0.0,464911.09616776544,0.0,0.0,415919.53320680413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291164.78583157266,0.0,0.0,0.0,11796.905018342813,589665.8435429969,1.0
 ,16,61442.22288073098,132715.18145635666,11796.905018342813,11059.600118531576,0.0,50219.42466308535,0.0,94375.24014674251,737.3048998112372,0.0,9792.791644143776,0.0,439229.03844744986,0.0,0.0,313434.9607388272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128727.621169894,32638.604260367727,0.0,32638.604260367727,11796.905018342813,591297.7737560153,1.0
 ,17,61442.22288073098,132715.18145635666,11796.905018342813,11059.600118531576,0.0,50219.42466308535,0.0,94375.24014674251,737.3048998112372,0.0,10530.096543955013,0.0,365475.43678910745,0.0,0.0,250526.68379847708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25082.168613892834,0.0,57720.77287426056,11796.905018342813,590919.9519736916,1.0
 ,18,54759.37705361493,110887.73853357024,9856.687869650688,9856.687869650688,0.0,41959.920261102976,0.0,78853.5029572055,0.0,0.0,10530.096543955013,0.0,189652.1185500233,0.0,0.0,249637.8085237893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57720.77287426056,0.0,9856.687869650688,497010.69994807325,1.0
 ,19,32385.81360496901,65581.27255006225,5829.446448894422,5829.446448894422,0.0,24815.953532943553,0.0,46635.57159115538,0.0,0.0,10530.096543955013,0.0,1317.0286010418286,0.0,0.0,290918.3845767463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5829.446448894421,292235.41317778814,1.0
 ,20,61442.22288073098,84722.61317168355,7530.898948594094,11059.600118531576,0.0,32059.036824165054,0.0,60247.19158875275,0.0,3528.7011699374825,7001.39537401753,0.0,0.0,0.0,0.0,389097.06130047893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7530.898948594095,389097.06130047893,1.0
 ,21,53216.159217469096,107762.72241537491,9578.908659144437,9578.908659144437,0.0,40777.41416197787,0.0,76631.2692731555,0.0,0.0,7001.39537401753,0.0,0.0,0.0,0.0,480199.33870878344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9578.908659144436,480199.3387087833,1.0
 ,22,60070.49763419737,121642.75770924968,10812.689574155527,10812.689574155527,0.0,46029.61951718008,0.0,86501.51659324422,0.0,0.0,7001.39537401753,0.0,0.0,0.0,0.0,542049.8898082821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10812.689574155529,542049.8898082821,1.0
 ,23,61442.22288073098,132346.1515791686,11764.102362592765,11059.600118531576,0.0,50079.783757557394,0.0,94112.81890074212,704.5022440611883,0.0,7705.897618078714,0.0,0.0,0.0,0.0,588098.102116403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11764.102362592768,588098.102116403,1.0
 ,24,61442.22288073098,132715.18145635666,11796.905018342813,11059.600118531576,0.0,50219.42466308535,0.0,94375.24014674251,737.3048998112372,0.0,8443.202517889951,0.0,0.0,0.0,0.0,593087.1718281746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3258.407890645487,0.0,3258.407890645487,11796.905018342813,589828.7639375292,1.0
 ,25,61442.22288073098,132290.89270590237,11759.190462746878,11059.600118531576,0.0,50058.873799913454,0.0,94073.52370197502,699.5903442153018,0.0,9142.792862105252,0.0,0.0,0.0,0.0,584767.8595769678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3258.407890645487,0.0,11759.190462746881,588026.2674676133,1.0
 ,26,61442.22288073098,129158.46301283925,11480.752267807933,11059.600118531576,0.0,48873.562404058364,0.0,91846.01814246346,421.1521492763565,0.0,9563.945011381607,0.0,0.0,0.0,0.0,574555.9156175897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11480.752267807937,574555.9156175897,1.0
 ,27,61442.22288073098,130318.32510607627,11583.851120540114,11059.600118531576,0.0,49312.45422013926,0.0,92670.80896432091,524.2510020085375,0.0,10088.196013390145,0.0,0.0,0.0,0.0,579483.3319735753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11583.851120540117,579483.3319735754,1.0
