Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_tank,H2_from_tank,H2_stored_tank,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Renewable application: 0,11,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,22925.85905483666,0.0,744728.9918028272,0.0,0.0,0.0,86849.85130677884,0.0,0.0,66587.68172280585,15949.110959277592,657879.1404960484,1.0
 ,12,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,25993.171177133354,0.0,744728.9918028272,0.0,0.0,0.0,0.0,82714.14410169414,0.0,149301.8258245,15949.110959277592,662014.8477011331,1.0
 ,13,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,29060.48329943005,0.0,744728.9918028272,0.0,0.0,0.0,86849.85130677884,0.0,0.0,149301.8258245,15949.110959277592,657879.1404960484,1.0
 ,14,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,32127.795421726743,0.0,744728.9918028272,0.0,0.0,0.0,86849.85130677884,0.0,0.0,149301.8258245,15949.110959277592,657879.1404960484,1.0
 ,15,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,35195.10754402344,0.0,744728.9918028272,0.0,0.0,0.0,0.0,82714.14410169414,0.0,232015.96992619414,15949.110959277592,662014.8477011331,1.0
 ,16,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,38262.41966632014,0.0,744728.9918028272,0.0,0.0,0.0,86849.85130677884,0.0,0.0,232015.96992619414,15949.110959277592,657879.1404960484,1.0
 ,17,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,41329.73178861683,0.0,744728.9918028272,0.0,0.0,0.0,86849.85130677884,0.0,0.0,232015.96992619414,15949.110959277592,657879.1404960484,1.0
 ,18,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,44397.043910913526,0.0,744728.9918028272,0.0,0.0,0.0,0.0,82714.14410169414,0.0,314730.1140278883,15949.110959277592,662014.8477011331,1.0
 ,19,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,47464.35603321022,0.0,744728.9918028272,0.0,0.0,0.0,86849.85130677884,0.0,0.0,314730.1140278883,15949.110959277592,657879.1404960484,1.0
 ,20,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,50531.668155506915,0.0,743631.4964464863,0.0,0.0,0.0,85752.35595043795,0.0,0.0,314730.1140278883,15949.110959277592,657879.1404960484,1.0
 ,21,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,53598.98027780361,0.0,713999.1218252791,0.0,0.0,0.0,0.0,53447.601265934005,0.0,368177.7152938223,15949.110959277592,660551.5205593451,1.0
 ,22,71565.54909433832,170973.75776237404,15197.667356655471,12881.798836980897,0.0,0.0,0.0,121581.33885324377,2315.8685196745737,0.0,55914.84879747818,0.0,626748.2409961688,0.0,0.0,0.0,0.0,0.0,0.0,368177.7152938223,15197.66735665547,626748.2409961688,1.0
 ,23,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,58982.16091977488,0.0,530403.8272145189,0.0,0.0,0.0,222293.5162476017,0.0,368177.7152938223,0.0,15949.110959277592,676288.0262607395,1.0
 ,24,71565.54909433832,174294.66311761015,15492.85894378757,12881.798836980897,0.0,0.0,0.0,123942.87155030057,2611.060106806645,0.0,61593.22102658152,0.0,638977.4749668258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15492.85894378757,638977.4749668258,1.0
 ,25,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,64660.53314887822,0.0,723563.0099305364,0.0,0.0,0.0,65683.869434488,0.0,0.0,0.0,15949.110959277592,657879.1404960484,1.0
 ,26,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966597,0.0,67727.84527117488,0.0,723563.0099305364,0.0,0.0,0.0,0.0,62556.06612808387,0.0,62556.06612808387,15949.110959277592,661006.9438024525,1.0
 ,27,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,70795.15739347157,0.0,723014.2622523659,0.0,0.0,0.0,0.0,62033.44929173099,0.0,124589.51541981485,15949.110959277592,660980.8129606349,1.0
 ,28,71565.54909433832,144920.2369160351,12881.798836980897,12881.798836980897,0.0,0.0,0.0,103054.39069584718,0.0,0.0,70795.15739347157,0.0,731794.225103094,0.0,0.0,0.0,200988.07462356833,0.0,0.0,124589.51541981485,12881.798836980897,530806.1504795257,1.0
 ,29,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,19975.109214266646,16907.79709196995,73862.46951576826,0.0,717056.4303179432,0.0,0.0,0.0,0.0,0.0,0.0,124589.51541981485,15949.110959277592,717056.4303179432,1.0
 ,30,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,76929.78163806495,0.0,691735.6445966471,0.0,0.0,0.0,33856.504100598744,0.0,0.0,124589.51541981485,15949.110959277592,657879.1404960484,1.0
 ,31,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,79997.09376036163,0.0,709060.3927217445,0.0,0.0,0.0,51181.25222569611,0.0,0.0,124589.51541981485,15949.110959277592,657879.1404960484,1.0
 ,32,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,83064.40588265832,0.0,722308.7295232895,0.0,0.0,0.0,64429.589027241105,0.0,0.0,124589.51541981485,15949.110959277592,657879.1404960484,1.0
 ,33,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,86131.71800495501,0.0,722622.2996251013,0.0,0.0,0.0,64743.15912905289,0.0,0.0,124589.51541981485,15949.110959277592,657879.1404960484,1.0
 ,34,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,89199.0301272517,0.0,723014.2622523659,0.0,0.0,0.0,65135.12175631756,0.0,0.0,124589.51541981485,15949.110959277592,657879.1404960484,1.0
 ,35,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,92266.34224954838,0.0,699026.1494637696,0.0,0.0,0.0,41147.00896772125,0.0,0.0,124589.51541981485,15949.110959277592,657879.1404960484,1.0
 ,36,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,95333.65437184507,0.0,708668.4300944799,0.0,0.0,0.0,50789.289598431555,0.0,0.0,124589.51541981485,15949.110959277592,657879.1404960484,1.0
 ,37,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,98400.96649414176,0.0,708982.0001962916,0.0,0.0,0.0,51102.85970024322,0.0,0.0,124589.51541981485,15949.110959277592,657879.1404960484,1.0
