Subsets,Subsets_2,Type of units,Parameters-->,Used (1 or 0),Unit tag,Yearly demand (kg fuel),Produced from,El balance,Heat balance,Process heat balance,H2 balance,CSP balance,Max Capacity,Fuel production rate (kg output/kg input),Heat generated (kWh/output),Process heat generated (kWh/output),Load min (% of max capacity),Ramp up (% of capacity /h),Ramp down (% of capacity /h),Electrical consumption (kWh/output),Investment (EUR/Capacity installed),Fixed cost (EUR/Capacity installed/y),Variable cost (EUR/Output),Fuel selling price (EUR/output),Fuel buying price (EUR/output),CO2e infrastructure (kg CO2e/Capacity/y),CO2e process (kg CO2e/output),Land use (m2/Capacity),Annuity factor
0,0,0,Year-->,All,All,All,All,All,All,All,All,All,All,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench,2030 bench
0,0,0,0,Used (1 or 0)All,Unit tagAll,Yearly demand (kg fuel)All,Produced fromAll,El balanceAll,Heat balanceAll,Process heat balanceAll,H2 balanceAll,CSP balanceAll,Max CapacityAll,Fuel production rate (kg output/kg input)2030 bench,Heat generated (kWh/output)2030 bench,Process heat generated (kWh/output)2030 bench,Load min (% of max capacity)2030 bench,Ramp up (% of capacity /h)2030 bench,Ramp down (% of capacity /h)2030 bench,Electrical consumption (kWh/output)2030 bench,Investment (EUR/Capacity installed)2030 bench,Fixed cost (EUR/Capacity installed/y)2030 bench,Variable cost (EUR/Output)2030 bench,Fuel selling price (EUR/output)2030 bench,Fuel buying price (EUR/output)2030 bench,CO2e infrastructure (kg CO2e/Capacity/y)2030 bench,CO2e process (kg CO2e/output)2030 bench,Land use (m2/Capacity)2030 bench,Annuity factor2030 bench
0,0,0,Line/Column index,1,2,3,4,5,6,7,8,9,10,15,25,35,45,55,65,75,85,95,105,115,125,135,145,155,165
Product/Reactant13,Min_demand_MainFuel,MeOH plant - Biogas,4,1,MeOH biogas H2,2.9280000000000004e7,Reactant2,0,1,0,0,0,20000,26.350782437758895,0.0,0.0,0.2,1.0,1.0,0,15110.907103825137,655.7377049180328,0,0,0,0,0,0,0.08849557522123894
Product,NoSubset,Biogas w H2,5,1,Biogas w H2,36800000,Product/Reactant13,0,0,0,0,0,40000,1.256830601092896,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0.357,0,0,0,0
Reactant11,NoSubset,Waste water plant,17,1,H2O wwtp,0,-,0,0,0,0,0,400000,0,0,0,0.0,1.0,1.0,0.0025,107.55232,3.2265696,0,0,6.500000000000001e-5,0,0,0,0.11682954493601999
Product/Reactant3,PWL,Electrolysers AEC,19,1,H2_from_AEC,0,Reactant11,0,1,0,1,0,20000,0.08888888888888889,5.675999999999999,5.675999999999999,0.0,1.0,1.0,49.8,39840,3984,0,0,0,115.4145399442897,0,22.409999999999997,0.08849557522123894
Reactant2,NoSubset,H2 pipeline to MeOH plant,24,1,H2_pipeline_to_MeOHCCU_plant,0,-,0,0,0,-1,0,20000,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0
Heat_in,Heat_buy,Heat from district heating,27,1,Heat_import,0,-,0,1,0,0,0,2000000,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0
Heat_out,Heat_sell,Heat sent to district heating,28,1,Heat_export,0,-,0,-1,0,0,0,2000000,0,1,0,0.0,1.0,1.0,0,0,0,0,0.02,0,0,0,0,0
NoSubset,Process_heat_sell,Heat sent to other process,29,1,Heat_export_process,0,-,0,0,-1,0,0,2000000,0,0,1,0.0,1.0,1.0,0,0,0,0,0.0335,0,0,0,0,0
