Informations,Time,CO2 DAC,MeOH,H2O sea,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Ceduna,1,20994.25010040016,15324.270146277488,47268.95893817351,4201.685238948757,2913.359343398762,0.0,10420.503699468693,0.0,33613.481911590054,1288.3258955499946,0.0,1288.3258955499946,0.0,283266.6804905187,15874.351709505434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80179.58126692835,0.0,0.0,0.0,4201.685238948757,218961.45093309577,1.0
Profile: 2020ma,2,20994.250100400157,15324.270146277486,47268.95893817351,4201.685238948757,2913.3593433987617,0.0,10420.50369946869,0.0,33613.481911590054,1288.325895549995,0.0,2576.6517910999896,0.0,286194.50147750083,17616.222710589227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80808.8316714231,0.0,80808.8316714231,4201.685238948757,223001.8925166669,1.0
Location: Ceduna,3,20994.25010040016,15324.270146277488,47268.95893817351,4201.685238948757,2913.359343398762,0.0,10420.503699468693,0.0,33613.481911590054,1288.3258955499946,0.0,3864.977686649984,0.0,286194.50147750083,30339.449402827417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97572.49994723249,0.0,0.0,80808.8316714231,4201.685238948757,218961.45093309577,1.0
Fuel: MeOH,4,20994.250100400157,15324.270146277486,47268.95893817351,4201.685238948757,2913.3593433987617,0.0,10420.50369946869,0.0,33613.481911590054,1288.325895549995,0.0,5153.303582199978,0.0,285096.56860738253,51919.155762402006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118054.27343668876,0.0,0.0,80808.8316714231,4201.685238948757,218961.45093309577,1.0
Electrolyser: SOEC,5,20994.25010040016,15324.270146277488,47268.95893817351,4201.685238948757,2913.359343398762,0.0,10420.503699468693,0.0,33613.481911590054,1288.3258955499946,0.0,6441.629477749973,0.0,282900.70286714594,85211.38323348909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149150.63516753924,0.0,0.0,80808.8316714231,4201.685238948757,218961.45093309577,1.0
CO2 capture: DAC,6,20994.25010040016,15324.270146277488,47268.95893817351,4201.685238948757,2913.359343398762,0.0,10420.503699468693,0.0,33613.481911590054,1288.3258955499946,0.0,7729.955373299968,0.0,276679.08326980897,133036.5857811093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190754.2181178225,0.0,0.0,80808.8316714231,4201.685238948757,218961.45093309577,1.0
CO2taxWTTup: 0,7,20994.250100400157,15324.270146277486,47268.95893817351,4201.685238948757,2913.3593433987617,0.0,10420.50369946869,0.0,33613.481911590054,1288.325895549995,0.0,9018.281268849963,0.0,263869.8664517622,168756.74190982842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213665.1574284949,0.0,0.0,80808.8316714231,4201.685238948757,218961.45093309577,1.0
CO2taxWTTop: 0,8,20994.25010040016,15324.270146277488,47268.95893817351,4201.685238948757,2913.359343398762,0.0,10420.503699468693,0.0,33613.481911590054,1288.3258955499946,0.0,10306.607164399958,0.0,240081.32093253263,184244.73055138573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205364.60055082256,0.0,0.0,80808.8316714231,4201.685238948757,218961.45093309577,1.0
CO2WTTop_treshhold -1,9,20994.25010040016,15324.270146277488,47268.95893817351,4201.685238948757,2913.359343398762,0.0,10420.503699468693,0.0,33613.481911590054,30129.982210647693,28841.656315097698,11594.933059949954,0.0,194334.11801093724,180152.48492426655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122299.04291992018,0.0,203107.87459134328,4201.685238948757,252187.5600152836,1.0
Renewable criterion: None,10,20994.25010040016,15324.270146277488,47268.95893817351,4201.685238948757,2913.359343398762,0.0,10420.503699468693,0.0,33613.481911590054,1288.3258955499946,0.0,12883.258955499947,0.0,97716.02544052777,159133.76911501834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36084.13678328604,0.0,239192.01137462934,4201.685238948757,220765.65777226008,1.0
