Informations,Time,CO2 DAC,MeOH,H2O sea,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Morocco,1,20697.55149967129,15107.701824577582,37244.90105513802,3310.657871567824,2872.1866586649394,0.0,10273.237240712757,0.0,26485.26297254259,438.47121290288356,0.0,438.47121290288356,0.0,0.0,179094.92838060827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310.657871567824,179094.9283806083,1.0
Profile: 2020ma,2,20697.55149967129,15107.701824577582,37850.76028459195,3364.512025297062,2872.1866586649394,0.0,10273.237240712757,0.0,26916.096202376495,492.3253666321218,0.0,930.7965795350088,0.0,0.0,181476.14027601565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3364.512025297062,181476.14027601568,1.0
Location: Morocco,3,20697.55149967129,15107.701824577582,37691.42417203046,3350.3488152915966,2872.1866586649394,0.0,10273.237240712757,0.0,26802.790522332773,478.16215662665684,0.0,1408.9587361616657,0.0,0.0,180849.90066761462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3350.348815291597,180849.90066761465,1.0
Fuel: MeOH,4,20697.55149967129,15107.701824577582,37306.74040541631,3316.1547027036722,2872.1866586649394,0.0,10273.237240712757,0.0,26529.237621629378,443.96804403873233,0.0,1852.926780200398,0.0,0.0,179337.97592255898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3316.1547027036713,179337.97592255898,1.0
Electrolyser: SOEC,5,20697.55149967129,15107.701824577582,36579.88845939271,3251.5456408349073,2872.1866586649394,0.0,10273.237240712757,0.0,26012.36512667926,379.35898216996765,0.0,2232.285762370366,0.0,0.0,176481.22568103604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3251.545640834907,176481.22568103607,1.0
CO2 capture: DAC,6,20697.55149967129,15107.701824577582,36451.946946868506,3240.173061943867,2872.1866586649394,0.0,10273.237240712757,0.0,25921.384495550938,367.986403278927,0.0,2600.2721656492927,0.0,0.0,175978.37644357598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3240.1730619438663,175978.37644357598,1.0
CO2taxWTTup: 0,7,20697.55149967129,15107.701824577582,37373.19347402824,3322.0616421358436,2872.1866586649394,0.0,10273.237240712757,0.0,26576.49313708675,449.8749834709039,0.0,3050.1471491201964,0.0,0.0,179599.1567873082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3322.0616421358445,179599.15678730822,1.0
CO2taxWTTop: 0,8,20697.55149967129,15107.701824577582,37874.29244594122,3366.6037729725526,2872.1866586649394,0.0,10273.237240712757,0.0,26932.83018378042,494.41711430761325,0.0,3544.5642634278097,0.0,0.0,181568.62886050093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3366.6037729725526,181568.62886050093,1.0
CO2WTTop_treshhold -1,9,20697.55149967129,15107.701824577582,38378.504924892535,3411.4226599904478,2872.1866586649394,0.0,10273.237240712757,0.0,27291.381279923582,539.2360013255079,0.0,4083.8002647533176,0.0,45898.35607787009,182959.86165643125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45307.879766597616,0.0,0.0,0.0,3411.4226599904478,183550.33796770373,1.0
Renewable criterion: None,10,20697.55149967129,15107.701824577582,38378.504924892535,3411.4226599904478,2872.1866586649394,0.0,10273.237240712757,0.0,27291.381279923582,539.2360013255079,0.0,4623.036266078825,0.0,126653.48257336793,183711.91007558923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126815.05468125343,0.0,0.0,0.0,3411.4226599904478,183550.33796770373,1.0
Renewable application: 0,11,20697.55149967129,15107.701824577582,38378.504924892535,3411.4226599904478,2872.1866586649394,0.0,10273.237240712757,0.0,27291.381279923582,539.2360013255079,0.0,5162.2722674043325,0.0,151767.67740842892,183711.91007558923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151929.2495163144,0.0,0.0,0.0,3411.4226599904478,183550.33796770373,1.0
 ,12,20697.55149967129,15107.701824577582,38378.504924892535,3411.4226599904478,2872.1866586649394,0.0,10273.237240712757,0.0,27291.381279923582,539.2360013255079,0.0,5701.50826872984,0.0,159778.23955409494,181088.10533972274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157316.00692611394,0.0,0.0,0.0,3411.4226599904478,183550.33796770373,1.0
 ,13,20697.55149967129,15107.701824577582,38378.504924892535,3411.4226599904478,2872.1866586649394,0.0,10273.237240712757,0.0,27291.381279923582,539.2360013255079,0.0,6240.744270055347,0.0,159128.73451525715,170345.94560255462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145924.34215010804,0.0,0.0,0.0,3411.4226599904478,183550.33796770373,1.0
 ,14,20697.55149967129,15107.701824577582,38378.504924892535,3411.4226599904478,2872.1866586649394,0.0,10273.237240712757,0.0,27291.381279923582,539.2360013255056,0.0,6779.980271380853,0.0,156314.21268029342,155419.22192631598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128183.09663890567,0.0,0.0,0.0,3411.4226599904478,183550.33796770373,1.0
 ,15,20697.55149967129,15107.701824577582,38378.504924892535,3411.4226599904478,2872.1866586649394,0.0,10273.237240712757,0.0,27291.381279923582,539.2360013255084,0.0,7319.216272706361,0.0,152850.1858064919,134808.08271158295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104107.93055037112,0.0,0.0,0.0,3411.4226599904478,183550.33796770373,1.0
 ,16,20697.55149967129,15107.701824577582,38378.504924892535,3411.4226599904478,2872.1866586649394,0.0,10273.237240712757,0.0,27291.381279923582,30616.819362191298,30077.58336086579,7858.45227403187,0.0,144406.62030160072,109647.5202774511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40219.880240127815,0.0,40219.880240127815,3411.4226599904478,213834.26033892395,1.0
 ,17,20697.55149967129,15107.701824577582,38378.504924892535,3411.4226599904478,2872.1866586649394,0.0,10273.237240712757,0.0,27291.381279923582,539.2360013255079,0.0,8397.688275357377,0.0,120158.4321849901,91910.76344706325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27160.816823190115,0.0,67380.69706331793,3411.4226599904478,184908.37880886323,1.0
 ,18,20697.55149967129,15107.701824577582,32312.09990998057,2872.18665866494,2872.1866586649394,0.0,10273.237240712757,0.0,22977.49326931952,0.0,0.0,8397.688275357377,0.0,62352.48372842729,91661.53138643378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5993.155284720111,61387.54177859782,2872.1866586649403,160007.1703995812,1.0
 ,19,17005.234506228597,12412.579931553719,26547.818294672878,2359.806070637589,2359.806070637589,0.0,8440.55435345653,0.0,18878.448565100713,0.0,0.0,8397.688275357377,0.0,433.00335922518957,103236.20707674747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28997.321779609436,32390.219998988385,2359.806070637588,132666.5322155821,1.0
 ,20,20697.55149967129,15107.701824577582,32312.099909980567,2872.1866586649394,2872.1866586649394,0.0,10273.237240712757,0.0,22977.493269319515,0.0,0.0,8397.688275357377,0.0,0.0,128936.80363630617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32390.219998988385,0.0,2872.186658664939,161327.02363529455,1.0
 ,21,19590.034869469506,14299.295525160222,30583.094041454846,2718.49724812932,2718.49724812932,0.0,9723.52095710895,0.0,21747.97798503456,0.0,0.0,8397.688275357377,0.0,0.0,151161.6357853895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2718.4972481293203,151161.63578538952,1.0
