Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Esbjerg - byproduct sale,1,3650.8983571766466,4588.560776779392,2442.268457349886,217.0905295422121,138.5499032448143,0.0,0.0,0.0,1736.7242363376968,78.54062629739781,0.0,78.54062629739781,0.0,0.0,0.0,0.0,0.0,9555.390752505009,0.0,97.14601641851914,0.0,0.0,0.0,217.0905295422121,9458.244736086492,1.0
Profile: 2020ma,2,3650.8983571766466,4588.560776779392,2442.268457349886,217.0905295422121,138.5499032448143,0.0,0.0,0.0,1736.7242363376968,78.54062629739781,0.0,157.08125259479561,0.0,0.0,0.0,0.0,0.0,9555.390752505009,0.0,0.0,92.52001563668489,0.0,92.52001563668489,217.0905295422121,9462.870736868324,1.0
Location: Esbjerg,3,3650.8983571766466,4588.560776779392,2442.268457349886,217.0905295422121,138.5499032448143,0.0,0.0,0.0,1736.7242363376968,78.54062629739781,0.0,235.62187889219342,0.0,0.0,0.0,0.0,0.0,9555.390752505009,0.0,97.14601641851914,0.0,0.0,92.52001563668489,217.0905295422121,9458.244736086492,1.0
Fuel: MeOH,4,3650.8983571766466,4588.560776779392,2442.268457349886,217.0905295422121,138.5499032448143,0.0,0.0,0.0,1736.7242363376968,78.54062629739781,0.0,314.16250518959123,0.0,0.0,0.0,0.0,0.0,9555.390752505009,0.0,97.14601641851732,0.0,0.0,92.52001563668489,217.0905295422121,9458.244736086492,1.0
Electrolyser: SOEC,5,3650.8983571766466,4588.560776779392,2442.268457349886,217.0905295422121,138.5499032448143,0.0,0.0,0.0,1736.7242363376968,78.54062629739781,0.0,392.70313148698904,0.0,0.0,0.0,0.0,0.0,9555.390752505009,0.0,185.0400312733691,0.0,92.52001563668489,0.0,217.0905295422121,9462.870736868324,1.0
CO2 capture: None,6,3650.8983571766466,4588.560776779392,2442.268457349886,217.0905295422121,138.5499032448143,0.0,0.0,0.0,1736.7242363376968,78.54062629739781,0.0,471.24375778438684,0.0,0.0,0.0,0.0,0.0,9555.390752505009,0.0,97.14601641851732,0.0,0.0,0.0,217.0905295422121,9458.244736086492,1.0
CO2taxWTTup: 0,7,2986.0633455087836,3752.9757894372688,2442.268457349886,217.0905295422121,113.31972219655825,0.0,0.0,0.0,1736.7242363376968,181.88745227454538,78.11664488305172,575.0145651758804,0.0,0.0,0.0,0.0,0.0,9555.390752505009,0.0,0.0,0.0,0.0,0.0,217.0905295422121,9555.390752505009,1.0
CO2taxWTTop: 0,8,927.6286302199014,1165.8720489102584,2442.268457349886,217.0905295422121,35.203077267666714,0.0,0.0,0.0,1736.7242363376968,181.88745227454538,0.0,756.9020174504258,0.0,0.0,0.0,0.0,0.0,9555.390752505009,0.0,0.0,0.0,0.0,0.0,217.0905295422121,9555.390752505009,1.0
CO2WTTop_treshhold -1,9,3650.8983571766466,4588.560776779392,2442.268457349886,217.0905295422121,138.5499032448143,0.0,0.0,0.0,1736.7242363376968,78.54062629739781,0.0,835.4426437478236,0.0,265.050894988526,0.0,0.0,0.0,9555.390752505009,0.0,362.19691140704333,0.0,0.0,0.0,217.0905295422121,9458.244736086492,1.0
Renewable criterion: None,10,3650.8983571766466,4588.560776779392,2442.268457349886,217.0905295422121,138.5499032448143,0.0,0.0,0.0,1736.7242363376968,78.54062629739781,0.0,913.9832700452214,0.0,1295.8043754994605,0.0,0.0,0.0,9555.390752505009,0.0,1392.9503919179797,0.0,0.0,0.0,217.0905295422121,9458.244736086492,1.0
