Informations,Time,Biomass bamboo 2,Biochar,DME-B2,H2O sea,H2_from_SOEC_HI,H2_pipeline_to_Bamboo-2,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Renewable application: 0,11,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609376,0.0,5858.49836397031,11097.352475938242,35040.583864898326,34540.94919494598,0.0,17267.51599383278,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,12,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609376,0.0,6391.089124331247,8249.359362644356,35046.639086567746,34541.85747106428,0.0,14426.486378326617,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,13,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,6923.679884692184,9231.425953435351,35036.363323946214,34541.85747106428,0.0,15398.27720649608,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,14,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,7456.2706450531205,5303.159590271372,35047.833268505274,34541.85747106428,0.0,11481.480787891156,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,15,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,7988.861405414057,1473.099886186492,35047.833268505274,34541.85747106428,0.0,7651.421083806281,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,16,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,8521.452165774994,0.0,35047.833268505274,34541.85747106428,0.0,6178.321197619789,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,17,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609339,0.0,9054.042926135928,0.0,35047.833268505274,34541.85747106428,0.0,6178.321197619789,0.0,0.0,0.0,1787.4455655794152,63411.36954194976,1.0
 ,18,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,9586.633686496865,0.0,35047.833268505274,34541.85747106428,0.0,6178.321197619789,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,19,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,10119.224446857803,0.0,35047.833268505274,34541.85747106428,0.0,6178.321197619789,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,20,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,10651.81520721874,0.0,35040.691481699345,34541.85747106428,0.0,6171.17941081386,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,21,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,11184.405967579678,0.0,35038.63734611763,34541.70329847512,0.0,6168.97110264299,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,22,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,11716.996727940616,0.0,35024.679651029684,34538.927517362295,0.0,6152.237626442216,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,23,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609339,0.0,12249.58748830155,0.0,34989.461330686536,34521.688548925325,0.0,6099.780337662098,0.0,0.0,0.0,1787.4455655794152,63411.36954194976,1.0
 ,24,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,12782.178248662487,0.0,34989.08667213424,34509.16630232624,0.0,6086.883432510709,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,25,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603608066,0.0,13314.769009023294,0.0,35001.87605893614,34536.549066539614,0.0,6127.0555835261075,0.0,0.0,0.0,1787.4455655794152,63411.36954194964,1.0
 ,26,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,13847.359769384231,0.0,34989.95322364545,34519.7532425676,0.0,6098.336924263287,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,27,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,14379.950529745169,0.0,34984.85871044458,34532.02667320418,0.0,6105.515841698998,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,28,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,14912.541290106106,0.0,35035.87773460138,34493.69596036357,0.0,6118.204153015187,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,29,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,15445.132050467044,0.0,35047.833268505274,34479.253087556994,0.0,6115.716814112504,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
