Scenario,Type of unit,Year data,Location,Profile,Fuel,Electrolyser,CO2 capture,CO2 tax level upstream (Eur/kgCO2),CO2 tax level operational(Eur/kgCO2),Weight costs vs emissions,Max yearly emission treshhold,Renewable criterion,Criterion application,Installed capacity(MW or t/h),Total investment(MEuros),Annualised investment(MEuros),Fixed O&M(MEuros),Variable O&M(MEuros),CO2 tax infrastructure (MEuros),CO2 tax process (MEuros),Fuel cost(MEuros),Cost per unit(MEuros),Production(kton or GWh),Sale (MEuros),Electricity consumption(GWh),Production cost fuel (Euros/kgfuel),Production cost fuel (Euros/GJfuel),Production cost fuel (Euros/MWhfuel),Production cost per unit (Euros/kg or kWh output),Load average,Full load hours,CO2e per unit total (kgCO2e/GJfuel),CO2e per unit counted (kgCO2e/GJfuel),CO2e total all system (kg CO2e/GJfuel),CO2e counted all system (kg CO2e/GJfuel),Land use per unit (km2),Land use per unit (km2/GJfuel),Land use total system (km2/GJfuel),Av electricity cost(Euros/MWh)
MeOH Biogas only - Worst fuel,MeOH - Biogas - None,2030 bench,Bornholm,2019,MeOH,None,None,0.0,0.0,C1_E0,-1.0,None,0.0,1.1043057783934795,20.21968326635949,1.7893525014477423,0.9332161507550534,0.0,0.0,0.0,0.0,2.7225686522027956,8.706346756854508,0.0,-4.418442334420378,1.4493200142110385,72.8301514678914,262.18854528440903,0.31271079917180156,1.0,7884.0,14.034427637340682,14.034427637340682,14.034427637340682,14.034427637340682,0.0,0.0,0.0,NaN
MeOH Biogas only - Worst fuel,Biogas wo H2,2030 bench,Bornholm,2019,MeOH,None,None,0.0,0.0,C1_E0,-1.0,None,0.0,2.5367833587011672,0.0,0.0,0.0,0.0,0.0,0.0,10.059999999998883,10.059999999998883,19.999999999997783,0.0,0.0,0.0,0.0,0.0,0.5029999999999999,1.0,7884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
MeOH Biogas only - Worst fuel,Heat from district heating,2030 bench,Bornholm,2019,MeOH,None,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
MeOH Biogas only - Worst fuel,Heat sent to district heating,2030 bench,Bornholm,2019,MeOH,None,None,0.0,0.0,C1_E0,-1.0,None,0.0,1.0418952741697027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16428604683109566,8.214302341554234,-0.16428604683109566,0.0,0.0,0.0,0.0,-0.020000000000001336,1.0,7884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
MeOH Biogas only - Worst fuel,Heat sent to other process,2030 bench,Bornholm,2019,MeOH,None,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
MeOH Biogas only - Worst fuel,H2 pipes compressor,2030 bench,Bornholm,2019,MeOH,None,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
MeOH Biogas only - Worst fuel,H2 pipes valve,2030 bench,Bornholm,2019,MeOH,None,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
MeOH Biogas only - Worst fuel,H2 buried pipes,2030 bench,Bornholm,2019,MeOH,None,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
MeOH Biogas only - Worst fuel,Electricity from the grid,2030 bench,Bornholm,2019,MeOH,None,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
MeOH Biogas only - Worst fuel,Curtailment,2030 bench,Bornholm,2019,MeOH,None,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.5604315492669486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.418442334420378,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
